L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,"IC50Dark,μM","IC50Dark,μM_clean","IC50Light,μM","IC50Light,μM_clean","λex,nm",Cell_line,"Time,h",DOI,Year
[c-]1ccccc1-c1nc2ccccc2[nH]1,[c-]1ccccc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1a,21 ± 2,21,"0,7 ± 0,1","0,7",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cn1c(-c2[c-]cccc2)nc2ccccc21,Cn1c(-c2[c-]cccc2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1b,"2,57 ± 0,03","2,57","0,48 ± 0,02","0,48",visible light,HeLa,2,10.1039/C9QI00811J,2019
FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1c,> 100,>100,"0,866 ± 0,009","0,866",visible light,HeLa,2,10.1039/C9QI00811J,2019
[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,[c-]1cc2ccccc2cc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2a,> 50,>50,"2,64 ± 0,04","2,64",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,Cn1c(-c2[c-]cc3ccccc3c2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2b,"3,5 ± 0,2","3,5","0,21 ± 0,02","0,21",visible light,HeLa,2,10.1039/C9QI00811J,2019
FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cc4ccccc4c3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,2c,> 50,>50,"1,26 ± 0,04","1,26",visible light,HeLa,2,10.1039/C9QI00811J,2019
[c-]1ccsc1-c1nc2ccccc2[nH]1,[c-]1ccsc1-c1nc2ccccc2[nH]1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3a,"2,9 ± 0,2","2,9","1,4 ± 0,2","1,4",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cn1c(-c2[c-]ccs2)nc2ccccc21,Cn1c(-c2[c-]ccs2)nc2ccccc21,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3b,"1,1 ± 0,3","1,1","0,016 ± 0,006","0,016",visible light,HeLa,2,10.1039/C9QI00811J,2019
FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]ccs3)nc3ccccc32)cc1,c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,3c,13 ± 1,13,"0,64 ± 0,09","0,64",visible light,HeLa,2,10.1039/C9QI00811J,2019
Cc1c(C)c(C)[c-](C)c1C,O=C([N-]c1ccc(F)cc1F)c1ccccc1,[Cl-],,,1,"34,1 ± 0,7","34,1",,,,HT-29,120,10.1039/c2dt32104a,2012
