,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABEFEV,CS(=O)(=O)NS(C)(=O)=O.Cc1cncc(C)c1.Cc1cncc(C)c1,47,8,"[(3, 8), (8, 9), (8, 18)]","[3, 9, 18]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
1,ABEFIZ,CS(=O)(=O)NS(C)(=O)=O.Cc1cc(C)nc(C)c1.Cc1cc(C)nc(C)c1,47,6,"[(5, 6), (6, 7), (6, 16)]","[5, 7, 16]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
2,ABEFOF,Cc1ccccn1.Cc1ccccn1.O=S1(=O)NS(=O)(=O)c2ccccc21,47,7,"[(6, 7), (7, 8), (7, 21)]","[6, 8, 21]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
3,ABEGEW,Cc1ccc(C)nc1.Cc1ccc(C)nc1.O=S1(=O)NS(=O)(=O)c2ccccc21,47,8,"[(6, 8), (8, 9), (8, 22)]","[6, 9, 22]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
4,ABEHAT,Cc1cccnc1C.Cc1cccnc1C.O=S(=O)(NS(=O)(=O)c1ccc(F)cc1)c1ccc(F)cc1,47,6,"[(5, 6), (6, 7), (6, 28)]","[5, 7, 28]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
5,ABEHEX,Cc1cccc(C)n1.Cc1cccc(C)n1.O=S(=O)(NS(=O)(=O)c1ccc(F)cc1)c1ccc(F)cc1,47,8,"[(7, 8), (8, 9), (8, 30)]","[7, 9, 30]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
6,ABEHIB,Cc1cccc(C)n1.Cc1cccc(C)n1.O=S(=O)(NS(=O)(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,47,8,"[(7, 8), (8, 9), (8, 30)]","[7, 9, 30]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
7,ABENIH,Cc1cc(C)nc(C)c1.Cc1cc(C)nc(C)c1.O=S(=O)(NS(=O)(=O)c1ccc(F)cc1)c1ccc(F)cc1,47,6,"[(5, 6), (6, 7), (6, 28)]","[5, 7, 28]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
8,ABERAD,Cc1cc(C)nc(C)c1.Cc1cc(C)nc(C)c1.O=S(=O)(NS(=O)(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,47,6,"[(5, 6), (6, 7), (6, 28)]","[5, 7, 28]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
9,ABEXIR,Cc1cccnc1.Cc1cccnc1.O=S(=O)(NS(=O)(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,47,7,"[(5, 7), (7, 8), (7, 29)]","[5, 8, 29]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
10,ABISUA,C1=CN(c2ccccn2)CN1c1ccccn1.C1=CN(c2ccccn2)CN1c1ccccn1,47,0,"[(0, 1), (0, 18)]","[1, 18]","[6, 6]","['SINGLE', 'SINGLE']",2.0
11,ABOFIK,CN1C=CN(c2cccc3cccnc23)C1.CN1C=CN(c2cccc3cccnc23)C1,47,6,"[(5, 6), (6, 7)]","[5, 7]","[6, 6]","['SINGLE', 'SINGLE']",2.0
12,ABOFOQ,C1=CN(c2cccc3cccnc23)CN1Cc1ccccc1.C1=CN(c2cccc3cccnc23)CN1Cc1ccccc1,47,0,"[(0, 1), (0, 23)]","[1, 23]","[6, 6]","['SINGLE', 'SINGLE']",2.0
13,ABOFUW,CN1C=NN(c2cccc3cccnc23)C1.CN1C=NN(c2cccc3cccnc23)C1,47,6,"[(5, 6), (6, 7)]","[5, 7]","[6, 6]","['SINGLE', 'SINGLE']",2.0
14,ABOJUA,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.Cc1cc(C)nc(C)c1.O=N(O)O,47,9,"[(5, 9), (9, 10), (9, 14), (9, 13)]","[5, 10, 14, 13]","[7, 8, 15, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
15,ABOREQ,c1ccc(-c2cc(-c3ccccc3)[nH]n2)cc1.c1ccc(-c2cc(-c3ccccc3)[nH]n2)cc1,47,0,"[(0, 1), (0, 18)]","[1, 18]","[7, 7]","['SINGLE', 'SINGLE']",2.0
16,ABOSOZ,CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,47,25,"[(9, 25), (20, 25), (24, 25), (25, 26)]","[9, 20, 24, 26]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
17,ABUSEY,Cc1cccnc1C.Cc1cccnc1C.O=S(=O)(NS(=O)(=O)c1ccc(Br)cc1)c1ccc(Br)cc1,47,6,"[(5, 6), (6, 7), (6, 28)]","[5, 7, 28]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
18,ABZSGA,Nc1ccccc1S(=O)(=O)NCC(=O)O.Nc1ccccc1S(=O)(=O)NCC(=O)O,47,3,"[(2, 3), (3, 4), (3, 19), (3, 18)]","[2, 4, 19, 18]","[8, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
