,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABANOH,CP(C)C.I.I.I,79,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[53, 53, 53, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABANUN,CP(C)c1ccccc1.I.I.I,79,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[53, 53, 53, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABAPAV,CC(C)P(C(C)C)C(C)C.I,79,1,"[(0, 1), (1, 2)]","[0, 2]","[53, 15]","['SINGLE', 'SINGLE']",2.0
3,ABAPEZ,I.c1ccc(P(c2ccccc2)c2ccccc2)cc1,79,1,"[(0, 1), (1, 2)]","[0, 2]","[53, 15]","['SINGLE', 'SINGLE']",2.0
4,ABAPOJ,Cc1ccccc1P(c1ccccc1C)c1ccccc1C.I,79,1,"[(0, 1), (1, 2)]","[0, 2]","[53, 15]","['SINGLE', 'SINGLE']",2.0
5,ABAQIE,Br.Br.Br.CP(Cc1ccccc1)c1ccccc1,79,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[35, 35, 35, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
6,ABAQUQ,I.I.c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,79,1,"[(0, 1), (1, 2), (1, 3), (1, 22)]","[0, 2, 3, 22]","[53, 53, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
7,ABEJUQ,C1CCCc2[nH]nnc2CC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,79,11,"[(10, 11), (11, 12)]","[10, 12]","[7, 15]","['SINGLE', 'SINGLE']",2.0
8,ABELOK,Cc1cc(C)c(n2c(c3ccccc3)csc2c2ccccc2)c(C)c1.Cl,79,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 6]","['SINGLE', 'SINGLE']",2.0
9,ABEVEJ,Cp1c(P(=S)(c2ccccc2)c2ccccc2)c(c2ccccc2)cc(c2ccccc2)c1P(=S)(c1ccccc1)c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,79,2,"[(1, 2), (2, 3), (2, 48)]","[1, 3, 48]","[15, 16, 15]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
10,ABISIO,C1=CN(Cc2ccccn2)CN1Cc1ccccn1.C1=CN(Cc2ccccn2)CN1Cc1ccccn1,79,0,"[(0, 1), (0, 20)]","[1, 20]","[6, 6]","['SINGLE', 'SINGLE']",2.0
11,ABITAH,C1=CN(c2ccccn2)CN1c1ccccn1.C1=CN(c2ccccn2)CN1c1ccccn1,79,0,"[(0, 1), (0, 18)]","[1, 18]","[6, 6]","['SINGLE', 'SINGLE']",2.0
12,ACADER,CC#N.CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2P(c2cc(C(C)(C)C)ccc2-c2ccc(C(C)(C)C)cc2)c2cc(C(C)(C)C)ccc2-c2ccc(C(C)(C)C)cc2)cc1,79,3,"[(2, 3), (3, 4)]","[2, 4]","[7, 15]","['SINGLE', 'SINGLE']",2.0
13,ACADIV,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2P(c2cc(C(C)(C)C)ccc2-c2ccc(C(C)(C)C)cc2)c2cc(C(C)(C)C)ccc2-c2ccc(C(C)(C)C)cc2)cc1.Cl,79,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 15]","['SINGLE', 'SINGLE']",2.0
14,ACADOB,C=C.CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2P(c2cc(C(C)(C)C)ccc2-c2ccc(C(C)(C)C)cc2)c2cc(C(C)(C)C)ccc2-c2ccc(C(C)(C)C)cc2)cc1,79,17,"[(16, 17), (17, 18), (17, 19)]","[16, 18, 19]","[15, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
15,ACEGAT,C#Cc1ccc(N=Nc2ccccc2)cc1.c1ccc(-c2cc3n4ccccc4c4ccccc4c-3n2)cc1,79,0,"[(0, 1), (0, 17)]","[1, 17]","[6, 7]","['SINGLE', 'SINGLE']",2.0
16,ACEZAJ,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1.Cl,79,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 15]","['SINGLE', 'SINGLE']",2.0
17,ACIFOJ,SC1=C(S)SCc2ccccc2CS1.[S-]C1=C(S)SCc2ccccc2CS1,79,4,"[(0, 4), (3, 4), (4, 5), (4, 18)]","[0, 3, 5, 18]","[16, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
18,ACINIM,COC1OC(c2ccccn2)=Cc2ccccc21.Cl.Cl,79,1,"[(0, 1), (1, 2), (1, 3), (1, 20)]","[0, 2, 3, 20]","[17, 17, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
19,ACITAL,Fc1cccc(F)c1.I.c1ccc(P(c2ccccc2)c2cccc3ccccc23)cc1,79,1,"[(0, 1), (1, 2), (1, 25), (1, 12)]","[0, 2, 25, 12]","[53, 6, 6, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
20,ACIYET,C#CC(O)(c1ccccc1)c1ccccc1.c1ccc(-c2cc3n4ccccc4c4ccccc4c-3n2)cc1,79,4,"[(3, 4), (4, 5)]","[3, 5]","[6, 7]","['SINGLE', 'SINGLE']",2.0
21,ADAHOF,CNC(S)=Nc1c2ccccc2[nH+]c2ccccc12.c1ccc(P(c2ccccc2)c2ccccc2)cc1,79,4,"[(3, 4), (4, 5)]","[3, 5]","[16, 15]","['SINGLE', 'SINGLE']",2.0
22,ADETIO,Cl.FC(F)(F)c1ccccc1P(c1ccccc1C(F)(F)F)c1ccccc1C(F)(F)F,79,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 15]","['SINGLE', 'SINGLE']",2.0
23,ADEVAI,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1.CCN(CC)CC,79,3,"[(2, 3), (3, 4)]","[2, 4]","[7, 6]","['SINGLE', 'SINGLE']",2.0
24,ADEVEM,C#Cc1cc(C)c(C)cc1C#C.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1,79,17,"[(16, 17), (17, 18)]","[16, 18]","[6, 6]","['SINGLE', 'SINGLE']",2.0
25,ADEVIQ,C#Cc1ccc(OC)cc1C#C.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1,79,8,"[(7, 8), (8, 9)]","[7, 9]","[6, 6]","['SINGLE', 'SINGLE']",2.0
26,ADEWAJ,CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1.Cc1cc2ccc(-c3ccccc3)cc2cc1C,79,17,"[(16, 17), (17, 18)]","[16, 18]","[6, 6]","['SINGLE', 'SINGLE']",2.0
27,ADEWUF,CN(C)c1ccccc1P(C12CC3CC(CC(C3)C1)C2)C12CC3CC(CC(C3)C1)C2.O=C(O)c1c(F)cccc1F.c1ccccc1,79,10,"[(1, 10), (9, 10), (10, 11), (10, 22)]","[1, 9, 11, 22]","[7, 15, 8, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
28,ADOCOP,Cl.Cl.[Cl-].c1ccc(-c2cc3ccccc3c(-c3ccccc3)[o+]2)cc1,79,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[17, 17, 17, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
29,ADODAC,[Cl-].c1ccc(-c2cc3ccccc3c(-c3ccccc3)[o+]2)cc1,79,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 6]","['SINGLE', 'SINGLE']",2.0
30,ADOKUB,Cc1cc(C(c2ccc(C(C)(C)C)cc2)c2ccc(C(C)(C)C)cc2)c(N2C=CN(c3c(C(c4ccc(C(C)(C)C)cc4)c4ccc(C(C)(C)C)cc4)cc(C)cc3C(c3ccc(C(C)(C)C)cc3)c3ccc(C(C)(C)C)cc3)C2)c(C(c2ccc(C(C)(C)C)cc2)c2ccc(C(C)(C)C)cc2)c1.FC(F)(F)c1cccc(C(F)(F)F)c1,79,31,"[(30, 31), (31, 32)]","[30, 32]","[6, 6]","['SINGLE', 'SINGLE']",2.0
31,ADOLUA,Br.S=P(c1ccccc1)(c1ccccc1)c1ccccc1,79,1,"[(0, 1), (1, 2)]","[0, 2]","[35, 16]","['SINGLE', 'SINGLE']",2.0
32,ADUSUQ,CC(C)(C)N=Cc1cccc(C=NC(C)(C)C)c1.Cl[Au],51,2,"[(1, 2), (2, 3), (2, 10), (2, 16)]","[1, 3, 10, 16]","[79, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
33,ADUTEB,CC(C)(C)N1=Cc2cccc3c2[As]1N(C(C)(C)C)=C3.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1,79,17,"[(16, 17), (17, 18)]","[16, 18]","[6, 33]","['SINGLE', 'SINGLE']",2.0
34,ADUTEC,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2)c(C)c1.c1ccccc1,79,11,"[(10, 11), (11, 12)]","[10, 12]","[6, 6]","['SINGLE', 'SINGLE']",2.0
35,ADUTIF,CC(C)(C)N=Cc1cccc(C=NC(C)(C)C)c1.CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)C1[Au+],51,18,"[(17, 18), (18, 19), (18, 26), (18, 32)]","[17, 19, 26, 32]","[79, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
36,ADUTIG,Cc1cc(C)c(N2CCN(c3c(C)cc(C)cc3C)C2)c(C)c1.Cc1cc(C)cc(C)c1,79,6,"[(5, 6), (6, 7)]","[5, 7]","[6, 6]","['SINGLE', 'SINGLE']",2.0
37,ADUTUR,CC(C)(C)N1=Cc2cccc3c2[As]1N(C(C)(C)C)=C3.Cl,79,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 33]","['SINGLE', 'SINGLE']",2.0
38,AEMAUP,Cl.NCCNCCN,79,1,"[(0, 1), (1, 2), (1, 5), (1, 8)]","[0, 2, 5, 8]","[17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
39,AFAWUZ,NC(N)=S.NC(N)=S,79,4,"[(3, 4), (4, 5)]","[3, 5]","[16, 16]","['SINGLE', 'SINGLE']",2.0
40,AFAXOX,COc1ccc(-c2cccc3c2C(N2CN(C4CCCc5cccc(-c6ccc(OC)cc6)c54)c4ccccc42)CCC3)cc1.Cl,79,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 6]","['SINGLE', 'SINGLE']",2.0
41,AFOBUV,CC(C)(C)c1ccc(-c2nc(-c3ccc(C(C)(C)C)cc3)nc(-c3ccc(C(C)(C)C)cc3)n2)cc1.CC(C)(C)c1ccccc1,79,10,"[(7, 10), (10, 11), (10, 22), (10, 28)]","[7, 11, 22, 28]","[6, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
