,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABODAX,CC(C)P(=S)(NP(=S)(C(C)C)C(C)C)C(C)C.CC(C)P(=S)(NP(=S)(C(C)C)C(C)C)C(C)C.CC(C)P(=S)(NP(=S)(C(C)C)C(C)C)C(C)C,83,5,"[(4, 5), (5, 6), (5, 15), (5, 32), (5, 19), (5, 36)]","[4, 6, 15, 32, 19, 36]","[16, 16, 16, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABOLEJ,CC(C)(C)N(Cc1ccccc1)Cc1ccccc1.F,83,1,"[(0, 1), (1, 2), (1, 9), (1, 16)]","[0, 2, 9, 16]","[9, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABOLIN,CC(C)(C)N(Cc1ccccc1)Cc1ccccc1.Cl,83,1,"[(0, 1), (1, 2), (1, 9), (1, 16)]","[0, 2, 9, 16]","[17, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
3,ABOLOT,Br.CC(C)(C)N(Cc1ccccc1)Cc1ccccc1,83,1,"[(0, 1), (1, 2), (1, 9), (1, 16)]","[0, 2, 9, 16]","[35, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
4,ABOLUZ,CC(C)(C)N(Cc1ccccc1)Cc1ccccc1.I,83,1,"[(0, 1), (1, 2), (1, 9), (1, 16)]","[0, 2, 9, 16]","[53, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
5,ABOMAG,CC(C)(C)N(Cc1ccccc1)Cc1ccccc1.Fc1cc(F)c(F)c(F)c1F,83,12,"[(4, 12), (11, 12), (12, 13), (12, 20)]","[4, 11, 13, 20]","[7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
6,ABOMEK,CC(C)(C)N(Cc1ccccc1)Cc1ccccc1.c1ccccc1,83,12,"[(4, 12), (11, 12), (12, 13), (12, 19)]","[4, 11, 13, 19]","[7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
7,ABOMIO,CC(C)(C)N(Cc1ccccc1)Cc1ccccc1.c1ccc2c(c1)OCO2,83,12,"[(4, 12), (11, 12), (12, 13), (12, 22)]","[4, 11, 13, 22]","[7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,ABOMOU,CC(C)(C)N(Cc1ccccc1)Cc1ccccc1.COc1cc(OC)cc(OC)c1,83,12,"[(7, 12), (12, 13), (12, 20), (12, 27)]","[7, 13, 20, 27]","[6, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ABOMUA,C=CC.CC(C)(C)N(Cc1ccccc1)Cc1ccccc1,83,3,"[(1, 3), (3, 4), (3, 11), (3, 18)]","[1, 4, 11, 18]","[6, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
10,ABONAH,C#Cc1ccccc1.CC(C)(C)N(Cc1ccccc1)Cc1ccccc1,83,12,"[(4, 12), (11, 12), (12, 13), (12, 21)]","[4, 11, 13, 21]","[7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
