,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABARUT,CC(=NCCN1CCOCC1)c1ccccn1.O.[N-]=[N+]=N.[N-]=[N+]=N,48,1,"[(0, 1), (1, 2), (1, 5), (1, 8), (1, 16), (1, 19)]","[0, 2, 5, 8, 16, 19]","[8, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABIDOE,[H]B(n1cccn1)(n1ccn(C)c1S)n1ccn(C)c1S.[H]B(n1cccn1)(n1ccn(C)c1S)n1ccn(C)c1S,48,14,"[(0, 14), (13, 14), (14, 15), (14, 36), (14, 28), (14, 35)]","[0, 13, 15, 36, 28, 35]","[1, 16, 1, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ABIZIW,Clc1cc(-c2ccccn2)nc(-c2ccccn2)c1.I.I,48,1,"[(0, 1), (1, 2), (1, 3), (1, 15), (1, 21)]","[0, 2, 3, 15, 21]","[53, 53, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABUSAU,Br.Br.Brc1ccccc1C=NCCNCCN=Cc1ccccc1Br,48,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 17)]","[0, 2, 3, 6, 17]","[35, 35, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
4,ACAQOK,O.O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,48,1,"[(0, 1), (1, 2), (1, 6), (1, 9), (1, 13), (1, 16), (1, 20)]","[0, 2, 6, 9, 13, 16, 20]","[8, 8, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
5,ACITEO,Nn1c(-c2cccnc2)nnc1-c1cccnc1.Nn1c(-c2cccnc2)nnc1-c1cccnc1.S=c1nc(S)[nH]c(=S)[nH]1.S=c1nc(S)[nH]c(=S)[nH]1,48,12,"[(10, 12), (12, 13), (12, 22), (12, 31), (12, 15), (12, 24)]","[10, 13, 22, 31, 15, 24]","[7, 16, 16, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ACUDOT,Br.Br.CC(=NNC(=O)c1ccccn1)c1ccccn1,48,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 14)]","[0, 2, 3, 6, 14]","[35, 35, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
7,ACUHIR,Cl.Cl.O.O.c1ccc2[nH]c(Cn3ccnc3)nc2c1.c1ccc2[nH]c(Cn3ccnc3)nc2c1,48,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 20)]","[0, 2, 3, 4, 5, 20]","[8, 8, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,ACUHUD,CCOC(=O)c1nc[nH]c1C.CCOC(=O)c1nc[nH]c1C.O.O,48,1,"[(0, 1), (1, 2), (1, 3), (1, 14), (1, 13), (1, 24)]","[0, 2, 3, 14, 13, 24]","[8, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ACUJEP,Br.Br.CCOC(=O)c1nc[nH]c1C.CCOC(=O)c1nc[nH]c1C,48,1,"[(0, 1), (1, 2), (1, 3), (1, 14)]","[0, 2, 3, 14]","[35, 35, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
