,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABETEI,Br.Br.Br.CC#N.CC#N.CC#N.CC#N.CC#N,58,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 13), (1, 16)]","[0, 2, 3, 4, 7, 10, 13, 16]","[35, 35, 35, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
1,ABETIM,Br.Br.Br.c1ccc(-c2ccccn2)nc1.c1ccncc1.c1ccncc1.c1ccncc1,58,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 10), (1, 16), (1, 22), (1, 33)]","[0, 2, 3, 4, 10, 16, 22, 33]","[35, 35, 35, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
2,ABETOS,Br.Br.Br.CC1CCCO1.CC1CCCO1.CC1CCCO1.CC1CCCO1,58,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 10), (1, 16), (1, 22)]","[0, 2, 3, 4, 10, 16, 22]","[35, 35, 35, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
3,ABETUY,Br.Br.Br.c1ccncc1.c1ccncc1.c1ccncc1.c1ccncc1,58,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 10), (1, 16), (1, 22)]","[0, 2, 3, 4, 10, 16, 22]","[35, 35, 35, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
4,ACACCE,CC(=O)C=C(C)O.CC(=O)C=C(C)O.CC(=O)C=C(C)O.CC(=O)C=C(C)O,58,5,"[(4, 5), (5, 6), (5, 7), (5, 14), (5, 21), (5, 11), (5, 18), (5, 25)]","[4, 6, 7, 14, 21, 11, 18, 25]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,ACEHIC,N=C=S.N=C=S.N=C=S.OCCOCCOCCOCCOCCO,58,3,"[(2, 3), (3, 4), (3, 20), (3, 23), (3, 7), (3, 10), (3, 13), (3, 16), (3, 19)]","[2, 4, 20, 23, 7, 10, 13, 16, 19]","[7, 8, 7, 7, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
6,ACUHEM,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,58,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
7,AFURUO,C[PH](C)(C)O.C[PH](C)(C)O.C[PH](C)(C)O.C[PH](C)(C)O.O.O.O.O,58,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10), (1, 15), (1, 20)]","[0, 2, 3, 4, 5, 10, 15, 20]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
8,AHABAO,c1ccc(C2(c3cccc3)CCCCC2)c1.c1ccc(C2(c3cccc3)CCCCC2)c1,58,11,"[(6, 11), (7, 11), (8, 11), (9, 11), (10, 11), (11, 12), (11, 17), (11, 13), (11, 14), (11, 15), (11, 16), (11, 18), (11, 19), (11, 20), (11, 21), (11, 28), (11, 29), (11, 30), (11, 31), (11, 32)]","[6, 7, 8, 9, 10, 12, 17, 13, 14, 15, 16, 18, 19, 20, 21, 28, 29, 30, 31, 32]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",20.0
9,AHUGOC,C#NN=[PH2](c1ccccc1)(c1ccccc1)c1ccccc1.C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C,58,9,"[(4, 9), (9, 10), (9, 32), (9, 41)]","[4, 10, 32, 41]","[7, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
10,AHUGUI,CC(C)N(C1=C(N(C(C)C)C(C)C)C1)C(C)C.C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C,58,10,"[(9, 10), (10, 11), (10, 20), (10, 29)]","[9, 11, 20, 29]","[6, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
11,AHUHAP,C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C.N#CN=P(c1ccccc1)(c1ccccc1)c1ccccc1,58,9,"[(4, 9), (9, 10), (9, 32), (9, 41)]","[4, 10, 32, 41]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
12,AHUHET,C[Si](C)(C)N[Si](C)(C)C.N=P(c1ccccc1)(c1ccccc1)c1ccccc1.N=P(c1ccccc1)(c1ccccc1)c1ccccc1.N=P(c1ccccc1)(c1ccccc1)c1ccccc1,58,9,"[(4, 9), (9, 10), (9, 30), (9, 50)]","[4, 10, 30, 50]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
13,AJILEM,CC(=NN=C(O)c1ccc[nH+]c1)c1ccccn1.CC(=NN=C(O)c1ccc[nH+]c1)c1ccccn1.O.O.O.O,58,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 23), (1, 8), (1, 16), (1, 26), (1, 34)]","[0, 2, 3, 4, 5, 23, 8, 16, 26, 34]","[8, 8, 8, 8, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
14,AKUZUE,C(=NC1CCCCC1N=Cc1ccccn1)c1ccccn1.CO.O=N(O)O.O=N(O)O.O=N(O)O,58,2,"[(1, 2), (2, 3), (2, 7), (2, 11), (2, 15), (2, 6), (2, 10), (2, 14), (2, 22), (2, 29), (2, 36)]","[1, 3, 7, 11, 15, 6, 10, 14, 22, 29, 36]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
15,ALIZIE,C1=Cc2nc1c(-c1ccncc1)c1ccc([nH]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([nH]3)c2-c2ccncc2)C=C1.c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,58,27,"[(9, 27), (22, 27), (26, 27), (27, 28), (27, 76), (27, 38), (27, 51), (27, 57)]","[9, 22, 26, 28, 76, 38, 51, 57]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
16,ALIZOK,CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC.c1ccc2cc3c(cc2c1)-c1nc-3nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cc5ccccc5cc41)-c1cc4ccccc4cc1-3)c1cc3ccccc3cc21,58,25,"[(9, 25), (20, 25), (24, 25), (25, 26), (25, 27), (25, 31), (25, 48), (25, 72)]","[9, 20, 24, 26, 27, 31, 48, 72]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
