,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABEXOU,C#O.C#O.C#O.CCN(CC)C(=O)c1c(C)cccc1C(C)O,24,17,"[(7, 17), (8, 17), (10, 17), (11, 17), (12, 17), (13, 17), (17, 18), (17, 20), (17, 22)]","[7, 8, 10, 11, 12, 13, 18, 20, 22]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
1,ABILUT,C1CNCCNCCCNCCNC1.Cl.Cl,24,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 10), (1, 14)]","[0, 2, 3, 7, 10, 14]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ABIMAA,C1CNCCNCCCNCCNC1.Cl.Cl,24,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 10), (1, 14)]","[0, 2, 3, 7, 10, 14]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,ABISAI,C#O.C#O.C#O.Cc1cccc2cccc(c3ccccc3)c12,24,17,"[(11, 17), (12, 17), (13, 17), (14, 17), (15, 17), (16, 17), (17, 18), (17, 20), (17, 22)]","[11, 12, 13, 14, 15, 16, 18, 20, 22]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
4,ABISEM,C#O.C#O.C#O.Cc1ccc(c2cccc3cccc(C)c32)cc1,24,18,"[(11, 18), (12, 18), (13, 18), (14, 18), (16, 18), (17, 18), (18, 19), (18, 21), (18, 23)]","[11, 12, 13, 14, 16, 17, 19, 21, 23]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
5,ABISIQ,C#O.C#O.C#O.COc1ccc(c2cccc3cccc(C)c32)cc1,24,8,"[(2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 9), (8, 11), (8, 13)]","[2, 3, 4, 5, 6, 7, 9, 11, 13]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
6,ABISOW,C#O.C#O.C#O.Cc1cccc2cccc(c3ccc(F)cc3)c12,24,18,"[(11, 18), (12, 18), (13, 18), (14, 18), (16, 18), (17, 18), (18, 19), (18, 21), (18, 23)]","[11, 12, 13, 14, 16, 17, 19, 21, 23]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
7,ABISUC,C#O.C#O.C#O.Cc1cccc2cccc(c3ccc(N(C)C)cc3)c12,24,9,"[(3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 10), (9, 12), (9, 14)]","[3, 4, 5, 6, 7, 8, 10, 12, 14]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
8,ABITAJ,C#O.C#O.C#O.COC(=O)c1ccc(c2cccc3cccc(C)c32)cc1,24,10,"[(4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10), (10, 11), (10, 13), (10, 15)]","[4, 5, 6, 7, 8, 9, 11, 13, 15]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
9,ABORIU,NC(N)=O.NC(N)=O.NC(N)=O.NC(N)=O.O.O,24,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 11), (1, 15)]","[0, 2, 3, 7, 11, 15]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
10,ABUKIS,C.Cc1c(C)c(C)c(C)c1C.Fc1cc(F)c(F)c(F)c1F.c1ccncc1,24,1,"[(0, 1), (1, 2), (1, 13), (1, 19), (1, 21), (1, 23), (1, 25), (1, 27)]","[0, 2, 13, 19, 21, 23, 25, 27]","[6, 6, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
11,ACACCR,CC(=O)C=C(C)O.CC(=O)C=C(C)O.CC(=O)C=C(C)O,24,5,"[(4, 5), (5, 6), (5, 7), (5, 14), (5, 11), (5, 18)]","[4, 6, 7, 14, 11, 18]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
12,ACAGET,O.O.O=C(O)C(=O)O.O=C([O-])C(=O)O,24,1,"[(0, 1), (1, 2), (1, 3), (1, 9), (1, 8), (1, 14)]","[0, 2, 3, 9, 8, 14]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
13,ACALEW,CC#N.CC#N.CC#N.CC#N.CC#N.CC#N,24,3,"[(2, 3), (3, 4), (3, 7), (3, 10), (3, 13), (3, 16)]","[2, 4, 7, 10, 13, 16]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
14,ACAYOT,c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,24,6,"[(4, 6), (6, 7), (6, 13), (6, 25), (6, 24), (6, 36)]","[4, 7, 13, 25, 24, 36]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
15,ACAYUZ,c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,24,6,"[(4, 6), (6, 7), (6, 13), (6, 25), (6, 24), (6, 36)]","[4, 7, 13, 25, 24, 36]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
16,ACEGOH,CN(C)CCN(C)C.Cl.Cl.Cl,24,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 9)]","[0, 2, 3, 4, 9]","[17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
17,ACEMIG,C#O.C#O.C#O.CCc1c(CC)c(OC)c2c(c1O[Si](C)(C)C(C)(C)C)C=C(OC)CC2c1ccccc1,24,30,"[(2, 30), (3, 30), (6, 30), (15, 30), (26, 30), (27, 30), (30, 31), (30, 33), (30, 35)]","[2, 3, 6, 15, 26, 27, 31, 33, 35]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
18,ACOYEW,C#O.C#O.C#O.CC=C1CCC(C)c2c1cc([Si](C)(C)C)c(OC)c2OC,24,15,"[(2, 15), (3, 15), (6, 15), (7, 15), (8, 15), (14, 15), (15, 16), (15, 18), (15, 20)]","[2, 3, 6, 7, 8, 14, 16, 18, 20]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
19,ACOYIA,C#O.C#O.C#O.COc1c(C)cc2c(c1OC)C(C)CCC2C(C)CC#N,24,16,"[(2, 16), (3, 16), (5, 16), (6, 16), (12, 16), (13, 16), (16, 17), (16, 19), (16, 21)]","[2, 3, 5, 6, 12, 13, 17, 19, 21]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
20,ACRTUR,CC(=O)C=C(C)O.CC(=O)C=C(C)O.CC(=O)C=C(C)O,24,5,"[(4, 5), (5, 6), (5, 7), (5, 14), (5, 11), (5, 18)]","[4, 6, 7, 14, 11, 18]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
21,ACTPCR,C#O.C#O.C#O.CC(=O)c1ccccc1,24,9,"[(3, 9), (4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 10), (9, 12), (9, 14)]","[3, 4, 5, 6, 7, 8, 10, 12, 14]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
22,ACUBIL,O.O.O=C(O)C(=O)O.O=C([O-])C(=O)O,24,1,"[(0, 1), (1, 2), (1, 3), (1, 9), (1, 8), (1, 14)]","[0, 2, 3, 9, 8, 14]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
