,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACUJOY,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,66,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
1,ADOVUM,CN(C)C=O.CN(C)C=O.COc1cccc(C=NNC(=O)c2ccccc2)c1O.O=N(O)O.O=N(O)O,66,12,"[(8, 12), (11, 12), (12, 13), (12, 15), (12, 19), (12, 23), (12, 28), (12, 18), (12, 22)]","[8, 11, 13, 15, 19, 23, 28, 18, 22]","[7, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
2,AFESEL,O.O.O.O.O.O=C(O)c1ccc(C(=O)O)nc1.O=C([O-])c1ccc(C(=O)O)nc1,66,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 18), (1, 14), (1, 26)]","[0, 2, 3, 4, 5, 6, 18, 14, 26]","[8, 8, 8, 8, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
3,AGIZAV,O.O=C(O)CN(CCO)CCO.O=N(O)O.O=N(O)O,66,1,"[(0, 1), (1, 2), (1, 13), (1, 17), (1, 6), (1, 9), (1, 12), (1, 16), (1, 20)]","[0, 2, 13, 17, 6, 9, 12, 16, 20]","[8, 8, 8, 8, 7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
4,AGUTOL,C1COC(Cc2ccc3ccccc23)C1.Cl.c1ccc2c(CC3CCCO3)ccc2c1,66,1,"[(0, 1), (1, 2), (1, 17), (1, 8), (1, 9), (1, 10), (1, 11), (1, 16), (1, 23), (1, 24), (1, 25), (1, 26), (1, 31)]","[0, 2, 17, 8, 9, 10, 11, 16, 23, 24, 25, 26, 31]","[17, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
5,AJICOO,CC#N.I.I.I.O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1.O=P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,66,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 24), (1, 44)]","[0, 2, 3, 4, 24, 44]","[53, 53, 53, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,AKERAL,CC(=NNc1ccccn1)c1cccc(C(C)=NNc2ccccn2)n1.CC(=NNc1ccccn1)c1cccc(C(C)=NNc2ccccn2)n1,66,10,"[(2, 10), (9, 10), (10, 11), (10, 27), (10, 19), (10, 26), (10, 35), (10, 37), (10, 44), (10, 52)]","[2, 9, 11, 27, 19, 26, 35, 37, 44, 52]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
7,AKIQAP,C[Si](C)(C)N[Si](C)(C)C.Cc1cc(C)c(N=CC=Nc2c(C)cc(C)cc2C)c(C)c1.Cc1cc(C)c(N=CC=Nc2c(C)cc(C)cc2C)c(C)c1,66,19,"[(6, 19), (9, 19), (19, 20), (19, 29), (19, 32)]","[6, 9, 20, 29, 32]","[7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
8,AKIVOG,Br.Br.C1CCOC1.Cc1cc(C)c(N2=CN(Cc3cccc(CN4C=CN(c5c(C)cc(C)cc5C)=C4)c3)C=C2)c(C)c1,66,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 15), (1, 34)]","[0, 2, 3, 8, 15, 34]","[35, 35, 8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,AKUHUK,c1ccc(N(C(=NC2CCCCC2)NC2CCCCC2)[Li](O2CCCC2)(O2CCCC2)O2CCCC2)cc1.c1cccc1.c1cccc1,66,15,"[(6, 15), (8, 15), (15, 16), (15, 21), (15, 17), (15, 18), (15, 19), (15, 20), (15, 22), (15, 23), (15, 24), (15, 25)]","[6, 8, 16, 21, 17, 18, 19, 20, 22, 23, 24, 25]","[7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
