,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACUKAL,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,68,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
1,AERETS,O.O.O.O.O.O.O.O.O,68,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
2,AGUFUD,c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,68,21,"[(7, 21), (8, 21), (21, 22), (21, 49), (21, 36), (21, 63)]","[7, 8, 22, 49, 36, 63]","[7, 15, 7, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,AHEFOK,C(=Cc1ccccn1)c1ccncc1.C(=Cc1ccccn1)c1ccncc1.Cl.Cl.Cl.c1cscn1.c1cscn1,68,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 9), (1, 14), (1, 28)]","[0, 2, 3, 4, 9, 14, 28]","[17, 17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
4,AHEHEB,O.O.O.O.O=C(O)c1cc[nH+]cc1.O=C(O)c1cc[nH+]cc1.O=N(O)O,68,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 14), (1, 23), (1, 26)]","[0, 2, 3, 4, 5, 14, 23, 26]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,AHEHOM,Cl.Cl.Sc1nc2ccccc2[nH]1.c1ccncc1.c1ccncc1.c1ccncc1,68,1,"[(0, 1), (1, 2), (1, 3), (1, 13), (1, 19), (1, 25), (1, 5)]","[0, 2, 3, 13, 19, 25, 5]","[17, 17, 16, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
6,AJOQOH,Oc1c(Cl)cc(Cl)cc1C=NC1CCCCC1N=Cc1cc(Cl)cc(Cl)c1O.[O-]c1c(Cl)cc(Cl)cc1C=NC1CCCCC1N=Cc1cc(Cl)cc(Cl)c1O,68,7,"[(6, 7), (7, 8), (7, 29), (7, 18), (7, 25), (7, 39), (7, 46), (7, 56)]","[6, 8, 29, 18, 25, 39, 46, 56]","[8, 8, 8, 7, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
7,AKEREP,CC(=NNc1ccccn1)c1cccc(C(C)=NNc2ccccn2)n1.CC(=NNc1ccccn1)c1cccc(C(C)=NNc2ccccn2)n1,68,10,"[(2, 10), (9, 10), (10, 11), (10, 27), (10, 19), (10, 26), (10, 35), (10, 37), (10, 44), (10, 52)]","[2, 9, 11, 27, 19, 26, 35, 37, 44, 52]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
8,AKEWAQ,[SbH]1[SbH]23[SbH2-][Er]12456789%10[Sb]1[SbH-]4[SbH]5([SbH-]16)[SbH]71[Sb]8[SbH]39[Sb]1%10,51,12,"[(6, 12), (8, 12), (9, 12), (11, 12)]","[6, 8, 9, 11]","[51, 68, 51, 51]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,AKIYEY,COc1cc(C=O)ccc1O.COc1cc(C=O)ccc1O.O.O.O.O=NO,68,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 7), (1, 18), (1, 16), (1, 27)]","[0, 2, 3, 4, 7, 18, 16, 27]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
10,AKUHOE,c1ccc(N(C(=NC2CCCCC2)NC2CCCCC2)[Li](O2CCCC2)(O2CCCC2)O2CCCC2)cc1.c1cccc1.c1cccc1,68,15,"[(6, 15), (8, 15), (15, 16), (15, 21), (15, 17), (15, 18), (15, 19), (15, 20), (15, 22), (15, 23), (15, 24), (15, 25)]","[6, 8, 16, 21, 17, 18, 19, 20, 22, 23, 24, 25]","[7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
11,AKUJAS,C[Si](C)(C)N(C(=NC1CCCCC1)NC1CCCCC1)c1ccccc1.c1cccc1.c1cccc1,68,19,"[(12, 19), (19, 20), (19, 27), (19, 32), (19, 28), (19, 29), (19, 30), (19, 31), (19, 33), (19, 34), (19, 35), (19, 36)]","[12, 20, 27, 32, 28, 29, 30, 31, 33, 34, 35, 36]","[7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
12,AKUJOG,CC(C)(C)[Si](C)(C)N(C(=NC1CCCCC1)NC1CCCCC1)c1ccccc1.c1cccc1.c1cccc1,68,22,"[(15, 22), (22, 23), (22, 30), (22, 35), (22, 31), (22, 32), (22, 33), (22, 34), (22, 36), (22, 37), (22, 38), (22, 39)]","[15, 23, 30, 35, 31, 32, 33, 34, 36, 37, 38, 39]","[7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
13,APOXAE,C1CCOC1.CC(C)c1cccc(C(C)C)c1N=Cc1ccccc1O.CC(C)c1cccc(C(C)C)c1N=Cc1ccccc1O.Cl,68,1,"[(0, 1), (1, 2), (1, 23), (1, 44), (1, 10), (1, 31)]","[0, 2, 23, 44, 10, 31]","[17, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
14,APUHUO,C1CCOC1.C[Si](C)(c1ccc2ccccc12)C123[BH]45[BH]67[BH]89C%10[BH]1%11[BH]21%12[BH]432[BH]653[BH]784[BH]321[BH]%109%114%12.[Cl-],68,12,"[(3, 12), (4, 12), (5, 12), (6, 12), (11, 12), (12, 13), (12, 14), (12, 19), (12, 20), (12, 21), (12, 22), (12, 28), (12, 30)]","[3, 4, 5, 6, 11, 13, 14, 19, 20, 21, 22, 28, 30]","[6, 6, 6, 6, 6, 17, 8, 6, 5, 5, 5, 5, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
15,ARIKIY,C1CCOC1.CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,68,9,"[(8, 9), (9, 10), (9, 29), (9, 48)]","[8, 10, 29, 48]","[8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
16,ARIKUK,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1.CC1(C)CCCC(C)(C)N1O,68,9,"[(8, 9), (9, 10), (9, 21), (9, 40)]","[8, 10, 21, 40]","[8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
17,ARUXAP,CN(C)C=C(O)C(C)(C)C.CN(C)C=C(O)C(C)(C)C.CN(C)C=C(O)C(C)(C)C.CN(C)CC(=O)C(C)(C)C,68,6,"[(5, 6), (6, 7), (6, 17), (6, 27), (6, 10), (6, 20), (6, 30)]","[5, 7, 17, 27, 10, 20, 30]","[8, 8, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
18,ASTPSC,CCOP(=S)(S)OCC.CCOP(=S)(S)OCC.CCOP(=S)(S)OCC.CCOP(=S)([S-])OCC,68,5,"[(4, 5), (5, 6), (5, 7), (5, 16), (5, 25), (5, 9), (5, 18), (5, 33)]","[4, 6, 7, 16, 25, 9, 18, 33]","[16, 16, 16, 16, 16, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
