,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABIQIM,O.O.O.O.O.O.O.O=N(O)O,63,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 11)]","[0, 2, 3, 4, 5, 6, 7, 8, 11]","[8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
1,ABOFIG,O.O=C(CN1CCN(CC(=O)Nc2ccccc2)CCN(CC(=O)Nc2ccccc2)CCN(CC(=O)Nc2ccccc2)CC1)Nc1ccccc1,63,1,"[(0, 1), (1, 2), (1, 5), (1, 8), (1, 11), (1, 14), (1, 19), (1, 29), (1, 39)]","[0, 2, 5, 8, 11, 14, 19, 29, 39]","[8, 8, 7, 7, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
2,ABOFOM,CO.O=C(CN1CCN(CC(=O)Nc2ccc([N+](=O)[O-])cc2)CCN(CC(=O)Nc2ccc([N+](=O)[O-])cc2)CCN(CC(=O)Nc2ccc([N+](=O)[O-])cc2)CC1)Nc1ccc([N+](=O)[O-])cc1,63,2,"[(1, 2), (2, 3), (2, 6), (2, 9), (2, 12), (2, 15), (2, 20), (2, 33), (2, 46)]","[1, 3, 6, 9, 12, 15, 20, 33, 46]","[8, 8, 7, 7, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
3,ACAYEK,C=CCOCC1COC(c2ccc3cccc(OCC(=O)N(C(C)C)C(C)C)c3n2)O1.O=N(O)O.O=N(O)O.O=N(O)O,63,9,"[(8, 9), (9, 10), (9, 14), (9, 18), (9, 22), (9, 13), (9, 17), (9, 21), (9, 40), (9, 43)]","[8, 10, 14, 18, 22, 13, 17, 21, 40, 43]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
4,ACIXIU,CCC(CC)Oc1cccc2c1-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cccc(OC(CC)CC)c41)-c1cccc(OC(CC)CC)c1-3)c1cccc(OC(CC)CC)c21.Clc1ccc(-c2c3nc(c(-c4ccc(Cl)cc4)c4ccc([nH]4)c(-c4ccc(Cl)cc4)c4nc(c(-c5ccc(Cl)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,63,39,"[(15, 39), (34, 39), (38, 39), (39, 40), (39, 92), (39, 51), (39, 65), (39, 71)]","[15, 34, 38, 40, 92, 51, 65, 71]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,ACIXUG,CCC(CC)Oc1cccc2c1-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cccc(OC(CC)CC)c41)-c1cccc(OC(CC)CC)c1-3)c1cccc(OC(CC)CC)c21.Clc1ccc(-c2c3nc(c(-c4ccc(Cl)cc4)c4ccc([nH]4)c(-c4ccc(Cl)cc4)c4nc(c(-c5ccc(Cl)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,63,28,"[(14, 28), (18, 28), (22, 28), (27, 28), (28, 29), (28, 40), (28, 54), (28, 60)]","[14, 18, 22, 27, 29, 40, 54, 60]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
6,ACUJAK,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,63,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
7,AFECIA,CC(C)c1cccc(C(C)C)c1NC1=C(Nc2c(C(C)C)cccc2C(C)C)c2cccc3cccc1c23.COCCOC.COCCOC.N=C=S,63,6,"[(1, 6), (4, 6), (6, 7), (6, 10), (6, 48), (6, 25), (6, 52)]","[1, 4, 7, 10, 48, 25, 52]","[8, 8, 7, 7, 8, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
8,AGILEJ,Cc1nn(-c2ccccc2)c(O)c1C=O.Cc1nn(-c2ccccc2)c(O)c1C=O.Cc1nn(-c2ccccc2)c(O)c1C=O.Cc1nn(-c2ccccc2)c([O-])c1C=O,63,8,"[(7, 8), (8, 9), (8, 10), (8, 25), (8, 40), (8, 14), (8, 29), (8, 44)]","[7, 9, 10, 25, 40, 14, 29, 44]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
9,AGILUZ,Cc1nn(-c2ccccc2)c(O)c1C=O.Cc1nn(-c2ccccc2)c(O)c1C=O.Cc1nn(-c2ccccc2)c(O)c1C=O.Cc1nn(-c2ccccc2)c([O-])c1C=O,63,8,"[(7, 8), (8, 9), (8, 10), (8, 25), (8, 40), (8, 14), (8, 29), (8, 44)]","[7, 9, 10, 25, 40, 14, 29, 44]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
