,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABEFOG,CC(C)c1cccc(C(C)C)c1N=Cc1cc(C(C)(C)C)cc2c1[nH]c1c(C=Nc3c(C(C)C)cccc3C(C)C)cc(C(C)(C)C)cc12.Cl.Cl,31,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 30)]","[0, 2, 3, 7, 30]","[17, 17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
1,ABISOT,CC(C)(C)NCCNC(C)(C)C.Cl.Cl,31,1,"[(0, 1), (1, 2), (1, 3), (1, 6)]","[0, 2, 3, 6]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABOZUM,Oc1ccc(Br)cc1C=NCCN(CCN=Cc1cc(Br)ccc1O)CCN=Cc1cc(Br)ccc1O,31,6,"[(5, 6), (6, 7), (6, 16), (6, 22), (6, 28), (6, 37)]","[5, 7, 16, 22, 28, 37]","[8, 8, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,ABUSUP,CC(C)(C)c1cc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)c2[nH]c3c(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)cc(C(C)(C)C)cc3c2c1.CC(C)(C)c1ccc(NN=NNc2ccc(C(C)(C)C)cc2)cc1,31,14,"[(10, 14), (13, 14), (14, 15)]","[10, 13, 15]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
4,ABUTAW,CC(C)(C)c1cc2c(c(c3c4ccccc4c(c4ccccc4)c4ccccc43)c1)Nc1c2cc(C(C)(C)C)cc1c1c2ccccc2c(c2ccccc2)c2ccccc21.CC(C)(C)c1ccc(NN2=N(Nc3ccc(C(C)(C)C)cc3)[K]234567O2CCO3CCO4CCO5CCO6CCO7CC2)cc1,31,24,"[(10, 24), (13, 24), (24, 25), (24, 80)]","[10, 13, 25, 80]","[7, 7, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
5,ABUTEA,C1CCOC1.CC(C)(C)c1cc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)c2[nH]c3c(-c4c5ccccc5c(-c5ccccc5)c5ccccc45)cc(C(C)(C)C)cc3c2c1,31,14,"[(13, 14), (14, 15)]","[13, 15]","[7, 8]","['SINGLE', 'SINGLE']",2.0
6,ACACEQ,O=C(O)c1cccc(CN(CCN(Cc2cccc(C(=O)O)n2)Cc2ccccc2O)Cc2ccccc2O)n1,31,19,"[(8, 19), (11, 19), (18, 19), (19, 20), (19, 30), (19, 29)]","[8, 11, 18, 20, 30, 29]","[7, 7, 7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ACAXUX,Cl.Cl.Cl.[Cl-],31,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[17, 17, 17, 17]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,ACOBEZ,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.Cl.Cl,31,1,"[(0, 1), (1, 2), (1, 3), (1, 7)]","[0, 2, 3, 7]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ACOBID,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.C[Si](C)(C)O.Cl,31,1,"[(0, 1), (1, 2), (1, 7), (1, 11)]","[0, 2, 7, 11]","[17, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
10,ADIPEI,Br.Br.C1CCOC1.CC(C)(C)[SiH](C(C)(C)C)C(C)(C)C,31,1,"[(0, 1), (1, 2), (1, 3), (1, 8)]","[0, 2, 3, 8]","[35, 35, 8, 14]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
11,AFAJUM,C.CC(C)(C)NN.Cl.Cl,31,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[6, 17, 17, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
12,AFEXOC,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.O=S(=O)(O)C(F)(F)F,31,13,"[(12, 13), (13, 14), (13, 22)]","[12, 14, 22]","[7, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
13,AFIPEK,C.C1CCOC1.CC1=C(C)C(C)C([Si](C)(C)NC(C)(C)C)=C1C,31,1,"[(0, 1), (1, 2), (1, 19), (1, 16)]","[0, 2, 19, 16]","[6, 7, 8, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
14,AFIPOU,C.CC1=C(C)C(C)C([Si](C)(C)NC(C)(C)C)=C1C.CC1=C(C)N(C)=CN1C,31,1,"[(0, 1), (1, 2), (1, 19), (1, 16)]","[0, 2, 19, 16]","[6, 7, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
15,AFIQIP,Cl.Cl.Cl.[Cl-],31,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[17, 17, 17, 17]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
16,AFOVEZ,CN(C)Cc1cccc(CN(C)C)c1.[SeH][Se][Se][SeH],31,14,"[(13, 14), (14, 15), (14, 18)]","[13, 15, 18]","[6, 34, 34]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
17,AGOGAE,Br.Br.Br.Br,31,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[35, 35, 35, 35]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
18,AGOHOT,C1CCOC1.Cl.Cl.Cl,31,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[17, 17, 17, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
19,AGOTEV,CC(C)C.CC(C)C.Oc1ccccc1.c1cnccn1,31,4,"[(1, 4), (4, 5), (4, 12), (4, 18)]","[1, 5, 12, 18]","[6, 8, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
20,AGUBOU,CC(C)(C)N(O)CC[NH](O)C(C)(C)C.CC(C)C.CC(C)C,31,4,"[(1, 4), (4, 5), (4, 19), (4, 10)]","[1, 5, 19, 10]","[6, 8, 6, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
21,AHEKUU,CCC.CCC.CCC.NNc1ccccc1,31,3,"[(1, 3), (3, 4), (3, 12), (3, 15)]","[1, 4, 12, 15]","[6, 7, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
22,AHEPUZ,Cl.Cl.Cl.[Cl-],31,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[17, 17, 17, 17]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
23,AKEMEI,Br.Br.Br.[Br-],31,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[35, 35, 35, 35]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
24,AKUHIA,Cc1cc(C)c(P(c2cccc3c2Oc2c(Nc4c(C(C)C)cccc4C(C)C)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1.I.I,31,1,"[(0, 1), (1, 2), (1, 3), (1, 20)]","[0, 2, 3, 20]","[53, 53, 7, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
25,AKUJAU,Cc1cc(C)c(P(c2cccc3c2Oc2c(Nc4c(C(C)C)cccc4C(C)C)cccc2C3(C)C)c2c(C)cc(C)cc2C)c(C)c1,31,13,"[(12, 13)]",[12],[7],['SINGLE'],1.0
