,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABARIF,COc1ccc(C(=NCCN2CCN(CCN=C(c3ccc(OC)cc3)P(=O)(O)OC)CCN(CCN=C(c3ccc(OC)cc3)P(=O)(O)OC)CC2)P(=O)(O)OC)cc1,64,31,"[(9, 31), (12, 31), (15, 31), (18, 31), (30, 31), (31, 32), (31, 37), (31, 43), (31, 46)]","[9, 12, 15, 18, 30, 32, 37, 43, 46]","[7, 7, 7, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
1,ACUJEO,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,64,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
2,ADEBIX,N=C=S.N=C=S.N=C=S.[N-]=C=S.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,64,3,"[(2, 3), (3, 4), (3, 7), (3, 10), (3, 13), (3, 27), (3, 24), (3, 38)]","[2, 4, 7, 10, 13, 27, 24, 38]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
3,ADUPEU,Oc1ccc(Cl)cc1C=NCCN(CCN=Cc1cc(Cl)ccc1O)CCN=Cc1cc(Cl)ccc1O,64,6,"[(5, 6), (6, 7), (6, 16), (6, 19), (6, 22), (6, 28), (6, 37)]","[5, 7, 16, 19, 22, 28, 37]","[8, 8, 7, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
4,AGIYOI,O.O=C(O)CN(CCO)CCO.O=N(O)O.O=N(O)O,64,1,"[(0, 1), (1, 2), (1, 13), (1, 17), (1, 6), (1, 9), (1, 12), (1, 16), (1, 20)]","[0, 2, 13, 17, 6, 9, 12, 16, 20]","[8, 8, 8, 8, 7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
5,AGUVAZ,C1COC(Cc2ccc3ccccc23)C1.Cl.c1ccc2c(CC3CCCO3)ccc2c1,64,1,"[(0, 1), (1, 2), (1, 17), (1, 8), (1, 9), (1, 10), (1, 11), (1, 16), (1, 23), (1, 24), (1, 25), (1, 26), (1, 31)]","[0, 2, 17, 8, 9, 10, 11, 16, 23, 24, 25, 26, 31]","[17, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
6,AHECAT,Cl.Cl.Cl.O.c1cscn1.c1cscn1.c1cscn1,64,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10), (1, 15)]","[0, 2, 3, 4, 5, 10, 15]","[8, 17, 17, 17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
7,AJANOP,C1=CC=CC=CC=C1.C1CCOC1.C1CCOC1.CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)c1=N,64,18,"[(17, 18), (18, 19), (18, 24), (18, 29), (18, 30), (18, 31), (18, 32), (18, 33), (18, 34), (18, 35), (18, 36)]","[17, 19, 24, 29, 30, 31, 32, 33, 34, 35, 36]","[7, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
8,AKIVIA,Br.Br.C1CCOC1.Cc1cc(C)c(N2=CN(Cc3cccc(CN4C=CN(c5c(C)cc(C)cc5C)=C4)c3)C=C2)c(C)c1,64,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 15), (1, 34)]","[0, 2, 3, 8, 15, 34]","[35, 35, 8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ALABAT,C(=NC1CCCCC1N=Cc1ccccn1)c1ccccn1.O=N(O)O.O=N(O)O.O=N(O)O,64,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 8), (3, 12), (3, 20), (3, 27), (3, 34)]","[2, 4, 5, 9, 13, 8, 12, 20, 27, 34]","[8, 8, 8, 8, 7, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
