,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABUPOF,CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.O,72,1,"[(0, 1), (1, 2), (1, 48), (1, 17), (1, 39), (1, 63), (1, 85)]","[0, 2, 48, 17, 39, 63, 85]","[8, 8, 8, 15, 8, 15, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
1,ADAMAT,Cc1cpc(c2ccccc2)c1C.Cc1cpc(c2ccccc2)c1C.Cl.Cl,72,1,"[(0, 1), (1, 2), (1, 3), (1, 16), (1, 4), (1, 5), (1, 12), (1, 14), (1, 17), (1, 18), (1, 25), (1, 27)]","[0, 2, 3, 16, 4, 5, 12, 14, 17, 18, 25, 27]","[17, 17, 6, 6, 15, 6, 6, 6, 15, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2,ADUHEN,Cc1c(C)c(C)c(C)c1C.Cc1c(C)c(C)c(C)c1C.F,72,1,"[(0, 1), (1, 2), (1, 12), (1, 4), (1, 6), (1, 8), (1, 10), (1, 14), (1, 16), (1, 18), (1, 20)]","[0, 2, 12, 4, 6, 8, 10, 14, 16, 18, 20]","[9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
3,ADUHIR,Cc1c(C)c(C)c(C)c1C.Cc1c(C)c(C)c(C)c1C.F.F,72,1,"[(0, 1), (1, 2), (1, 3), (1, 13), (1, 5), (1, 7), (1, 9), (1, 11), (1, 15), (1, 17), (1, 19), (1, 21)]","[0, 2, 3, 13, 5, 7, 9, 11, 15, 17, 19, 21]","[9, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
4,AFADOC,CC(C)(C)c1cc(CN(Cc2ccccn2)Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.Cc1ccccc1.Cc1ccccc1,72,16,"[(8, 16), (15, 16), (16, 17), (16, 24), (16, 31), (16, 39)]","[8, 15, 17, 24, 31, 39]","[7, 7, 6, 6, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,AFEPIM,Cc1cccc(C)c1N=C(O)c1ccccc1.Cc1cccc(C)c1N=C(O)c1ccccc1.Cc1cccc(C)c1N=C(O)c1ccccc1.Cc1cccc(C)c1N=C(O)c1ccccc1,72,11,"[(8, 11), (10, 11), (11, 12), (11, 29), (11, 46), (11, 14), (11, 31), (11, 48)]","[8, 10, 12, 29, 46, 14, 31, 48]","[7, 8, 8, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
6,AGEDID,Cc1c(C)c(C)c([Si](C)(C)c2c(C)cc3c(c4ccccc4)cccc23)c1C.Cl.Cl,72,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 6), (1, 7), (1, 18), (1, 22), (1, 23), (1, 25), (1, 27), (1, 29)]","[0, 2, 3, 4, 6, 7, 18, 22, 23, 25, 27, 29]","[17, 17, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
7,AGEDUP,COc1c(C(C)(C)C)cc2c([Si](C)(C)c3c(C)c(C)c(C)c3C)c(C)cc2c1c1ccccc1.Cl.Cl,72,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 6), (1, 7), (1, 20), (1, 28), (1, 29), (1, 31), (1, 33), (1, 35)]","[0, 2, 3, 4, 6, 7, 20, 28, 29, 31, 33, 35]","[17, 17, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
8,AGITEQ,C[Si](C)(C)C#Cc1ccccc1.Cc1c(C)c(C)c(C)c1C.Cc1c(C)c(C)c(C)c1C,72,10,"[(1, 10), (2, 10), (4, 10), (6, 10), (8, 10), (10, 11), (10, 23), (10, 18), (10, 25), (10, 27), (10, 29), (10, 31)]","[1, 2, 4, 6, 8, 11, 23, 18, 25, 27, 29, 31]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
9,AGITIU,C[Si](C)(C)C=Cc1ccccc1.Cc1c(C)c(C)c(C)c1C.Cc1c(C)c(C)c(C)c1C.O,72,1,"[(0, 1), (1, 2), (1, 14), (1, 24), (1, 16), (1, 18), (1, 20), (1, 22), (1, 26), (1, 28), (1, 30), (1, 32)]","[0, 2, 14, 24, 16, 18, 20, 22, 26, 28, 30, 32]","[8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
10,AGITUG,C[Si](C)(C)C(=Cc1ccccc1)C(=O)O.Cc1c(C)c(C)c(C)c1C.Cc1c(C)c(C)c(C)c1C,72,10,"[(1, 10), (2, 10), (4, 10), (6, 10), (8, 10), (10, 11), (10, 26), (10, 15), (10, 28), (10, 30), (10, 32), (10, 34)]","[1, 2, 4, 6, 8, 11, 26, 15, 28, 30, 32, 34]","[6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
