,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABAVAA,CC1=C(C)C(C)([SiH](Cl)C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C.Cl,80,1,"[(0, 1), (1, 2)]","[0, 2]","[17, 14]","['SINGLE', 'SINGLE']",2.0
1,ABAVEE,CC1=C(C)C(C)([SiH](Br)C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C.CC1=C(C)C(C)([SiH](Br)C2(C)C(C)=C(C)C(C)=C2C)C(C)=C1C,80,12,"[(10, 12), (12, 13)]","[10, 13]","[14, 14]","['SINGLE', 'SINGLE']",2.0
2,ABITOV,C1=CN(Cc2ccccn2)CN1Cc1ccccn1.C1=CN(Cc2ccccn2)CN1Cc1ccccn1,80,0,"[(0, 1), (0, 20)]","[1, 20]","[6, 6]","['SINGLE', 'SINGLE']",2.0
3,ABITUB,C1=CN(Cc2ccc3ccccc3n2)CN1Cc1ccc2ccccc2n1.C1=CN(Cc2ccc3ccccc3n2)CN1Cc1ccc2ccccc2n1,80,0,"[(0, 1), (0, 28)]","[1, 28]","[6, 6]","['SINGLE', 'SINGLE']",2.0
4,ABIWUH,Cl.O=C(O)c1ccccn1.O=C(O)c1ccccn1,80,1,"[(0, 1), (1, 2), (1, 11), (1, 10), (1, 19)]","[0, 2, 11, 10, 19]","[17, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
5,ABIXAO,Br.O=C(O)c1ccccn1.O=C(O)c1ccccn1,80,1,"[(0, 1), (1, 2), (1, 11), (1, 10), (1, 19)]","[0, 2, 11, 10, 19]","[35, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
6,ABUBEI,N#CS.N#CS.O=C(O)c1cccc(C(=O)O)n1,80,3,"[(2, 3), (3, 4), (3, 7), (3, 10), (3, 18)]","[2, 4, 7, 10, 18]","[8, 16, 16, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
7,ACHPHG,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(=O)O.CC(=O)O,80,4,"[(3, 4), (4, 5), (4, 9), (4, 28)]","[3, 5, 9, 28]","[8, 8, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,ACOMUD,CC(=O)C(=C(C)O)c1ccncc1.CC(=O)C(=C(C)O)c1ccncc1.Cl.Cl,80,1,"[(0, 1), (1, 2), (1, 3), (1, 16)]","[0, 2, 3, 16]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ACONEO,Br.Br.CC(=O)C(=C(C)O)c1ccncc1.CC(=O)C(=C(C)O)c1ccncc1,80,1,"[(0, 1), (1, 2), (1, 3), (1, 16)]","[0, 2, 3, 16]","[35, 35, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
10,ACUCAF,Br.Br.c1ccc(-c2ccc3cccnc3n2)nc1,80,1,"[(0, 1), (1, 2), (1, 3), (1, 18)]","[0, 2, 3, 18]","[35, 35, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
11,ACUFOW,I.I.c1ccc(-c2ccc3cccnc3n2)nc1,80,1,"[(0, 1), (1, 2), (1, 3), (1, 18)]","[0, 2, 3, 18]","[53, 53, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
12,ACUGAJ,C#N.C#N.c1ccc(-c2ccc3cccnc3n2)nc1,80,2,"[(1, 2), (2, 3), (2, 5), (2, 20)]","[1, 3, 5, 20]","[6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
13,ACUGEN,N#CS.N#CS.c1ccc(-c2ccc3cccnc3n2)nc1,80,3,"[(2, 3), (3, 4), (3, 7), (3, 22)]","[2, 4, 7, 22]","[16, 16, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
14,ADIZES,I[Hg](I)[TeH](c1ccccc1)c1ccccc1.c1ccccc1.c1ccccc1,52,16,"[(1, 16), (16, 17), (16, 23)]","[1, 17, 23]","[80, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
15,ADMEHH,C.Nc1ncnc2[nH]cnc12,80,1,"[(0, 1), (1, 2)]","[0, 2]","[6, 7]","['SINGLE', 'SINGLE']",2.0
16,ADOKIO,Br.Br.Cc1cncc(C)c1.Cc1cncc(C)c1,80,1,"[(0, 1), (1, 2), (1, 3), (1, 11)]","[0, 2, 3, 11]","[35, 35, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
17,ADOLEL,Cc1cncc(C)c1.Cc1cncc(C)c1.I.I,80,1,"[(0, 1), (1, 2), (1, 3), (1, 11)]","[0, 2, 3, 11]","[53, 53, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
18,AFEYUH,I.I.[I-].[I-],80,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[53, 53, 53, 53]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
19,AGERUA,CC(C)(C)c1ccccc1N=C1C(=Nc2ccccc2C(C)(C)C)c2cccc3cccc1c23.Cl.Cl,80,1,"[(0, 1), (1, 2), (1, 3), (1, 15)]","[0, 2, 3, 15]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
20,AGESAH,CC(C)(C)c1ccccc1N=C1C(=Nc2ccccc2C(C)(C)C)c2cccc3cccc1c23.N#CS.N#CS,80,33,"[(10, 33), (22, 33), (33, 34), (33, 37)]","[10, 22, 34, 37]","[7, 7, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
21,AGEWUF,Br.Br.[Br-].[Br-],80,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[35, 35, 35, 35]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
