,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABOZOG,Oc1ccc(Br)cc1C=NCCN(CCN=Cc1cc(Br)ccc1O)CCN=Cc1cc(Br)ccc1O,49,6,"[(5, 6), (6, 7), (6, 16), (6, 22), (6, 28), (6, 37)]","[5, 7, 16, 22, 28, 37]","[8, 8, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABUPAP,O=C(O)CN(CCN(CC(=O)O)CC(=O)NCc1ccccc1)CCN(CC(=O)O)CC(=O)NCc1ccccc1,49,3,"[(2, 3), (3, 4), (3, 8), (3, 11), (3, 14), (3, 18), (3, 21), (3, 33)]","[2, 4, 8, 11, 14, 18, 21, 33]","[8, 8, 7, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
2,ADIFUP,Br.Br.Br.c1ccc(CNCc2ccccn2)nc1,49,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 11), (1, 18)]","[0, 2, 3, 4, 11, 18]","[35, 35, 35, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,ADUQAT,CC(CC(O)(C(F)(F)F)C(F)(F)F)=NCCN=C(C)CC(O)(C(F)(F)F)C(F)(F)F.Cl,49,1,"[(0, 1), (1, 2), (1, 6), (1, 9), (1, 14)]","[0, 2, 6, 9, 14]","[17, 8, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
4,AHIPEO,CCOc1cccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2cccc(OCC)c2)CC(=O)O)CC(=O)O)c1,49,11,"[(10, 11), (11, 12), (11, 16), (11, 19), (11, 23), (11, 27), (11, 31), (11, 34)]","[10, 12, 16, 19, 23, 27, 31, 34]","[8, 8, 7, 7, 8, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,AHOMIT,I.I.I.I,49,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[53, 53, 53, 53]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
6,AKIDON,Cl.Cl.Cl.c1ccc(N=Nc2ccccc2[N-]c2cccc[nH+]2)nc1,49,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 11), (1, 18)]","[0, 2, 3, 4, 11, 18]","[17, 17, 17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,AKUYAI,C.C.COCCN=C(C)C=C(O)C(F)(F)F,49,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 10)]","[0, 2, 3, 7, 10]","[6, 6, 8, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
8,AMASUD,Cl.Cl.Cl.O.[Cl-].[Cl-],49,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[8, 17, 17, 17, 17, 17]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,AMEYEZ,Cc1c(C)n(C(C)C)c(=Nc2ccccc2Nc2c(C(C)C)cccc2C(C)C)n1C(C)C,49,13,"[(12, 13), (13, 14)]","[12, 14]","[7, 7]","['SINGLE', 'SINGLE']",2.0
10,AMIDUX,SC(=NN=C(c1ccccc1)c1ccccn1)NC1CCCCC1.SC(=NN=C(c1ccccc1)c1ccccn1)NC1CCCCC1,49,17,"[(0, 17), (3, 17), (16, 17), (17, 18), (17, 21), (17, 34)]","[0, 3, 16, 18, 21, 34]","[16, 7, 7, 16, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
