,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABABUE,C#O.C#O.CC(C)N=C(NC(C)C)N(C)C,77,9,"[(3, 9), (5, 9), (9, 10), (9, 12)]","[3, 5, 10, 12]","[7, 7, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABASUV,FC(F)(F)c1cc(-c2nccc3ccccc23)cc(C(F)(F)F)n1.FC(F)(F)c1cc(-c2nccc3ccccc23)cc(C(F)(F)F)n1.c1ccc(-c2cc(-c3ccccn3)[nH]n2)cc1,77,14,"[(7, 14), (14, 15), (14, 32), (14, 56), (14, 25), (14, 47)]","[7, 15, 32, 56, 25, 47]","[6, 7, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ABATAC,Cc1cc(-c2ccccn2)[nH]n1.FC(F)(F)c1cc(-c2nccc3ccccc23)cc(C(F)(F)F)n1.FC(F)(F)c1cc(-c2nccc3ccccc23)cc(C(F)(F)F)n1,77,12,"[(3, 12), (11, 12), (12, 13), (12, 37), (12, 28), (12, 52)]","[3, 11, 13, 37, 28, 52]","[7, 7, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,ABATEG,FC(F)(F)c1cc(-c2ccccn2)[nH]n1.FC(F)(F)c1cc(-c2nccc3ccccc23)cc(C(F)(F)F)n1.FC(F)(F)c1cc(-c2nccc3ccccc23)cc(C(F)(F)F)n1,77,15,"[(6, 15), (14, 15), (15, 16), (15, 40), (15, 31), (15, 55)]","[6, 14, 16, 40, 31, 55]","[7, 7, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
4,ABAYUA,CC(N=Cc1ccccc1O)c1ccccc1.Fc1ccc(-c2ccccn2)c(F)c1.Fc1ccc(-c2ccccn2)c(F)c1,77,11,"[(2, 11), (10, 11), (11, 12), (11, 26), (11, 25), (11, 39)]","[2, 10, 12, 26, 25, 39]","[7, 8, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,ABAZAH,CC(N=Cc1ccccc1O)c1ccccc1.Fc1ccc(-c2ccccn2)c(F)c1.Fc1ccc(-c2ccccn2)c(F)c1,77,11,"[(2, 11), (10, 11), (11, 12), (11, 26), (11, 25), (11, 39)]","[2, 10, 12, 26, 25, 39]","[7, 8, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ABAZEL,CC(N=Cc1ccccc1O)c1ccccc1.Fc1ccc(-c2ccccn2)c(F)c1.Fc1ccc(-c2ccccn2)c(F)c1,77,11,"[(2, 11), (10, 11), (11, 12), (11, 26), (11, 25), (11, 39)]","[2, 10, 12, 26, 25, 39]","[7, 8, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ABAZIP,CC(N=Cc1ccccc1O)c1ccccc1.Fc1ccc(-c2ccccn2)c(F)c1.Fc1ccc(-c2ccccn2)c(F)c1,77,11,"[(2, 11), (10, 11), (11, 12), (11, 26), (11, 25), (11, 39)]","[2, 10, 12, 26, 25, 39]","[7, 8, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,ABAZOU,CC(C)C(Cc1cccc1)N1C=CN(C)C1.I.I,77,1,"[(0, 1), (1, 2), (1, 3), (1, 11), (1, 12), (1, 13), (1, 14), (1, 15)]","[0, 2, 3, 11, 12, 13, 14, 15]","[53, 53, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
9,ABETOT,C1=CCCC=CCC1.O=C(O)c1cccc2c1C1(CC2)CCc2cccc(P(c3ccccc3)c3ccccc3)c21,77,3,"[(2, 3), (3, 4), (3, 12), (3, 5), (3, 8), (3, 9)]","[2, 4, 12, 5, 8, 9]","[8, 6, 15, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
