,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABEVAG,Br.Br.Br.CC#N.CC#N.CC#N.CC#N.CC#N,57,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 7), (1, 10), (1, 13), (1, 16)]","[0, 2, 3, 4, 7, 10, 13, 16]","[35, 35, 35, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
1,ABIQOS,O.O.O.O.O.O.O.O.O=S(=O)([O-])c1cc2c(O)c(c1)Sc1cc(S(=O)(=O)[O-])cc(c1O)Sc1cc(S(=O)(=O)[O-])cc(c1O)Sc1cc(S(=O)(=O)[O-])cc(c1O)S2,57,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9)]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
2,ABXALA,O.O.O=C(O)COc1ccccc1OCC(=O)O.O=C(O)COc1ccccc1OCC(=O)O,57,1,"[(0, 1), (1, 2), (1, 3), (1, 19), (1, 7), (1, 14), (1, 18), (1, 23), (1, 30), (1, 34)]","[0, 2, 3, 19, 7, 14, 18, 23, 30, 34]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
3,ACUGIP,CO.CO.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,57,2,"[(1, 2), (2, 3), (2, 7), (2, 11), (2, 15), (2, 17), (2, 6), (2, 10), (2, 14), (2, 28), (2, 34)]","[1, 3, 7, 11, 15, 17, 6, 10, 14, 28, 34]","[8, 8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
4,ACUGOV,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,57,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
5,ACUHAI,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,57,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
6,AGIGUS,C1CCOC1.CC(C)(C1c2ccccc2c2ccccc21)c1cccc1.CC(C)(c1cccc1)c1c2ccccc2c2ccccc12,57,21,"[(16, 21), (17, 21), (18, 21), (19, 21), (20, 21), (21, 22), (21, 27), (21, 28), (21, 29), (21, 30), (21, 31), (21, 35), (21, 36), (21, 41), (21, 42), (21, 47)]","[16, 17, 18, 19, 20, 22, 27, 28, 29, 30, 31, 35, 36, 41, 42, 47]","[6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
7,AGIHAZ,C1CCOC1.CC(C)(C1c2ccccc2c2ccccc21)c1cccc1.CC(C)(c1cccc1)c1c2ccccc2c2ccccc12,57,21,"[(16, 21), (17, 21), (18, 21), (19, 21), (20, 21), (21, 22), (21, 27), (21, 28), (21, 29), (21, 30), (21, 31), (21, 35), (21, 36), (21, 41), (21, 42), (21, 47)]","[16, 17, 18, 19, 20, 22, 27, 28, 29, 30, 31, 35, 36, 41, 42, 47]","[6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
8,AGUFIR,c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,57,21,"[(7, 21), (8, 21), (21, 22), (21, 49), (21, 36), (21, 63)]","[7, 8, 22, 49, 36, 63]","[7, 15, 7, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,AHOJUD,c1ccc2[n-]c(-c3nc4ccccc4[nH]3)nc2c1.c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1.c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1.c1ccc2[nH]c(-c3nc4ccccc4[nH]3)nc2c1,57,18,"[(7, 18), (17, 18), (18, 19), (18, 37), (18, 55), (18, 29), (18, 47), (18, 72)]","[7, 17, 19, 37, 55, 29, 47, 72]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
10,AHUVAB,CCO.CCO.O.O.O=N(O)O.O=N(O)O.O=N(O)O,57,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 11), (1, 15), (1, 18), (1, 6), (1, 10), (1, 14)]","[0, 2, 3, 7, 11, 15, 18, 6, 10, 14]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
11,AJIJOT,COc1cccc(C=[NH+]c2ccc(C)cc2)c1[O-].COc1cccc(C=[NH+]c2ccc(C)cc2)c1[O-].COc1cccc(C=[NH+]c2ccc(C)cc2)c1[O-].N=C=S.N=C=S.N=C=S,57,18,"[(1, 18), (17, 18), (18, 19), (18, 22), (18, 25), (18, 28), (18, 46), (18, 44), (18, 62)]","[1, 17, 19, 22, 25, 28, 46, 44, 62]","[8, 8, 7, 7, 7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
12,AJIPEP,C1=CC2=C(c3ccncc3)C3=CC=C(N3)C(c3cc[nH+]cc3)=C3C=CC(=N3)C(c3ccncc3)=C3C=CC(=C(c4ccncc4)C1=N2)N3.O.O.O=N(O)O.O=N(O)O.O=N(O)O.O=N([O-])O,57,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 11), (1, 15), (1, 19), (1, 6), (1, 10), (1, 14), (1, 18)]","[0, 2, 3, 7, 11, 15, 19, 6, 10, 14, 18]","[8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
13,AJODIP,N#C[N-]C#N.N#C[N-]C#N.N#C[N-]C#N.N#C[N-]C#N.O.O.O.O,57,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10), (1, 15), (1, 20)]","[0, 2, 3, 4, 5, 10, 15, 20]","[8, 8, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
14,AJUSIK,CC=CC1=CCC2CC1C2(C)C.CC=CC1=CCC2CC1C2(C)C.CC=CC1=CCC2CC1C2(C)C,57,12,"[(6, 12), (9, 12), (10, 12), (11, 12), (12, 13), (12, 25), (12, 14), (12, 15), (12, 16), (12, 26), (12, 27), (12, 28)]","[6, 9, 10, 11, 13, 25, 14, 15, 16, 26, 27, 28]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
15,AKEVET,[SbH]1[SbH]23[SbH2-][La]12456789%10[Sb]1[SbH-]4[SbH]5([SbH-]16)[SbH]71[Sb]8[SbH]39[Sb]1%10,51,12,"[(6, 12), (8, 12), (9, 12), (11, 12)]","[6, 8, 9, 11]","[51, 57, 51, 51]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
16,ALAWOC,CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.Cl,57,1,"[(0, 1), (1, 2), (1, 29), (1, 6), (1, 33)]","[0, 2, 29, 6, 33]","[17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
17,ALAXIX,CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.[H][BH-]([H])[H],57,3,"[(0, 3), (2, 3), (3, 4), (3, 5), (3, 32), (3, 9), (3, 36)]","[0, 2, 4, 5, 32, 9, 36]","[1, 1, 1, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
18,ALIRIX,CC(=NCCNCCN)c1cccc(C(C)=NCCNCCN)n1.O=N(O)O.O=N(O)O,57,9,"[(2, 9), (5, 9), (8, 9), (9, 10), (9, 25), (9, 29), (9, 13), (9, 16), (9, 24), (9, 28), (9, 32)]","[2, 5, 8, 10, 25, 29, 13, 16, 24, 28, 32]","[7, 7, 7, 7, 8, 8, 7, 7, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
19,ALIROD,CC(=NCCNCCN)c1cccc(C(C)=NCCNCCN)n1.O=N(O)O.O=N(O)O,57,9,"[(2, 9), (5, 9), (8, 9), (9, 10), (9, 25), (9, 29), (9, 13), (9, 16), (9, 24), (9, 28), (9, 32)]","[2, 5, 8, 10, 25, 29, 13, 16, 24, 28, 32]","[7, 7, 7, 7, 8, 8, 7, 7, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
20,ALIRUJ,CC(=NCCNCCN)c1cccc(C(C)=NCCNCCN)n1.O=N(O)O.O=N(O)O,57,9,"[(2, 9), (5, 9), (8, 9), (9, 10), (9, 25), (9, 29), (9, 13), (9, 16), (9, 24), (9, 28), (9, 32)]","[2, 5, 8, 10, 25, 29, 13, 16, 24, 28, 32]","[7, 7, 7, 7, 8, 8, 7, 7, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
21,AMEZIE,Cc1ccc(-n2nc(C)c(P(=O)(OC(C)C)OC(C)C)c2O)cc1.Cc1ccc(-n2nc(C)c(P(=O)(OC(C)C)OC(C)C)c2O)cc1.Cc1ccc(-n2nc(C)c(P(=O)(OC(C)C)OC(C)C)c2O)cc1.Cc1ccc(-n2nc(C)c(P(=O)(OC(C)C)OC(C)C)c2O)cc1,57,6,"[(5, 6), (6, 7), (6, 21), (6, 45), (6, 69), (6, 36), (6, 60), (6, 84)]","[5, 7, 21, 45, 69, 36, 60, 84]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
22,APBNLA,CC(=NNC(=O)c1ccccc1)c1cccc(C(C)=NNC(=O)c2ccccc2)n1.O=N(O)O.O=N(O)O.O=N(O)O,57,6,"[(2, 6), (5, 6), (6, 7), (6, 11), (6, 15), (6, 19), (6, 10), (6, 14), (6, 18), (6, 22), (6, 30)]","[2, 5, 7, 11, 15, 19, 10, 14, 18, 22, 30]","[7, 8, 8, 8, 8, 8, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
23,APOTAC,C1CCOC1.C1CCOC1.CC(C)(C)c1nnc(C(C)(C)C)p1.CC(C)(C)c1nnc(C(C)(C)C)p1.CC(C)(C)c1nnc(C(C)(C)C)p1,57,9,"[(7, 9), (8, 9), (9, 10), (9, 15), (9, 20), (9, 33), (9, 21), (9, 34)]","[7, 8, 10, 15, 20, 33, 21, 34]","[7, 7, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
24,APXLAP,C1COCCSCCOCCOCCSCCO1.O.[O-][Cl+3]([O-])([O-])O.[O-][Cl+3]([O-])([O-])O,57,1,"[(0, 1), (1, 2), (1, 7), (1, 12), (1, 15), (1, 18), (1, 21), (1, 24), (1, 27)]","[0, 2, 7, 12, 15, 18, 21, 24, 27]","[8, 8, 8, 8, 8, 16, 8, 8, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
25,AQANOX,C1CCOC1.CC(C)(C)O.CN(CCN=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O)CCN=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,57,13,"[(1, 13), (4, 13), (12, 13), (13, 14), (13, 33), (13, 38), (13, 18)]","[1, 4, 12, 14, 33, 38, 18]","[7, 7, 8, 8, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
26,AQILUH,CCO.CNC(=O)CN1CCN(CC(=O)NC)CCN(S(=O)(=O)c2ccc(OC)cc2)CCN(CC(=O)NC)CC1.O=S(=O)([O-])C(F)(F)F,57,3,"[(2, 3), (3, 4), (3, 42), (3, 7), (3, 10), (3, 13), (3, 16), (3, 21), (3, 25), (3, 37)]","[2, 4, 42, 7, 10, 13, 16, 21, 25, 37]","[8, 8, 8, 7, 7, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
27,AQUYAN,CC(C)(C)c1cc(C=NCCCN=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O[Na](Oc2c(C=NCCCN=Cc3cc(C(C)(C)C)cc(C(C)(C)C)c3O)cc(C(C)(C)C)cc2C(C)(C)C)(O2CCCC2)O2CCCC2)c(O)c(C(C)(C)C)c1,57,39,"[(8, 39), (12, 39), (20, 39), (22, 39), (26, 39), (30, 39), (38, 39), (39, 40)]","[8, 12, 20, 22, 26, 30, 38, 40]","[7, 7, 8, 8, 7, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
28,AREXEA,I.I.O=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,57,1,"[(0, 1), (1, 2), (1, 3), (1, 23), (1, 43), (1, 63)]","[0, 2, 3, 23, 43, 63]","[53, 53, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
