,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACOGIL,CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CO.CO.CO.CO.Cl,71,1,"[(0, 1), (1, 2), (1, 31), (1, 60), (1, 62), (1, 64), (1, 66)]","[0, 2, 31, 60, 62, 64, 66]","[17, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
1,ACULAM,O.O=N(O)O.O=N(O)O.O=[N+]([O-])O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,71,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
2,ACULEQ,O.O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,71,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 11), (1, 6), (1, 10), (1, 22), (1, 28)]","[0, 2, 3, 7, 11, 6, 10, 22, 28]","[8, 8, 8, 8, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
3,AHIPOY,CCOc1cccc(NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)Nc2cccc(OCC)c2)CC(=O)O)CC(=O)O)c1.O,71,1,"[(0, 1), (1, 2), (1, 6), (1, 9), (1, 13), (1, 16), (1, 29), (1, 33), (1, 36)]","[0, 2, 6, 9, 13, 16, 29, 33, 36]","[8, 8, 7, 7, 8, 8, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
4,AHUCOX,Cc1c(C)c(C)c(C(C)(C2=NC(C)(C)CO2)C2=NC(C)(C)CO2)c1C.Cc1ccccc1.Cc1ccccc1,71,16,"[(10, 16), (16, 17), (16, 24), (16, 31), (16, 33), (16, 35), (16, 37), (16, 38)]","[10, 17, 24, 31, 33, 35, 37, 38]","[7, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,AHUJUK,Cc1c(C)c(C)c(C(C)(C2=NC(C)(C)CO2)C2=NC(C)(C)CO2)c1C.Fc1cc(F)c(F)c(F)c1F.NB(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,71,7,"[(6, 7), (7, 8), (7, 32), (7, 43), (7, 52), (7, 53), (7, 55), (7, 57), (7, 59)]","[6, 8, 32, 43, 52, 53, 55, 57, 59]","[7, 7, 6, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
6,AJODIM,C1CCOC1.C[Si](C)(C)C.C[Si](C)(C)C.Cc1c(C)c(C)c([Si](C)(C)C2=CC=CO2)c1C,71,9,"[(1, 9), (2, 9), (4, 9), (6, 9), (7, 9), (9, 10), (9, 15), (9, 20), (9, 25)]","[1, 2, 4, 6, 7, 10, 15, 20, 25]","[6, 6, 6, 6, 6, 6, 6, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
7,AKAWEQ,CC(C)(C)c1cccc(C(C)(C)C)c1O.CC(C)(C)c1cccc(C(C)(C)C)c1O.C[Si](C)(C)C[Si](C)(C)C,71,11,"[(10, 11), (11, 12), (11, 27)]","[10, 12, 27]","[8, 8, 6]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
8,AKEWEU,[SbH]1[SbH]23[SbH2-][Lu]12456789%10[Sb]1[SbH-]4[SbH]5([SbH-]16)[SbH]71[Sb]8[SbH]39[Sb]1%10,51,12,"[(6, 12), (8, 12), (9, 12), (11, 12)]","[6, 8, 9, 11]","[51, 71, 51, 51]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,AKIPUI,C1CCOC1.C[Si](C)(C)C.C[Si](C)(C)C.Cc1cc(P(c2ccccc2)c2ccccc2)c2c(c1)C(C)(C)c1cc(C)cc(P(c3ccccc3)c3ccccc3)c1N2,71,31,"[(5, 31), (18, 31), (31, 32), (31, 37), (31, 42), (31, 47)]","[5, 18, 32, 37, 42, 47]","[7, 15, 6, 6, 8, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
10,AKIQET,C[Si](C)(C)N[Si](C)(C)C.Cc1cc(C)c(N=CC=Nc2c(C)cc(C)cc2C)c(C)c1.Cc1cc(C)c(N=CC=Nc2c(C)cc(C)cc2C)c(C)c1,71,19,"[(6, 19), (9, 19), (19, 20), (19, 29), (19, 32)]","[6, 9, 20, 29, 32]","[7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
11,AROBOB,C1CCOC1.COc1ccccc1-c1cccc(-c2ccccc2)c1O.COc1ccccc1-c1cccc(-c2ccccc2)c1O.C[Si](C)(C)C,71,15,"[(1, 15), (14, 15), (15, 16), (15, 21), (15, 42), (15, 34)]","[1, 14, 16, 21, 42, 34]","[8, 8, 6, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
12,ARUVAN,CN(C)C=C(O)C(C)(C)C.CN(C)C=C(O)C(C)(C)C.CN(C)C=C(O)C(C)(C)C,71,6,"[(1, 6), (5, 6), (6, 7), (6, 17), (6, 10), (6, 20)]","[1, 5, 7, 17, 10, 20]","[7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
13,AXAQUL,O=N(O)O.O=N(O)O.O=N(O)O.O=N([O-])O.O=N([O-])O,71,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 17), (3, 8), (3, 12), (3, 16), (3, 20)]","[2, 4, 5, 9, 13, 17, 8, 12, 16, 20]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
14,AXOMUV,C1COC(Cc2ccc3ccccc23)C1.Cl.c1ccc2c(CC3CCCO3)ccc2c1,71,1,"[(0, 1), (1, 2), (1, 17), (1, 8), (1, 9), (1, 10), (1, 11), (1, 16), (1, 23), (1, 24), (1, 25), (1, 26), (1, 31)]","[0, 2, 17, 8, 9, 10, 11, 16, 23, 24, 25, 26, 31]","[17, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
15,AXUHOS,CC(CN(Cc1ccccn1)Cc1ccccc1O)N(Cc1ccccn1)Cc1ccccc1O.Cl,71,1,"[(0, 1), (1, 2), (1, 10), (1, 14), (1, 21), (1, 29), (1, 36)]","[0, 2, 10, 14, 21, 29, 36]","[17, 8, 7, 7, 7, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
