,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABIMIJ,CC(C)(C)C(=N[Li](N=C(C(C)(C)C)C(C)(C)C)O1CCCC1)C(C)(C)C.CC(C)(C)C(=N[Li](N=C(C(C)(C)C)C(C)(C)C)O1CCCC1)C(C)(C)C,25,17,"[(5, 17), (7, 17), (17, 18), (17, 20)]","[5, 7, 18, 20]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABIMOP,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N[Li]N=C(C(C)(C)C)C(C)(C)C)C(C)(C)C,25,6,"[(5, 6), (6, 7), (6, 17), (6, 19)]","[5, 7, 17, 19]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABIMUV,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=[N-])C(C)(C)C,25,6,"[(5, 6), (6, 7), (6, 17), (6, 27)]","[5, 7, 17, 27]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
3,ABINAC,CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C.CC(C)(C)C(=N)C(C)(C)C,25,6,"[(5, 6), (6, 7), (6, 17), (6, 27)]","[5, 7, 17, 27]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
4,ABITEN,C#O.C#O.C#O.Cc1ccc(c2cccc3cccc(C)c32)cc1,25,18,"[(11, 18), (12, 18), (13, 18), (14, 18), (16, 18), (17, 18), (18, 19), (18, 21), (18, 23)]","[11, 12, 13, 14, 16, 17, 19, 21, 23]","[6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
5,ABIZES,Cc1nc2ccccc2[nH]1.Cc1nc2ccccc2[nH]1.N=C=S.N=C=S.[N-]=C=S.[N-]=C=S,25,10,"[(2, 10), (10, 11), (10, 14), (10, 17), (10, 20), (10, 23)]","[2, 11, 14, 17, 20, 23]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ABPQMN,Br.Br.O.c1ccc(-c2ccc3ccccc3n2)nc1,25,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 19)]","[0, 2, 3, 4, 19]","[8, 35, 35, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
7,ABUBII,C#O.C#O.C#O.CC1=CC(C)=NN1C(C(=O)O)N1N=C(C)C=C1C,25,14,"[(4, 14), (8, 14), (14, 15), (14, 18), (14, 20), (14, 22)]","[4, 8, 15, 18, 20, 22]","[7, 7, 8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,ABUKUG,O.O.Oc1c(F)cc(F)cc1C=NCCCN=Cc1cc(F)cc(F)c1O,25,1,"[(0, 1), (1, 2), (1, 3), (1, 13), (1, 17), (1, 27)]","[0, 2, 3, 13, 17, 27]","[8, 8, 8, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ABUMAN,C(=Cc1ccncc1)c1ccncc1.C(=Cc1ccncc1)c1ccncc1.O.O.O=C(O)COc1ccc(C(=O)O)cc1.O=C(O)COc1ccc(C(=O)O)cc1,25,1,"[(0, 1), (1, 2), (1, 3), (1, 17), (1, 31), (1, 45)]","[0, 2, 3, 17, 31, 45]","[8, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
