,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACIMEF,COC(=O)C(C=Nc1c(C)cccc1C)=CP(c1ccccc1)c1ccccc1.C[Si](C)(C)c1cccc1.C[Si](C)(C)c1cccc1,41,19,"[(6, 19), (19, 20), (19, 30), (19, 39), (19, 31), (19, 32), (19, 33), (19, 34), (19, 40), (19, 41), (19, 42), (19, 43)]","[6, 20, 30, 39, 31, 32, 33, 34, 40, 41, 42, 43]","[15, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
1,ACIZER,CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.Cc1nnc(C)n1.Cc1nnc(C)n1,41,7,"[(3, 7), (7, 8), (7, 15), (7, 28), (7, 41), (7, 16), (7, 29), (7, 42)]","[3, 8, 15, 28, 41, 16, 29, 42]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
2,ACIZOB,CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.c1ccc(c2nnnn2)cc1.c1ccc(c2nnnn2)cc1,41,9,"[(7, 9), (8, 9), (9, 10), (9, 21), (9, 32), (9, 45), (9, 33), (9, 46)]","[7, 8, 10, 21, 32, 45, 33, 46]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
3,AFIGEB,CC#CC.CCCC.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl,41,1,"[(0, 1), (1, 2), (1, 6), (1, 28), (1, 15), (1, 22), (1, 30)]","[0, 2, 6, 28, 15, 22, 30]","[17, 6, 7, 6, 7, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
4,AFIGIF,CC#CC.CCCC.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl,41,1,"[(0, 1), (1, 2), (1, 6), (1, 28), (1, 15), (1, 22), (1, 30)]","[0, 2, 6, 28, 15, 22, 30]","[17, 6, 7, 6, 7, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
5,AFISEO,COCCOC.Cl.Cl.Cl.O,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9)]","[0, 2, 3, 4, 5, 9]","[8, 17, 17, 17, 8, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,AFUYIK,CCN(CC)[P+](C)(N(CC)CC)N(CC)CC.Cc1c(C)c(C)c(C)c1C.Cl.Cl.Cl.Cl,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 22), (1, 24), (1, 26), (1, 28), (1, 30)]","[0, 2, 3, 4, 5, 22, 24, 26, 28, 30]","[17, 17, 17, 17, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
7,AFUZAD,CCN(CC)[P+](C)(N(CC)CC)N(CC)CC.Cl.Cl.Cl.Cl.c1cccc1,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 22), (1, 23), (1, 24), (1, 25), (1, 26)]","[0, 2, 3, 4, 5, 22, 23, 24, 25, 26]","[17, 17, 17, 17, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
8,AGAGIY,CCN.CCNCC.Cc1cccc(N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c1-c1c(C)cccc1N=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,41,3,"[(2, 3), (3, 4), (3, 52), (3, 8), (3, 23), (3, 31)]","[2, 4, 52, 8, 23, 31]","[7, 8, 7, 7, 7, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,AGAGOE,CCNC(C)C(Nc1cccc(C)c1-c1c(C)cccc1N=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1O.CCNCC.CCNCC,41,30,"[(6, 30), (21, 30), (29, 30), (30, 31), (30, 46), (30, 51)]","[6, 21, 29, 31, 46, 51]","[7, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
10,AHUYIN,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.CC(C)(C)N=Cc1ccccc1.F,41,1,"[(0, 1), (1, 2), (1, 7), (1, 38), (1, 11), (1, 39)]","[0, 2, 7, 38, 11, 39]","[9, 7, 7, 6, 7, 7]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
11,AHUYOT,CC(=CC(C)=NC(C)(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N.Cc1cccc(C)c1NCc1ccccc1,41,13,"[(12, 13), (13, 14), (13, 37), (13, 18), (13, 24)]","[12, 14, 37, 18, 24]","[7, 6, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
12,AKISUJ,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.Cl.Cl.c1ccncc1,41,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 39), (1, 12)]","[0, 2, 3, 8, 39, 12]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
13,AKITAQ,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.CC(C)(C)N.c1ccncc1,41,29,"[(12, 29), (16, 29), (29, 30), (29, 35), (29, 40)]","[12, 16, 30, 35, 40]","[7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'DOUBLE', 'SINGLE']",5.0
14,AKITIY,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.Cc1ccccc1.Cl,41,1,"[(0, 1), (1, 2), (1, 7), (1, 38), (1, 11)]","[0, 2, 7, 38, 11]","[17, 7, 7, 6, 7]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
15,AKITOE,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N.Cl.Cl,41,1,"[(0, 1), (1, 2), (1, 3), (1, 16), (1, 20)]","[0, 2, 3, 16, 20]","[17, 17, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE']",5.0
16,AKITUK,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.CC(C)(C)N.CN(C)c1ccncc1,41,29,"[(12, 29), (16, 29), (29, 30), (29, 35), (29, 40)]","[12, 16, 30, 35, 40]","[7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'DOUBLE', 'SINGLE']",5.0
17,ALOBOT,Cl.Cl.Cl.Cl.Cl.O=C(NC1CCCCC1)NC1CCCCC1,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[17, 17, 17, 17, 17, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
18,AMOXNB,O.O.O.O=C(O)C(=O)O.O=C(O)C(=O)O,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 10), (1, 9), (1, 15)]","[0, 2, 3, 4, 10, 9, 15]","[8, 8, 8, 8, 8, 8, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
19,AMULIE,CC#N.CC(C)(C)c1cc(C(c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.Cl.Cl.Cl,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 50), (1, 41)]","[0, 2, 3, 4, 50, 41]","[17, 17, 17, 8, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
20,ANAXOE,O.[N-]=[N+]=N.[N-]=[N+]=N.[N-]=[N+]=N.c1ccc(-c2ccccn2)nc1,41,1,"[(0, 1), (1, 2), (1, 5), (1, 8), (1, 11), (1, 22)]","[0, 2, 5, 8, 11, 22]","[8, 7, 7, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
21,ANAXUK,O.[N-]=[N+]=N.[N-]=[N+]=N.[N-]=[N+]=N.[N-]=[N+]=N.[N-]=[N+]=N,41,1,"[(0, 1), (1, 2), (1, 5), (1, 8), (1, 11), (1, 14)]","[0, 2, 5, 8, 11, 14]","[8, 7, 7, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
22,ANAYAR,N=N=N.N=N=N.N=N=N.O.[N-]=N=N.[N-]=N=N,41,1,"[(0, 1), (1, 2), (1, 5), (1, 8), (1, 11), (1, 14)]","[0, 2, 5, 8, 11, 14]","[8, 7, 7, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
23,AQEXEA,CC(C)(C)[Si](C)(C)c1cc2ccccc2c(-c2c(O)c([Si](C)(C)C(C)(C)C)cc3ccccc23)c1O.CNC.CNC.CNC,41,3,"[(1, 3), (3, 4), (3, 40), (3, 43), (3, 17)]","[1, 4, 40, 43, 17]","[7, 8, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
24,ARUQAH,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.c1cccc1,41,29,"[(12, 29), (16, 29), (29, 30), (29, 35), (29, 36), (29, 37), (29, 38), (29, 39)]","[12, 16, 30, 35, 36, 37, 38, 39]","[7, 7, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
25,ARUQEL,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.Cl.c1cccc1,41,1,"[(0, 1), (1, 2), (1, 7), (1, 38), (1, 39), (1, 40), (1, 41), (1, 42)]","[0, 2, 7, 38, 39, 40, 41, 42]","[17, 7, 7, 6, 6, 6, 6, 6]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
26,ARUVEP,C1CC1.CC1=CC(C)=NN1[BH](N1N=C(C)C=C1C)N1N=C(C)C=C1C.CC=CC.c1ccncc1,41,4,"[(1, 4), (2, 4), (4, 5), (4, 8), (4, 14), (4, 7), (4, 23), (4, 30)]","[1, 2, 5, 8, 14, 7, 23, 30]","[6, 6, 6, 7, 7, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
27,ARUVIT,CC1=CC(C)=NN1[BH](N1N=C(C)C=C1C)N1N=C(C)C=C1C.CC=C(C)C(CC=C(C)C)C(C)(C)O.O,41,1,"[(0, 1), (1, 2), (1, 16), (1, 13), (1, 25), (1, 32)]","[0, 2, 16, 13, 25, 32]","[8, 8, 7, 6, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
28,ARUVOZ,C#O.CC#CC.CC1=CC(C)=NN1[BH](N1N=C(C)C=C1C)N1N=C(C)C=C1C.c1ccccc1,41,14,"[(4, 14), (8, 14), (14, 15), (14, 17), (14, 23), (14, 30), (14, 22), (14, 32)]","[4, 8, 15, 17, 23, 30, 22, 32]","[7, 7, 6, 6, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
29,ARUVUG,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.c1cccc1,41,29,"[(12, 29), (16, 29), (29, 30), (29, 35), (29, 36), (29, 37), (29, 38), (29, 39)]","[12, 16, 30, 35, 36, 37, 38, 39]","[7, 7, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
30,ARUWAN,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.c1cccc1,41,29,"[(12, 29), (16, 29), (29, 30), (29, 35), (29, 36), (29, 37), (29, 38), (29, 39)]","[12, 16, 30, 35, 36, 37, 38, 39]","[7, 7, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
31,ASCLNB,Cl.Cl.Cl.Cl.Cl.O,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[8, 17, 17, 17, 17, 17]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
32,ATIKOD,CC(C)[SiH](Cl)C(C)C.c1cccc1.c1cccc1,41,8,"[(3, 8), (8, 9), (8, 14), (8, 10), (8, 11), (8, 12), (8, 13), (8, 15), (8, 16), (8, 17), (8, 18)]","[3, 9, 14, 10, 11, 12, 13, 15, 16, 17, 18]","[14, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
33,ATIKUJ,Cl[SiH](Cl)Cl.Cl[SiH](Cl)Cl.c1cccc1.c1cccc1,41,4,"[(1, 4), (4, 5), (4, 10), (4, 15), (4, 6), (4, 7), (4, 8), (4, 9), (4, 11), (4, 12), (4, 13), (4, 14)]","[1, 5, 10, 15, 6, 7, 8, 9, 11, 12, 13, 14]","[14, 6, 6, 14, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
34,AVEDIP,CCO(CC)[Li]123(c4ccccc41)(c1ccccc12)c1ccccc13.c1ccc2c(c1)[Li]213(c2ccccc21)c1ccccc13,41,12,"[(11, 12), (12, 13), (12, 32), (12, 38), (12, 25), (12, 31)]","[11, 13, 32, 38, 25, 31]","[6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
35,AVEDOV,CCO(CC)[Li]123(c4ccc(C)cc41)(c1ccc(C)cc12)c1ccc(C)cc13.CCO(CC)[Li]123(c4ccc(C)cc41)(c1ccc(C)cc12)c1ccc(C)cc13,41,13,"[(12, 13), (13, 14), (13, 21), (13, 28), (13, 47), (13, 54)]","[12, 14, 21, 28, 47, 54]","[6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
36,AYIYUC,C[SiH2]C.C[SiH](C)F.c1cccc1.c1cccc1,41,3,"[(1, 3), (3, 4), (3, 9), (3, 14), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (3, 11), (3, 12), (3, 13)]","[1, 4, 9, 14, 5, 6, 7, 8, 10, 11, 12, 13]","[14, 6, 6, 14, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
37,AYIZAJ,C[SiH2]C.C[SiH](C)Cl.c1cccc1.c1cccc1,41,3,"[(1, 3), (3, 4), (3, 9), (3, 14), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (3, 11), (3, 12), (3, 13)]","[1, 4, 9, 14, 5, 6, 7, 8, 10, 11, 12, 13]","[14, 6, 6, 14, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
38,AYIZEN,C[SiH2]C.C[SiH](C)Br.c1cccc1.c1cccc1,41,3,"[(1, 3), (3, 4), (3, 9), (3, 14), (3, 5), (3, 6), (3, 7), (3, 8), (3, 10), (3, 11), (3, 12), (3, 13)]","[1, 4, 9, 14, 5, 6, 7, 8, 10, 11, 12, 13]","[14, 6, 6, 14, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
39,AYODIB,CC123C4[BH]56[BH]78C9[BH]1%10[BH]971[BH]857[BH]462[BH]%10173.CC123C4[BH]56[BH]78C9[BH]1%10[BH]971[BH]857[BH]462[BH]%10173.Cl,41,1,"[(0, 1), (1, 2), (1, 13), (1, 3), (1, 4), (1, 5), (1, 9), (1, 11), (1, 14), (1, 15), (1, 16), (1, 20), (1, 22)]","[0, 2, 13, 3, 4, 5, 9, 11, 14, 15, 16, 20, 22]","[17, 6, 6, 5, 5, 6, 5, 6, 5, 5, 6, 5, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
40,AZOVOA,[As-]1[AsH][As-][AsH][AsH][As-][AsH][AsH]1,41,8,"[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8)]","[0, 1, 2, 3, 4, 5, 6, 7]","[33, 33, 33, 33, 33, 33, 33, 33]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
41,AZOVUG,[SbH]1[SbH][SbH2-][SbH][SbH2-][SbH][SbH][SbH2-]1,41,8,"[(0, 8), (1, 8), (2, 8), (3, 8), (4, 8), (5, 8), (6, 8), (7, 8)]","[0, 1, 2, 3, 4, 5, 6, 7]","[51, 51, 51, 51, 51, 51, 51, 51]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
42,BABMIE,I.I.I.I.O=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1,41,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 25)]","[0, 2, 3, 4, 5, 25]","[53, 53, 53, 53, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
43,BACFIY,CC(C)(C)c1cccc(C(C)(C)C)c1O.CC(C)c1cccc(C(C)C)c1N.CNC.CNC,41,3,"[(1, 3), (3, 4), (3, 17), (3, 32)]","[1, 4, 17, 32]","[7, 7, 8, 7]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE']",4.0
44,BACFOE,CC(C)(C)c1cccc(C(C)(C)C)c1O.CNC.CNC.Cc1cccc(C)c1N,41,3,"[(1, 3), (3, 4), (3, 13), (3, 28)]","[1, 4, 13, 28]","[7, 7, 8, 7]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE']",4.0
45,BACGAR,CC(C)(C)c1cccc(C(C)(C)C)c1O.CNC.CNC.Cc1ccccc1N,41,3,"[(1, 3), (3, 4), (3, 12), (3, 27)]","[1, 4, 12, 27]","[7, 7, 8, 7]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE']",4.0
