,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABIGAT,C1CCOC1.C1CCOC1.I.I.c1cnn([BH](n2cccn2)n2cccn2)c1,60,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 13), (1, 23), (1, 28)]","[0, 2, 3, 8, 13, 23, 28]","[53, 53, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
1,ABIGEX,C1CCOC1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.I.I,60,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 17), (1, 24)]","[0, 2, 3, 8, 17, 24]","[53, 53, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ACADUE,O=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1.O=[N+]([O-])O.O=[N+]([O-])O.O=[N+]([O-])O,60,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 33), (3, 53), (3, 7), (3, 11)]","[2, 4, 5, 9, 13, 33, 53, 7, 11]","[8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
3,ACEQEE,C1CCOC1.C1CCOC1.C1CCOC1.C1CCOC1.C1CCOC1.I.I,60,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 13), (1, 18), (1, 23)]","[0, 2, 3, 8, 13, 18, 23]","[53, 53, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
4,ACOGEH,CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CO.CO.CO.CO.Cl,60,1,"[(0, 1), (1, 2), (1, 31), (1, 60), (1, 62), (1, 64), (1, 66)]","[0, 2, 31, 60, 62, 64, 66]","[17, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
5,ACOGUX,CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CO.CO.CO.CO.O=N(O)O,60,2,"[(1, 2), (2, 3), (2, 7), (2, 36), (2, 65), (2, 67), (2, 69), (2, 6)]","[1, 3, 7, 36, 65, 67, 69, 6]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
6,ACUHOW,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,60,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
7,ADBMND,O.O=C(C=C(O)c1ccccc1)c1ccccc1.O=C(C=C(O)c1ccccc1)c1ccccc1.O=C(C=C(O)c1ccccc1)c1ccccc1,60,1,"[(0, 1), (1, 2), (1, 19), (1, 36), (1, 6), (1, 23), (1, 40)]","[0, 2, 19, 36, 6, 23, 40]","[8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
8,AGIHED,C1CCOC1.CC(C)(C1c2ccccc2c2ccccc21)c1cccc1.CC(C)(c1cccc1)c1c2ccccc2c2ccccc12,60,21,"[(16, 21), (17, 21), (18, 21), (19, 21), (20, 21), (21, 22), (21, 27), (21, 28), (21, 29), (21, 30), (21, 31), (21, 35), (21, 36), (21, 41), (21, 42), (21, 47)]","[16, 17, 18, 19, 20, 22, 27, 28, 29, 30, 31, 35, 36, 41, 42, 47]","[6, 6, 6, 6, 6, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
9,AGIZEZ,CCN(CC)C(=O)COCC(=O)O.CCN(CC)C(=O)COCC(=O)O.CCN(CC)C(=O)COCC(=O)O,60,7,"[(6, 7), (7, 8), (7, 14), (7, 27), (7, 12), (7, 18), (7, 21), (7, 31), (7, 34)]","[6, 8, 14, 27, 12, 18, 21, 31, 34]","[8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
10,AGUFOX,c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1.c1ccc(P(NP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,60,21,"[(7, 21), (8, 21), (21, 22), (21, 49), (21, 36), (21, 63)]","[7, 8, 22, 49, 36, 63]","[7, 15, 7, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
11,AGUGAL,O.O.O.O=N(O)O.O=N(O)O.O=N(O)O.O=N([O-])O,60,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 8), (1, 12), (1, 16), (1, 7), (1, 11), (1, 15), (1, 19)]","[0, 2, 3, 4, 8, 12, 16, 7, 11, 15, 19]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
12,AGUVIH,C1COC(Cc2ccc3ccccc23)C1.Cl.c1ccc2c(CC3CCCO3)ccc2c1,60,1,"[(0, 1), (1, 2), (1, 17), (1, 8), (1, 9), (1, 10), (1, 11), (1, 16), (1, 23), (1, 24), (1, 25), (1, 26), (1, 31)]","[0, 2, 17, 8, 9, 10, 11, 16, 23, 24, 25, 26, 31]","[17, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
13,AHEFIE,C(=Cc1ccccn1)c1ccncc1.C(=Cc1ccccn1)c1ccncc1.Cl.Cl.Cl.c1cscn1.c1cscn1,60,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 9), (1, 14), (1, 28)]","[0, 2, 3, 4, 9, 14, 28]","[17, 17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
14,AJUPIH,,60,0,[],[],[],[],0.0
15,AJUPON,,60,0,[],[],[],[],0.0
16,AJUTUX,CC(C)(C)c1cc(C(C)(C)C)c(C(C)(C)C)c1.[H][BH-]([H])[H].[H][BH]([H])[H].[H][BH]([H])[H],60,3,"[(0, 3), (2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 7), (3, 8), (3, 11), (3, 12), (3, 14), (3, 15), (3, 16), (3, 21)]","[0, 2, 4, 5, 9, 13, 7, 8, 11, 12, 14, 15, 16, 21]","[1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",14.0
17,AKIRUI,C1CCOC1.C1CCOC1.CC(C)N=P(CP(=NC(C)C)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.I.I,60,1,"[(0, 1), (1, 2), (1, 3), (1, 38), (1, 43), (1, 5), (1, 22)]","[0, 2, 3, 38, 43, 5, 22]","[53, 53, 6, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
18,AKISAP,C1CCOC1.C1CCOC1.I.I.c1ccc(N=P(CP(=Nc2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1,60,1,"[(0, 1), (1, 2), (1, 3), (1, 44), (1, 49), (1, 5), (1, 25)]","[0, 2, 3, 44, 49, 5, 25]","[53, 53, 6, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
19,AKISET,CC(C)N=P(CP(=NC(C)C)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.CC(C)N=P(CP(=NC(C)C)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.I,60,1,"[(0, 1), (1, 2), (1, 37), (1, 4), (1, 21), (1, 39), (1, 56)]","[0, 2, 37, 4, 21, 39, 56]","[53, 6, 6, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
20,AKISIX,CC(C)N=P(CP(=NC(C)C)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C,60,11,"[(3, 11), (5, 11), (7, 11), (11, 12), (11, 21)]","[3, 5, 7, 12, 21]","[7, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
21,AKISOD,C[Si](C)(C)N[Si](C)(C)C.C[Si](C)(C)N[Si](C)(C)C.c1ccc(N=P(CP(=Nc2ccccc2)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)cc1,60,9,"[(4, 9), (9, 10), (9, 51), (9, 12), (9, 32)]","[4, 10, 51, 12, 32]","[7, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
22,AKIVEW,Br.Br.C1CCOC1.Cc1cc(C)c(N2=CN(Cc3cccc(CN4C=CN(c5c(C)cc(C)cc5C)=C4)c3)C=C2)c(C)c1,60,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 15), (1, 34)]","[0, 2, 3, 8, 15, 34]","[35, 35, 8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
23,ALAWIW,CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.Cl,60,1,"[(0, 1), (1, 2), (1, 29), (1, 6), (1, 33)]","[0, 2, 29, 6, 33]","[17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
24,ALAXET,CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.[H][BH-]([H])[H],60,3,"[(0, 3), (2, 3), (3, 4), (3, 5), (3, 32), (3, 9), (3, 36)]","[0, 2, 4, 5, 32, 9, 36]","[1, 1, 1, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
