,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABIBOD,Cc1nn(-c2ccccc2)c(O)c1C(=O)C(C)(C)C.Cc1nn(-c2ccccc2)c(O)c1C(=O)C(C)(C)C,82,14,"[(13, 14), (14, 15), (14, 16), (14, 30)]","[13, 15, 16, 30]","[8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABIBUJ,Cc1nn(-c2ccccc2)c(O)c1C(=O)CC(C)(C)C.Cc1nn(-c2ccccc2)c(O)c1C(=O)CC(C)(C)C,82,8,"[(7, 8), (8, 9), (8, 10), (8, 24)]","[7, 9, 10, 24]","[8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ACASIH,Cc1occc(=S)c1O.Cc1occc(=S)c1O,82,4,"[(3, 4), (4, 5), (4, 14), (4, 13)]","[3, 5, 14, 13]","[8, 8, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
3,ACASON,Cc1c(O)c(=S)ccn1C.Cc1c(O)c(=S)ccn1C,82,6,"[(5, 6), (6, 7), (6, 11), (6, 20)]","[5, 7, 11, 20]","[16, 8, 8, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
4,ACUBIM,O=N(O)O.O=N(O)O.c1ccc(c2ccc3cccnc3n2)nc1.c1ccc(c2ccc3cccnc3n2)nc1,82,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 25), (3, 8), (3, 24), (3, 40)]","[2, 4, 5, 9, 25, 8, 24, 40]","[8, 8, 8, 7, 7, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,ADEKON,CN.CN.CN.CN.CN.CN,82,2,"[(1, 2), (2, 3), (2, 5), (2, 7), (2, 9), (2, 11)]","[1, 3, 5, 7, 9, 11]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ADOMEL,O=N(O)O.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,82,3,"[(2, 3), (3, 4), (3, 5), (3, 19), (3, 16), (3, 30)]","[2, 4, 5, 19, 16, 30]","[8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,AFEROV,Br.Br.Br.Br.[Br-].[Br-],82,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[35, 35, 35, 35, 35, 35]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,AGALIE,Sc1nc2ccccc2c2nc3ccccc3n12.c1ccccc1.c1ccccc1.c1ccccc1,82,18,"[(0, 18), (2, 18), (18, 19), (18, 25), (18, 31)]","[0, 2, 19, 25, 31]","[16, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
9,AGALOK,C1CCOC1.Sc1nc2ccccc2c2nc3ccccc3n12.Sc1nc2ccccc2c2nc3ccccc3n12.c1ccccc1.c1ccccc1,82,18,"[(0, 18), (2, 18), (18, 19), (18, 37), (18, 42), (18, 48), (18, 21)]","[0, 2, 19, 37, 42, 48, 21]","[16, 7, 16, 8, 6, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
