,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABAFOZ,CN(CCN(C)Cc1ccccc1)Cc1ccccc1.Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O,46,12,"[(11, 12), (12, 13), (12, 25), (12, 29)]","[11, 13, 25, 29]","[8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABAFUF,CN(CCN(C)Cc1ccccc1)Cc1ccccc1.Cl.Cl,46,1,"[(0, 1), (1, 2), (1, 3), (1, 7)]","[0, 2, 3, 7]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABAGAM,CN(CCN(C)Cc1c2ccccc2cc2ccccc12)Cc1c2ccccc2cc2ccccc12.Cl.Cl,46,1,"[(0, 1), (1, 2), (1, 3), (1, 7)]","[0, 2, 3, 7]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
3,ABAKUM,CN1C=CN(CC(=O)OC(C)(C)C)C1.I.I.c1ccncc1,46,1,"[(0, 1), (1, 2), (1, 3), (1, 17)]","[0, 2, 3, 17]","[53, 53, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
4,ABATIK,COc1ccc(C(O)=NN=C2CCCc3c2[nH]c2ccccc32)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,46,24,"[(10, 24), (17, 24), (24, 25), (24, 26)]","[10, 17, 25, 26]","[7, 7, 8, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
5,ABATOQ,OC(=NN=C1CCCc2c1[nH]c1ccccc21)c1ccc(Cl)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,46,23,"[(9, 23), (16, 23), (23, 24), (23, 25)]","[9, 16, 24, 25]","[7, 7, 8, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
6,ABAXUX,Br.Cc1ccccc1C(C)(C)C.c1cnn([BH](n2cccn2)n2cccn2)c1,46,1,"[(0, 1), (1, 2), (1, 13), (1, 12), (1, 23), (1, 28)]","[0, 2, 13, 12, 23, 28]","[35, 6, 7, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ABAZIO,CN(C)Cc1ccccc1.CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.O=C(O)C(F)(F)F,46,18,"[(9, 18), (18, 19), (18, 26), (18, 33)]","[9, 19, 26, 33]","[15, 8, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,ABETUZ,Sc1ccccc1.c1ccc(P(Oc2cccc(OP(c3ccccc3)c3ccccc3)c2)c2ccccc2)cc1,46,7,"[(0, 7), (7, 8), (7, 11), (7, 29)]","[0, 8, 11, 29]","[16, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ABEVAH,CC(C)P(Oc1cccc(OP(C(C)C)C(C)C)c1)C(C)C.Sc1ccccc1,46,18,"[(3, 18), (11, 18), (18, 19), (18, 26)]","[3, 11, 19, 26]","[15, 15, 16, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
10,ABEVEL,CC(C)(C)P(Oc1cccc(OP(C(C)(C)C)C(C)(C)C)c1)C(C)(C)C.Sc1ccccc1,46,21,"[(4, 21), (12, 21), (21, 22), (21, 29)]","[4, 12, 22, 29]","[15, 15, 16, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
11,ABIDIB,CC(=O)O.CC(=O)O.CC(C)NC1CCCCC1.CC(C)NC1CCCCC1,46,10,"[(3, 10), (10, 11), (10, 15), (10, 19)]","[3, 11, 15, 19]","[7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
12,ABIFAV,CC(C)NC1CCCCC1.CC(C)NC1CCCCC1.O=C(O)C12CC3CC(CC(C3)C1)C2.O=C(O)C12CC3CC(CC(C3)C1)C2,46,10,"[(3, 10), (10, 11), (10, 24), (10, 37)]","[3, 11, 24, 37]","[7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
13,ABIFEZ,CC(C)(C)C(=O)O.CC(C)(C)C(=O)O.CC(C)NC(C)C.CC(C)NC(C)C,46,7,"[(3, 7), (7, 8), (7, 15), (7, 22)]","[3, 8, 15, 22]","[7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
14,ABIWUE,Cl.Cl.FC(F)(F)c1ccccc1N=Cc1ccccn1,46,1,"[(0, 1), (1, 2), (1, 3), (1, 10)]","[0, 2, 3, 10]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
15,ABODIG,Cl.Cl.Nc1nc2ccccc2s1.Nc1nc2ccccc2s1,46,1,"[(0, 1), (1, 2), (1, 3), (1, 13)]","[0, 2, 3, 13]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
16,ABOFAZ,CCC1CSC(C2(C3=NC(CC)CS3)CCCCC2)=N1.Cl.Cl,46,1,"[(0, 1), (1, 2), (1, 3), (1, 17)]","[0, 2, 3, 17]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
17,ABOLAH,CC(C)CCOc1cc(OCCC(C)C)cc(-c2c3nc(c(N)c4ccc([nH]4)c(-c4cc(OCCC(C)C)cc(OCCC(C)C)c4)c4nc(cc5ccc2[nH]5)C=C4)C=C3)c1,46,57,"[(26, 57), (56, 57), (57, 58), (57, 59)]","[26, 56, 58, 59]","[7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
18,ABOMUD,C.COc1cc(C(c2ccc(C)cc2)c2ccc(C)cc2)c(N=C(C)C(C)=Nc2c(C(c3ccc(C)cc3)c3ccc(C)cc3)cc(OC)cc2C(c2ccc(C)cc2)c2ccc(C)cc2)c(C(c2ccc(C)cc2)c2ccc(C)cc2)c1.Cl,46,1,"[(0, 1), (1, 2), (1, 3), (1, 7)]","[0, 2, 3, 7]","[6, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
19,ABONAK,C.COc1cc(C(c2ccc(C)cc2)c2ccc(C)cc2)c(N=C2C(=Nc3c(C(c4ccc(C)cc4)c4ccc(C)cc4)cc(OC)cc3C(c3ccc(C)cc3)c3ccc(C)cc3)c3cccc4cccc2c34)c(C(c2ccc(C)cc2)c2ccc(C)cc2)c1.Cl,46,1,"[(0, 1), (1, 2), (1, 3), (1, 15)]","[0, 2, 3, 15]","[6, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
