,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACUHIQ,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,59,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
1,AHODAC,COc1cc(C)n(O)c(C)c1Br.COc1cc(C)n(O)c(C)c1Br.COc1cc(C)n(O)c(C)c1Br.Cl.Cl.Cl,59,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 16), (1, 28)]","[0, 2, 3, 4, 16, 28]","[17, 17, 17, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ALIRET,CC(=NCCNCCN)c1cccc(C(C)=NCCNCCN)n1.O=N(O)O.O=N(O)O,59,9,"[(2, 9), (5, 9), (8, 9), (9, 10), (9, 25), (9, 29), (9, 13), (9, 16), (9, 24), (9, 28), (9, 32)]","[2, 5, 8, 10, 25, 29, 13, 16, 24, 28, 32]","[7, 7, 7, 7, 8, 8, 7, 7, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
3,ANENAL,C(=Cc1ccc(C=Cc2ccncc2)cc1)c1ccncc1.C(=Cc1ccc(C=Cc2ccncc2)cc1)c1ccncc1.CO.CO.O=N(O)O.O=N(O)O.O=N(O)O,59,2,"[(1, 2), (2, 3), (2, 7), (2, 11), (2, 15), (2, 17), (2, 39), (2, 6), (2, 10), (2, 14)]","[1, 3, 7, 11, 15, 17, 39, 6, 10, 14]","[8, 8, 8, 8, 8, 7, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
4,APOTIK,C1CCOC1.C1CCOC1.CC(C)(C)c1nnc(C(C)(C)C)p1.CC(C)(C)c1nnc(C(C)(C)C)p1.CC(C)(C)c1nnc(C(C)(C)C)p1,59,9,"[(7, 9), (8, 9), (9, 10), (9, 15), (9, 20), (9, 33), (9, 21), (9, 34)]","[7, 8, 10, 15, 20, 33, 21, 34]","[7, 7, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
5,APOTUW,C1CCOC1.C1CCOC1.C1CCOC1.c1ccc(c2nnc(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1,59,5,"[(3, 5), (5, 6), (5, 11), (5, 16), (5, 33), (5, 50), (5, 17), (5, 34), (5, 51)]","[3, 6, 11, 16, 33, 50, 17, 34, 51]","[8, 8, 8, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
6,ARIBIN,O=N(O)O.O=N(O)O.O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1.O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,59,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 50), (3, 8), (3, 37), (3, 78)]","[2, 4, 5, 9, 50, 8, 37, 78]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
7,AROLIE,CC1=CC(c2cccc(C3=NNC(C)=C3)n2)=NN1.CCO.O=N(O)O.O=N(O)O.O=N(O)O,59,3,"[(2, 3), (3, 4), (3, 8), (3, 12), (3, 16), (3, 7), (3, 11), (3, 15), (3, 27), (3, 29)]","[2, 4, 8, 12, 16, 7, 11, 15, 27, 29]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
8,ARUYEU,CN(C)C=C(O)C(C)(C)C.CN(C)C=C(O)C(C)(C)C.CN(C)C=C(O)C(C)(C)C.CN(C)CC(=O)C(C)(C)C,59,6,"[(1, 6), (5, 6), (6, 7), (6, 17), (6, 27), (6, 10), (6, 20), (6, 30)]","[1, 5, 7, 17, 27, 10, 20, 30]","[7, 8, 8, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
9,ATOCOD,COc1cccc(C=[NH+]CC[NH+]=Cc2cccc(OC)c2O)c1[O-].O.O.O=N(O)O.O=N(O)O,59,1,"[(0, 1), (1, 2), (1, 3), (1, 27), (1, 31), (1, 17), (1, 20), (1, 25), (1, 30), (1, 34)]","[0, 2, 3, 27, 31, 17, 20, 25, 30, 34]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
10,AWORAF,COC(C)=O.c1cccc1.c1cccc1.c1cccc1,59,5,"[(4, 5), (5, 6), (5, 11), (5, 16), (5, 7), (5, 8), (5, 9), (5, 10), (5, 12), (5, 13), (5, 14), (5, 15), (5, 17), (5, 18), (5, 19), (5, 20)]","[4, 6, 11, 16, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20]","[8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
11,AWOXOZ,CS(C)=O.CS(C)=O.On1ccccc1S.On1ccccc1S.On1ccccc1S,59,4,"[(3, 4), (4, 5), (4, 13), (4, 21), (4, 29), (4, 12), (4, 20), (4, 28)]","[3, 5, 13, 21, 29, 12, 20, 28]","[8, 8, 8, 8, 8, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
12,AYEJET,CN1C=CN=C1CN(Cc1ccccn1)Cc1ccccn1.O=N(O)O.O=N(O)O.O=N(O)O,59,15,"[(4, 15), (7, 15), (14, 15), (15, 16), (15, 20), (15, 24), (15, 28), (15, 19), (15, 23), (15, 27)]","[4, 7, 14, 16, 20, 24, 28, 19, 23, 27]","[7, 7, 7, 8, 8, 8, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
13,AYUJOT,CO[PH](O)(OC)OC.c1cccc1.c1cccc1.c1cccc1,59,4,"[(3, 4), (4, 5), (4, 10), (4, 15), (4, 6), (4, 7), (4, 8), (4, 9), (4, 11), (4, 12), (4, 13), (4, 14), (4, 16), (4, 17), (4, 18), (4, 19)]","[3, 5, 10, 15, 6, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18, 19]","[8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",16.0
14,BAHREI,Cl.O.O.O.O.O.OC1COC(O)C(O)C1O,59,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 14), (1, 16)]","[0, 2, 3, 4, 5, 6, 7, 14, 16]","[8, 8, 8, 8, 8, 17, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
15,BANFEF,O=N(O)O.O=N(O)O.O=N(O)O.c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1.c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,59,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 35), (3, 8), (3, 12), (3, 32), (3, 54)]","[2, 4, 5, 9, 13, 35, 8, 12, 32, 54]","[8, 8, 8, 8, 7, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
16,BANVAN,C1CCOC1.C1CCOC1.C1CCOC1.C1CCOC1.O=N(O)O.O=N(O)O.O=N(O)O,59,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 18), (3, 23), (3, 28), (3, 8), (3, 12)]","[2, 4, 5, 9, 13, 18, 23, 28, 8, 12]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
17,BASKUC,CCC1=C(CC)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC.c1ccc2cc3c(cc2c1)-c1nc-3nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cc5ccccc5cc41)-c1cc4ccccc4cc1-3)c1cc3ccccc3cc21,59,22,"[(6, 22), (10, 22), (14, 22), (21, 22), (22, 23), (22, 27), (22, 44), (22, 68)]","[6, 10, 14, 21, 23, 27, 44, 68]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
18,BATZUV,C1CCOC1.C1CCOC1.Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O[Li](Oc2c(Cc3cc(C)cc(C(C)(C)C)c3O)cc(C)cc2C(C)(C)C)O2CCCC2)c(O)c(C(C)(C)C)c1,59,26,"[(12, 26), (14, 26), (25, 26), (26, 27), (26, 35), (26, 40)]","[12, 14, 25, 27, 35, 40]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
19,BAWHUG,C1CCOC1.C1CCOC1.C[Si](C)(C)[Si](O)([Si](C)(C)C)[Si](C)(C)C.C[Si](C)(C)[Si](O)([Si](C)(C)C)[Si](C)(C)C.C[Si](C)(C)[Si](O)([Si](C)(C)C)[Si](C)(C)C,59,6,"[(5, 6), (6, 7), (6, 21), (6, 35), (6, 40)]","[5, 7, 21, 35, 40]","[8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
20,BEHPAI,COP(=O)(N=C(O)c1ccccc1)OC.COP(=O)(N=C(O)c1ccccc1)OC.COP(=O)(N=C(O)c1ccccc1)OC.c1ccc(-c2ccccn2)nc1,59,4,"[(3, 4), (4, 5), (4, 14), (4, 29), (4, 44), (4, 18), (4, 33), (4, 55)]","[3, 5, 14, 29, 44, 18, 33, 55]","[8, 8, 8, 8, 7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
21,BELHEG,CCN(CC)C1=O[Lu+3]23456(O=C(N(CC)CC)c7cccc(n72)C2=N3c3cc(Cc7ccc8c(c7)N=C(c7cccc(C9=Nc%10ccccc%10N9CC)n7)N8CC)ccc3N2CC)(O=C(N(CC)CC)c2cccc(n24)C2=N5c3cc(Cc4ccc5c(c4)N=C(c4cccc(C7=Nc8ccccc8N7CC)n4)N5CC)ccc3N2CC)N2=C(c3cccc1n36)N(CC)c1ccc(Cc3ccc4c(c3)N=C(c3cccc(C5=Nc6ccccc6N5CC)n3)N4CC)cc12,59,38,"[(35, 38), (38, 39), (38, 85), (38, 102), (38, 46), (38, 75), (38, 92), (38, 109), (38, 145)]","[35, 39, 85, 102, 46, 75, 92, 109, 145]","[7, 7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
