,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABACRE,Br.Br.Br.Br.CC#N.N=O,75,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 7)]","[0, 2, 3, 4, 5, 7]","[35, 35, 35, 35, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABEKEB,C#O.C#O.C#O.C1CCCC2=NNN=C2CC1.c1ccc(c2ccccn2)nc1,75,2,"[(1, 2), (2, 3), (2, 5), (2, 7), (2, 18), (2, 29)]","[1, 3, 5, 7, 18, 29]","[6, 6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ABENRE,Br.Br.Br.Br.CCO.N=O,75,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 8)]","[0, 2, 3, 4, 5, 8]","[35, 35, 35, 35, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,ABEPOM,CC1=O[Na]2345(O)O6CCCO2c2ccccc2O3CC(CO4c2ccccc26)O5C1.O.O.O,75,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[8, 8, 8, 8]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'SINGLE']",4.0
4,ABEZAK,C#O.C#O.C#O.CN1C=CN=C1.CN1C=CN=C1.Nc1cccnc1,75,6,"[(4, 6), (6, 7), (6, 9), (6, 11), (6, 13), (6, 19)]","[4, 7, 9, 11, 13, 19]","[7, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,ABEZEO,C#O.C#O.C#O.CN1C=CN=C1.CN1C=CN=C1.Nc1cccnc1,75,6,"[(4, 6), (6, 7), (6, 9), (6, 11), (6, 13), (6, 19)]","[4, 7, 9, 11, 13, 19]","[7, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ABEZIS,C#O.C#O.C#O.CN1C=CN=C1.CN1C=CN=C1.Nc1cccnc1,75,6,"[(4, 6), (6, 7), (6, 9), (6, 11), (6, 13), (6, 19)]","[4, 7, 9, 11, 13, 19]","[7, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ABEZOY,C#O.C#O.C#O.CN1C=CN=C1.CN1C=CN=C1.CNC(=O)c1cccnc1,75,10,"[(8, 10), (10, 11), (10, 13), (10, 15), (10, 17), (10, 23)]","[8, 11, 13, 15, 17, 23]","[7, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,ABHPRE,CC(C)=NN=C(O)c1ccccc1.Cl.Cl.O.c1ccc(P(c2ccccc2)c2ccccc2)cc1,75,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 17), (1, 7)]","[0, 2, 3, 4, 17, 7]","[8, 17, 17, 8, 15, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ABIQIN,C#N.CC(O)=CC(C)=NCCN=C(C)C=C(C)O.O,75,1,"[(0, 1), (1, 2), (1, 18), (1, 6), (1, 9), (1, 15)]","[0, 2, 18, 6, 9, 15]","[8, 8, 6, 7, 7, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
