,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABEBEQ,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.CC(C)(C)P(Cc1cccc(CP(C(C)(C)C)C(C)(C)C)n1)C(C)(C)C,45,13,"[(4, 13), (12, 13), (13, 14), (13, 15)]","[4, 12, 14, 15]","[15, 15, 7, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABEJAS,Cc1cc(C)c(CP(c2ccccc2)c2ccccc2)c(C)c1CP(c1ccccc1)c1ccccc1.I.c1ccccc1,45,1,"[(0, 1), (1, 2), (1, 39), (1, 6), (1, 26)]","[0, 2, 39, 6, 26]","[53, 6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
2,ABEJEW,Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1.Cc1cc(C)c(CP(c2ccccc2)c2ccccc2)cc1CP(c1ccccc1)c1ccccc1.I,45,1,"[(0, 1), (1, 2), (1, 17), (1, 20), (1, 40)]","[0, 2, 17, 20, 40]","[53, 6, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABEJIA,FC(F)(F)c1ccc(Cc2c(CP(c3ccccc3)c3ccccc3)cccc2CP(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,45,27,"[(10, 27), (14, 27), (27, 28), (27, 46)]","[10, 14, 28, 46]","[6, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
4,ABEJOG,Cc1cc(C)c(CP(c2ccccc2)c2ccccc2)c(Cc2ccccc2)c1CP(c1ccccc1)c1ccccc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,45,20,"[(7, 20), (20, 21), (20, 44), (20, 31)]","[7, 21, 44, 31]","[15, 6, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
5,ABIBUI,CC(C)[Sb](C(C)C)C(C)C.c1ccc(Cc2ccccc2)cc1.c1ccc2cccc2c1,45,10,"[(3, 10), (10, 11), (10, 24), (10, 25), (10, 26), (10, 31), (10, 32)]","[3, 11, 24, 25, 26, 31, 32]","[51, 6, 6, 6, 6, 6, 6]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
6,ABICAP,C#O.CC(C)P(C(C)C)C(C)C.c1ccc(C(c2ccccc2)c2ccc3ccccc23)cc1,45,10,"[(3, 10), (10, 11), (10, 13), (10, 14), (10, 15), (10, 29), (10, 34)]","[3, 11, 13, 14, 15, 29, 34]","[15, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
7,ABICAQ,Br.C1=CCCC=CCC1.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1,45,1,"[(0, 1), (1, 2), (1, 23), (1, 17), (1, 24), (1, 27), (1, 28)]","[0, 2, 23, 17, 24, 27, 28]","[35, 6, 6, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
8,ABICEU,Br.C1=CC2C=CC1C2.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1,45,1,"[(0, 1), (1, 2), (1, 23), (1, 17), (1, 24), (1, 28), (1, 29)]","[0, 2, 23, 17, 24, 28, 29]","[35, 6, 6, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
9,ABICIY,C1=CCCC=CCC1.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1,45,11,"[(10, 11), (11, 12), (11, 20), (11, 13), (11, 16), (11, 17)]","[10, 12, 20, 13, 16, 17]","[6, 6, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
10,ABICOE,C1=CC2C=CC1C2.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1,45,11,"[(10, 11), (11, 12), (11, 19), (11, 13), (11, 17), (11, 18)]","[10, 12, 19, 13, 17, 18]","[6, 6, 7, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
11,ABICUK,Br.C#O.Cc1cc(C)c(N2C=CN(C3=NC(C)(C)CO3)C2)c(C)c1,45,1,"[(0, 1), (1, 2), (1, 4), (1, 19)]","[0, 2, 4, 19]","[35, 6, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
12,ABONOV,C#O.C#O.Cc1c(C)c(C)c(c2cccc3cccnc32)c1C,45,19,"[(1, 19), (2, 19), (4, 19), (6, 19), (17, 19), (19, 20), (19, 22)]","[1, 2, 4, 6, 17, 20, 22]","[6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
