,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,AFUFEM,C[Si](C)(C)N=C(N[Si](C)(C)C)c1ccccc1.C[Si](C)(C)NCCN(CCN[Si](C)(C)C)Cc1ccccn1,21,15,"[(4, 15), (7, 15), (10, 15), (15, 16), (15, 33), (15, 18)]","[4, 7, 10, 16, 33, 18]","[7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,AFUFOW,C[Si](C)(C)C.C[Si](C)(C)NCCN(CCN[Si](C)(C)C)Cc1ccccn1,21,5,"[(4, 5), (5, 6), (5, 9), (5, 12), (5, 23)]","[4, 6, 9, 12, 23]","[6, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
2,AJAMEE,C1=CC=CC=CC=C1.Cc1cccc(C)c1NC(=S)N=c1n(-c2c(C(C)C)cccc2C(C)C)ccn1-c1c(C(C)C)cccc1C(C)C,21,29,"[(17, 29), (20, 29), (29, 30), (29, 31), (29, 32), (29, 33), (29, 34), (29, 35), (29, 36), (29, 37)]","[17, 20, 30, 31, 32, 33, 34, 35, 36, 37]","[7, 7, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
3,AJAMOO,C1=CC=CC=CC=C1.C1CCOC1.CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)c1=N,21,18,"[(17, 18), (18, 19), (18, 24), (18, 25), (18, 26), (18, 27), (18, 28), (18, 29), (18, 30), (18, 31)]","[17, 19, 24, 25, 26, 27, 28, 29, 30, 31]","[7, 8, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
4,AJAMUU,C1CCOC1.C1CCOC1.C1CCOC1.CC(C)c1cccc(C(C)C)c1-n1ccn(-c2c(C(C)C)cccc2C(C)C)c1=N.Cl.Cl,21,1,"[(0, 1), (1, 2), (1, 3), (1, 33), (1, 38), (1, 43)]","[0, 2, 3, 33, 38, 43]","[17, 17, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,AMAVUF,C1CCOC1.CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N.Cl,21,1,"[(0, 1), (1, 2), (1, 15), (1, 46), (1, 19)]","[0, 2, 15, 46, 19]","[17, 7, 7, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
6,AMAWAM,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N.[H]B(CC)(CC)CC,21,8,"[(0, 8), (1, 8), (8, 9), (8, 22), (8, 26)]","[0, 1, 9, 22, 26]","[1, 5, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
7,AMAWEQ,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N.CCO,21,3,"[(2, 3), (3, 4), (3, 17), (3, 21)]","[2, 4, 17, 21]","[8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,AMAWIU,C=CO.CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N,21,13,"[(12, 13), (13, 14), (13, 17), (13, 21)]","[12, 14, 17, 21]","[7, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,AMAWOA,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N.OC(c1ccccc1)c1ccccc1,21,13,"[(12, 13), (13, 14), (13, 28), (13, 32)]","[12, 14, 28, 32]","[7, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
