,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABIDUK,Cc1c(C)c(C)c(C)c1C.c1ccccccc1,62,10,"[(1, 10), (2, 10), (4, 10), (6, 10), (8, 10), (10, 11), (10, 12), (10, 13), (10, 14), (10, 15), (10, 16), (10, 17), (10, 18)]","[1, 2, 4, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
1,ACEKOI,CC(C)(C)c1ccc(C(C)(C)C)c1.CC(C)(C)c1ccc(C(C)(C)C)c1.Cl[Li](Cl)(O1CCCC1)O1CCCC1,62,9,"[(4, 9), (5, 9), (6, 9), (7, 9), (8, 9), (9, 10), (9, 23), (9, 12), (9, 24), (9, 25), (9, 26), (9, 27)]","[4, 5, 6, 7, 8, 10, 23, 12, 24, 25, 26, 27]","[6, 6, 6, 6, 6, 17, 6, 17, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2,ACIXEQ,CCC(CC)Oc1cccc2c1-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cccc(OC(CC)CC)c41)-c1cccc(OC(CC)CC)c1-3)c1cccc(OC(CC)CC)c21.Clc1ccc(-c2c3nc(c(-c4ccc(Cl)cc4)c4ccc([nH]4)c(-c4ccc(Cl)cc4)c4nc(c(-c5ccc(Cl)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,62,39,"[(15, 39), (34, 39), (38, 39), (39, 40), (39, 92), (39, 51), (39, 65), (39, 71)]","[15, 34, 38, 40, 92, 51, 65, 71]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
3,ACIXOA,CCC(CC)Oc1cccc2c1-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cccc(OC(CC)CC)c41)-c1cccc(OC(CC)CC)c1-3)c1cccc(OC(CC)CC)c21.Clc1ccc(-c2c3nc(c(-c4ccc(Cl)cc4)c4ccc([nH]4)c(-c4ccc(Cl)cc4)c4nc(c(-c5ccc(Cl)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,62,28,"[(14, 28), (18, 28), (22, 28), (27, 28), (28, 29), (28, 40), (28, 54), (28, 60)]","[14, 18, 22, 27, 29, 40, 54, 60]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
4,ACUHUC,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,62,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
5,ADELAW,Oc1ccc(Cl)cc1C=NCCN(CCN=Cc1cc(Cl)ccc1O)CCN=Cc1cc(Cl)ccc1O,62,6,"[(5, 6), (6, 7), (6, 16), (6, 19), (6, 22), (6, 28), (6, 37)]","[5, 7, 16, 19, 22, 28, 37]","[8, 8, 7, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
6,ADEWUB,C[Si](C)(C)C[Si](C)(C)C.C[Si](C)(C)c1cc([Si](C)(C)c2cc([Si](C)(C)C)cc2[Si](C)(C)C)cc1[Si](C)(C)C,62,9,"[(4, 9), (9, 10), (9, 11), (9, 12), (9, 13), (9, 14), (9, 22), (9, 23), (9, 24), (9, 25), (9, 26)]","[4, 10, 11, 12, 13, 14, 22, 23, 24, 25, 26]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
7,AFESUB,O.O.O.O.O.O=C(O)c1ccc(C(=O)O)nc1.O=C([O-])c1ccc(C(=O)O)nc1,62,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 18), (1, 14), (1, 26)]","[0, 2, 3, 4, 5, 6, 18, 14, 26]","[8, 8, 8, 8, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
8,AFIYAS,O.O.O.O.O.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,62,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 20), (1, 17), (1, 31)]","[0, 2, 3, 4, 5, 6, 20, 17, 31]","[8, 8, 8, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
9,AFUXOQ,O=Cc1ccccc1O.O=Cc1ccccc1O.O=Cc1ccccc1O.c1cnc2c(c1)ccc1cccnc12,62,9,"[(0, 9), (8, 9), (9, 10), (9, 19), (9, 28), (9, 18), (9, 27), (9, 39)]","[0, 8, 10, 19, 28, 18, 27, 39]","[8, 8, 8, 8, 7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
10,AGUVON,C1COC(Cc2ccc3ccccc23)C1.Cl.c1ccc2c(CC3CCCO3)ccc2c1,62,1,"[(0, 1), (1, 2), (1, 17), (1, 8), (1, 9), (1, 10), (1, 11), (1, 16), (1, 23), (1, 24), (1, 25), (1, 26), (1, 31)]","[0, 2, 17, 8, 9, 10, 11, 16, 23, 24, 25, 26, 31]","[17, 8, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",13.0
11,AHOZUV,CN(C)C=O.Cl.Cl.O=P(CP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1.O=P(CP(=O)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,62,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 37), (1, 12), (1, 41)]","[0, 2, 3, 8, 37, 12, 41]","[17, 17, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
12,AJILIQ,CC(=NNC(=O)c1cccnc1)c1ccccn1.CC(=NNC(=O)c1cccnc1)c1ccccn1.O=N(O)O.O=N(O)O,62,6,"[(2, 6), (5, 6), (6, 7), (6, 11), (6, 15), (6, 33), (6, 10), (6, 14), (6, 18), (6, 26)]","[2, 5, 7, 11, 15, 33, 10, 14, 18, 26]","[7, 8, 8, 8, 8, 7, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
13,ALAWES,CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.Cl,62,1,"[(0, 1), (1, 2), (1, 29), (1, 6), (1, 33)]","[0, 2, 29, 6, 33]","[17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
14,ALAXAP,CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.CC(=CC(C)=Nc1ccccc1C(C)(C)C)Nc1ccccc1C(C)(C)C.[H][BH-]([H])[H],62,3,"[(0, 3), (2, 3), (3, 4), (3, 5), (3, 32), (3, 9), (3, 36)]","[0, 2, 4, 5, 32, 9, 36]","[1, 1, 1, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
15,AMOCIO,O=C(O)c1cccc(C(=O)N(c2ccccc2)c2ccccc2)n1.O=C(O)c1cccc(C(=O)N(c2ccccc2)c2ccccc2)n1.O=C(O)c1cccc(C(=O)N(c2ccccc2)c2ccccc2)n1,62,3,"[(2, 3), (3, 4), (3, 28), (3, 52), (3, 12), (3, 14), (3, 36), (3, 38), (3, 72)]","[2, 4, 28, 52, 12, 14, 36, 38, 72]","[8, 8, 8, 8, 7, 8, 7, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
16,AMOGOZ,Cn1ccnc1C=NCCN(CCN=Cc1nccn1C)CCN=Cc1nccn1C.O.O,62,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 13), (1, 16), (1, 19), (1, 26), (1, 29)]","[0, 2, 3, 6, 13, 16, 19, 26, 29]","[8, 8, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
17,AMOHOA,C(=NCCN(CCN=CC1=CNC=N1)CCN=CC1=CNC=N1)C1=CNC=N1.O=N(O)O,62,3,"[(2, 3), (3, 4), (3, 5), (3, 11), (3, 14), (3, 17), (3, 23), (3, 26), (3, 32)]","[2, 4, 5, 11, 14, 17, 23, 26, 32]","[8, 8, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
18,AMOJOC,C(=NCCNCCN=CC1=CNC=N1)C1=CNC=N1.CO.O=N(O)O.O=N(O)O,62,2,"[(1, 2), (2, 3), (2, 7), (2, 11), (2, 6), (2, 10), (2, 14), (2, 20), (2, 23), (2, 29)]","[1, 3, 7, 11, 6, 10, 14, 20, 23, 29]","[8, 8, 8, 7, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
19,ANEJIP,C1CCOC1.C1CCOC1.CC(C)c1cccc(C(C)C)c1N(SS)c1cc(C(C)(C)C)cc(C(C)(C)C)c1O.CC(C)c1cccc(C(C)C)c1Nc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,62,20,"[(12, 20), (19, 20), (20, 21), (20, 51), (20, 56), (20, 37), (20, 38)]","[12, 19, 21, 51, 56, 37, 38]","[7, 8, 8, 8, 8, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
20,APOSOP,c1ccc(c2n[n-]c(c3ccccc3)p2)cc1.c1ccc(c2n[n-]c(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1,62,11,"[(9, 11), (10, 11), (11, 12), (11, 29), (11, 46), (11, 63), (11, 13), (11, 30), (11, 56), (11, 73)]","[9, 10, 12, 29, 46, 63, 13, 30, 56, 73]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
21,APOVAE,C1CCOC1.c1ccc(c2n[n-]c(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1.c1ccc(c2nnc(c3ccccc3)p2)cc1,62,5,"[(3, 5), (5, 6), (5, 23), (5, 40), (5, 57), (5, 7), (5, 24), (5, 41), (5, 67)]","[3, 6, 23, 40, 57, 7, 24, 41, 67]","[8, 7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
22,APOVEI,CC(C)(C)c1n[n-]c(C(C)(C)C)p1.CC(C)(C)c1nnc(C(C)(C)C)p1.CC(C)(C)c1nnc(C(C)(C)C)p1.CC(C)(C)c1nnc(C(C)(C)C)p1,62,9,"[(7, 9), (8, 9), (9, 10), (9, 23), (9, 36), (9, 11), (9, 24), (9, 40)]","[7, 8, 10, 23, 36, 11, 24, 40]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
23,AQANEN,C1CCOC1.CC(C)(C)O.CN(CCN=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O)CCN=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,62,13,"[(1, 13), (4, 13), (12, 13), (13, 14), (13, 33), (13, 38), (13, 18)]","[1, 4, 12, 14, 33, 38, 18]","[7, 7, 8, 8, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
24,AQEPAO,O.O.O.O=C(O)c1cc(O)cc(C(=O)O)n1.O=C([O-])c1cc(O)cc(C(=O)O)n1,62,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 17), (1, 13), (1, 16), (1, 26), (1, 29)]","[0, 2, 3, 4, 17, 13, 16, 26, 29]","[8, 8, 8, 8, 8, 7, 8, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
25,AQEZIF,COCCOC.COCCOC.Cl.Cl.Cl,62,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 10), (1, 8), (1, 14)]","[0, 2, 3, 4, 10, 8, 14]","[17, 17, 17, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
26,AROMAX,CC1=CC(c2cccc(C3=NNC(C)=C3)n2)=NN1.CCO.O=N(O)O.O=N(O)O.O=N(O)O,62,3,"[(2, 3), (3, 4), (3, 8), (3, 12), (3, 16), (3, 7), (3, 11), (3, 15), (3, 27), (3, 29)]","[2, 4, 8, 12, 16, 7, 11, 15, 27, 29]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
27,ATAHAF,C1CCOC1.C1CCOC1.C1CCOC1.CC(C)c1cccc(C(C)C)c1N=Cc1ccc(C=Nc2c(C(C)C)cccc2C(C)C)[nH]1.I,62,1,"[(0, 1), (1, 2), (1, 35), (1, 40), (1, 45), (1, 8), (1, 22)]","[0, 2, 35, 40, 45, 8, 22]","[53, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
28,AWUCEA,C[Si](C)(C)N(C(=NC1CCCCC1)NC1CCCCC1)[Si](C)(C)C.C[Si](C)(C)N(C(=NC1CCCCC1)NC1CCCCC1)[Si](C)(C)C.Cl[Li](Cl)(O1CCCC1)O1CCCC1,62,13,"[(6, 13), (13, 14), (13, 27), (13, 34), (13, 16), (13, 42)]","[6, 14, 27, 34, 16, 42]","[7, 17, 7, 7, 17, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
29,AXAPEU,O=N(O)O.O=N(O)O.O=N(O)O.O=N([O-])O.O=N([O-])O,62,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 13), (3, 17), (3, 8), (3, 12), (3, 16), (3, 20)]","[2, 4, 5, 9, 13, 17, 8, 12, 16, 20]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
30,AXEVOP,C1CCOC1.C1CCOC1.C1CCOC1.FC(F)(F)c1cc(-c2cccs2)[nH]n1.FC(F)(F)c1cc(-c2cccs2)[nH]n1.FC(F)(F)c1cc(-c2cccs2)[nH]n1,62,14,"[(5, 14), (6, 14), (14, 15), (14, 29), (14, 43), (14, 48), (14, 53), (14, 16), (14, 30)]","[5, 6, 15, 29, 43, 48, 53, 16, 30]","[7, 7, 7, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
31,AXEZOV,C1COCCOCCOCCOCCOCCO1.[H][BH-]([H])[N+](C)(C)[BH-]([H])[H].[H][BH-]([H])[N+]([BH3-])(C)C,62,3,"[(0, 3), (2, 3), (3, 4), (3, 13), (3, 6), (3, 11), (3, 12), (3, 16), (3, 19), (3, 22), (3, 25), (3, 28)]","[0, 2, 4, 13, 6, 11, 12, 16, 19, 22, 25, 28]","[1, 1, 1, 8, 1, 1, 1, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
32,AXINUT,C1CCOC1.C1CCOC1.C1CCOC1,62,5,"[(3, 5), (5, 6), (5, 11)]","[3, 6, 11]","[8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
33,AXIPAB,COCCOC.COCCOC.[BH3-][N+]([BH3-])(C)C.[BH3-][N+]([BH3-])(C)C,62,6,"[(1, 6), (4, 6), (6, 7), (6, 12), (6, 17), (6, 11), (6, 16), (6, 21)]","[1, 4, 7, 12, 17, 11, 16, 21]","[8, 8, 5, 5, 8, 5, 5, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
34,AXIPEF,COCCOCCOC.[H][BH]([H])N(C)(C)[BH]([H])[H].[H][BH]([H])N(C)(C)[BH]([H])[H],62,3,"[(0, 3), (2, 3), (3, 4), (3, 10), (3, 19), (3, 6), (3, 12), (3, 17), (3, 18), (3, 23), (3, 26)]","[0, 2, 4, 10, 19, 6, 12, 17, 18, 23, 26]","[1, 1, 1, 1, 8, 1, 1, 1, 1, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",11.0
35,AYEBOY,NNC(=O)c1ccccc1.NNC(=O)c1ccccc1.NNC(=O)c1ccccc1.NNC(=O)c1ccccc1.O=[N+]([O-])O,62,4,"[(3, 4), (4, 5), (4, 15), (4, 25), (4, 35), (4, 8), (4, 18), (4, 28), (4, 38)]","[3, 5, 15, 25, 35, 8, 18, 28, 38]","[8, 7, 7, 7, 7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
36,AYEJIX,CN1C=CN=C1CN(Cc1ccccn1)Cc1ccccn1.O=N(O)O.O=N(O)O.O=N(O)O,62,15,"[(4, 15), (7, 15), (14, 15), (15, 16), (15, 20), (15, 24), (15, 28), (15, 19), (15, 23), (15, 27)]","[4, 7, 14, 16, 20, 24, 28, 19, 23, 27]","[7, 7, 7, 8, 8, 8, 7, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
37,AZICIY,C1CCOC1.C1CCOC1.C1CCOC1.I.I.I,62,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 9), (1, 14)]","[0, 2, 3, 4, 9, 14]","[53, 53, 53, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
38,BABGUI,O=C([O-])CN1CCN(CP(=O)([O-])O)CCN(CC(=O)O)CCN(CP(=O)(O)O)CC1,62,4,"[(3, 4), (4, 5), (4, 9), (4, 12), (4, 15), (4, 18), (4, 25), (4, 29)]","[3, 5, 9, 12, 15, 18, 25, 29]","[8, 8, 7, 7, 7, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
39,BARDIH,Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.c1cccc1,62,15,"[(9, 15), (15, 16), (15, 21), (15, 28), (15, 17), (15, 18), (15, 19), (15, 20), (15, 37), (15, 44)]","[9, 16, 21, 28, 17, 18, 19, 20, 37, 44]","[7, 6, 7, 7, 6, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
