,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABENIE,CCCN=c1cccccc1NCCC.[N-]=[N+]=N,50,4,"[(3, 4), (4, 5), (4, 8)]","[3, 5, 8]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
1,ABIBIX,Cc1nn(-c2ccccc2)c(O)c1C(=O)Cc1ccccc1.Cc1nn(-c2ccccc2)c(O)c1C(=O)Cc1ccccc1,50,8,"[(7, 8), (8, 9), (8, 10), (8, 24)]","[7, 9, 10, 24]","[8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABIFOJ,CCCC.CCCC.CCCC.COC12CCC3(C)C(CC=C4C5(O)CCC(=O)C5(C=O)C=C(C)C43O1)C2,50,4,"[(3, 4), (4, 5), (4, 9), (4, 13)]","[3, 5, 9, 13]","[6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
3,ABOCEB,NC(O)=NN=Cc1ncccc1O.c1ccccc1.c1ccccc1,50,12,"[(3, 12), (11, 12), (12, 13), (12, 14), (12, 20)]","[3, 11, 13, 14, 20]","[7, 8, 8, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
4,ABOLAF,O=C(O)c1nccs1.c1ccccc1.c1ccccc1.c1ccccc1,50,3,"[(2, 3), (3, 4), (3, 10), (3, 16)]","[2, 4, 10, 16]","[8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
5,ABOMIQ,O=C(O)c1ccccc1O.O=P(c1ccccc1)(c1ccccc1)c1ccccc1.c1ccccc1.c1ccccc1.c1ccccc1,50,10,"[(9, 10), (10, 11), (10, 31), (10, 37), (10, 43)]","[9, 11, 31, 37, 43]","[8, 8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
6,ABOREO,C(=C(C(=Cc1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1.Cl.Cl,50,1,"[(0, 1), (1, 2), (1, 3), (1, 12)]","[0, 2, 3, 12]","[17, 17, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
7,ABOYEW,O=C(O)C(C1CCCCC1)C1CCCCC1.c1ccccc1.c1ccccc1.c1ccccc1,50,3,"[(2, 3), (3, 4), (3, 10), (3, 16)]","[2, 4, 10, 16]","[8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,ABOYIA,CNc1ccccc1C(=O)O.c1ccccc1.c1ccccc1.c1ccccc1,50,11,"[(10, 11), (11, 12), (11, 18), (11, 24)]","[10, 12, 18, 24]","[8, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ABOZID,C.C.CC(O)=CC(C)=NC(Cc1ccc(O)cc1)C(=O)O,50,1,"[(0, 1), (1, 2), (1, 3), (1, 7), (1, 19)]","[0, 2, 3, 7, 19]","[6, 6, 8, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
