,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABUNOB,OO.[O-]O.[O-]O.[O-]O,73,2,"[(0, 2), (1, 2), (2, 3), (2, 5), (2, 7), (2, 4), (2, 6), (2, 8)]","[0, 1, 3, 5, 7, 4, 6, 8]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
1,ABUNUH,O=C([O-])C[N+]([O-])(CC[N+]([O-])(CC(=O)[O-])CC(=O)O)CC(=O)[O-].OO.OO,73,16,"[(15, 16), (16, 17), (16, 19), (16, 21), (16, 25), (16, 26), (16, 18), (16, 20)]","[15, 17, 19, 21, 25, 26, 18, 20]","[8, 8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
2,ABUPUL,CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.Cl,73,1,"[(0, 1), (1, 2), (1, 48), (1, 17), (1, 39), (1, 63), (1, 85)]","[0, 2, 48, 17, 39, 63, 85]","[17, 8, 8, 15, 8, 15, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
3,ACUXEC,Cc1c(C)c(C)c(C)c1C.PP(c1ccccc1)P(c1ccccc1)P(c1ccccc1)P(Pc1ccccc1)c1ccccc1.c1ccccc1,73,10,"[(1, 10), (2, 10), (4, 10), (6, 10), (8, 10), (10, 11), (10, 47), (10, 12), (10, 21), (10, 22)]","[1, 2, 4, 6, 8, 11, 47, 12, 21, 22]","[6, 6, 6, 6, 6, 15, 6, 15, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
4,ADESEH,C1CCOC1.Cl.Cl.Cl.Cl.N=P(Cl)(Cl)Cl,73,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10)]","[0, 2, 3, 4, 5, 10]","[17, 17, 17, 17, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,ADEYIR,CC(C)(C)P(=N)(C(C)(C)C)C(C)(C)C.Cc1c(C)c(C)c(C)c1C.Cl.Cl.Cl,73,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 18), (1, 20), (1, 22), (1, 24), (1, 26)]","[0, 2, 3, 4, 18, 20, 22, 24, 26]","[17, 17, 17, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
6,ADEYOX,C.C.C.CC(C)(C)P(=N)(C(C)(C)C)C(C)(C)C.Cc1c(C)c(C)c(C)c1C,73,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 18), (1, 20), (1, 22), (1, 24), (1, 26)]","[0, 2, 3, 4, 18, 20, 22, 24, 26]","[6, 6, 6, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
7,ADEYUD,CC(C)(C)P(=N)(C(C)(C)C)C(C)(C)C.Cc1c(C)c(C)c(C)c1C.Cc1ccccc1.Cl.Cl,73,1,"[(0, 1), (1, 2), (1, 3), (1, 10), (1, 24), (1, 26), (1, 28), (1, 30), (1, 32)]","[0, 2, 3, 10, 24, 26, 28, 30, 32]","[17, 17, 6, 7, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
8,ADEZAK,CC(C)(C)P(=N)(C(C)(C)C)C(C)(C)C.Cc1c(C)c(C)c(C)c1C.Cc1ccccc1.Cc1ccccc1,73,6,"[(5, 6), (6, 7), (6, 14), (6, 21), (6, 23), (6, 25), (6, 27), (6, 29)]","[5, 7, 14, 21, 23, 25, 27, 29]","[7, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
9,ADEZEO,CC(C)(C)P(=N)(C(C)(C)C)C(C)(C)C.CCc1ccccc1.Cc1c(C)c(C)c(C)c1C.Cc1ccccc1,73,6,"[(5, 6), (6, 7), (6, 15), (6, 22), (6, 8), (6, 24), (6, 26), (6, 28), (6, 30)]","[5, 7, 15, 22, 8, 24, 26, 28, 30]","[7, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
