,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACUJIS,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,65,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
1,AGIYUO,O.O=C(O)CN(CCO)CCO.O=N(O)O.O=N(O)O,65,1,"[(0, 1), (1, 2), (1, 13), (1, 17), (1, 6), (1, 9), (1, 12), (1, 16), (1, 20)]","[0, 2, 13, 17, 6, 9, 12, 16, 20]","[8, 8, 8, 8, 7, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
2,AHOXIE,CCN(CC)CCN=C(C)C=C(C)NCCN(CC)CC.C[Si](C)(C)C.C[Si](C)(C)C,65,19,"[(2, 19), (7, 19), (11, 19), (14, 19), (19, 20), (19, 25)]","[2, 7, 11, 14, 20, 25]","[7, 7, 7, 7, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,AJODEL,N#C[N-]C#N.N#C[N-]C#N.N#C[N-]C#N.N#C[N-]C#N.O.O.O.O,65,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 10), (1, 15), (1, 20)]","[0, 2, 3, 4, 5, 10, 15, 20]","[8, 8, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
4,AMOHEQ,Cn1ccnc1C=NCCN(CCN=Cc1nccn1C)CCN=Cc1nccn1C.O.O,65,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 13), (1, 16), (1, 19), (1, 26), (1, 29)]","[0, 2, 3, 6, 13, 16, 19, 26, 29]","[8, 8, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
5,AMOJES,C(=NCCN(CCN=CC1=CNC=N1)CCN=CC1=CNC=N1)C1=CNC=N1.O=N(O)O,65,3,"[(2, 3), (3, 4), (3, 5), (3, 11), (3, 14), (3, 17), (3, 23), (3, 26), (3, 32)]","[2, 4, 5, 11, 14, 17, 23, 26, 32]","[8, 8, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
6,AMOKET,C(=NCCNCCN=CC1=CNC=N1)C1=CNC=N1.CO.O=N(O)O.O=N(O)O,65,2,"[(1, 2), (2, 3), (2, 7), (2, 11), (2, 6), (2, 10), (2, 14), (2, 20), (2, 23), (2, 29)]","[1, 3, 7, 11, 6, 10, 14, 20, 23, 29]","[8, 8, 8, 7, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
7,APEXUP,O=C([O-])CN(CCN(CCN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O,65,18,"[(4, 18), (7, 18), (10, 18), (13, 18), (17, 18), (18, 19), (18, 23), (18, 27), (18, 31)]","[4, 7, 10, 13, 17, 19, 23, 27, 31]","[7, 7, 7, 7, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
8,AQAHAD,CN(C)C=O.Cc1ccnc(c2cc(C)cc(C3=NN=NN3)n2)c1.Cc1ccnc(c2cc(C)cc(C3=NN=NN3)n2)c1.O=N(O)O,65,5,"[(4, 5), (5, 6), (5, 10), (5, 29), (5, 9), (5, 21), (5, 28), (5, 40), (5, 47)]","[4, 6, 10, 29, 9, 21, 28, 40, 47]","[8, 8, 7, 7, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
9,ARIKIW,C1CCOC1.C[Si](C)(C)C.C[Si](C)(C)C.Cc1c(C)c(C)c([Si](C)(C)C)c1C,65,9,"[(1, 9), (2, 9), (4, 9), (6, 9), (7, 9), (9, 10), (9, 15), (9, 20)]","[1, 2, 4, 6, 7, 10, 15, 20]","[6, 6, 6, 6, 6, 6, 6, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
