,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ACESAC,CCN(CC)CCS.COc1ccc(S)cc1.COc1ccc(S)cc1.O,43,1,"[(0, 1), (1, 2), (1, 10), (1, 19), (1, 5)]","[0, 2, 10, 19, 5]","[8, 16, 16, 16, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
1,AGAGAQ,Cl.N.SCCP(C1CCCCC1)C1CCCCC1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,43,1,"[(0, 1), (1, 2), (1, 3), (1, 19), (1, 6)]","[0, 2, 3, 19, 6]","[7, 17, 16, 15, 15]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
2,AGAGEU,N.SCCP(C1CCCCC1)C1CCCCC1.SCCP(C1CCCCC1)C1CCCCC1,43,1,"[(0, 1), (1, 2), (1, 18), (1, 5), (1, 21)]","[0, 2, 18, 5, 21]","[7, 16, 16, 15, 15]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,AMOGIS,O.O.O.[OH-],43,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[8, 8, 8, 8]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'SINGLE']",4.0
4,AMOGUE,O.O.O.[OH-],43,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[8, 8, 8, 8]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'SINGLE']",4.0
5,AMOHEP,O.O.O.[OH-],43,1,"[(0, 1), (1, 2), (1, 3), (1, 4)]","[0, 2, 3, 4]","[8, 8, 8, 8]","['DOUBLE', 'DOUBLE', 'DOUBLE', 'SINGLE']",4.0
6,AMOJUH,CC(C)(S)C(N)C(=O)O.COC(=O)C(N)C(C)(C)S.O,43,1,"[(0, 1), (1, 2), (1, 11), (1, 6), (1, 10), (1, 20)]","[0, 2, 11, 6, 10, 20]","[8, 7, 7, 8, 16, 16]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,AMOKIW,COC(=O)C(CS)NC(=O)CSCCS.O,43,1,"[(0, 1), (1, 2), (1, 5), (1, 9), (1, 12)]","[0, 2, 5, 9, 12]","[8, 16, 16, 7, 16]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
8,AMOMOE,Cl.O.SCCSCCS,43,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 9)]","[0, 2, 3, 6, 9]","[8, 17, 16, 16, 16]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
9,AMOSIE,COc1ccc(S)cc1.O.SCc1cccc(CS)n1,43,1,"[(0, 1), (1, 2), (1, 12), (1, 10), (1, 11)]","[0, 2, 12, 10, 11]","[8, 16, 16, 16, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
