,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABERIK,CNC.Cc1cc(C)c(Nc2cccc(-c3c(C)cc(C)cc3C)n2)c(C)c1.Cl.Cl.Cl,22,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 29), (1, 10)]","[0, 2, 3, 4, 29, 10]","[17, 17, 17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABEROQ,C1CCOC1.CC(C)c1cc(C(C)C)c(-c2cccc(Nc3c(C(C)C)cccc3C(C)C)n2)c(C(C)C)c1.Cl.Cl.OCCCCCl,22,1,"[(0, 1), (1, 2), (1, 3), (1, 9), (1, 43), (1, 15)]","[0, 2, 3, 9, 43, 15]","[17, 17, 8, 7, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
2,ABERUW,CC(C)c1cc(C(C)C)c(-c2cccc(Nc3c(C(C)C)cccc3C(C)C)n2)c(C(C)C)c1.Cc1ccccc1.Cc1ccccc1.OCCCCCl,22,33,"[(20, 33), (33, 34), (33, 41), (33, 48), (33, 54)]","[20, 34, 41, 48, 54]","[7, 6, 6, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABESAD,CC(C)c1cc(C(C)C)c(-c2cccc(Nc3c(C(C)C)cccc3C(C)C)n2)c(C(C)C)c1.CNC.Cl.Cl.Cl,22,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 38), (1, 10)]","[0, 2, 3, 4, 38, 10]","[17, 17, 17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
4,ABEZAJ,CNC.Cc1cc(C)c(Nc2ccccc2C(C)(NC2CCCCC2)N(C)C)c(C)c1.Cl,22,1,"[(0, 1), (1, 2), (1, 5), (1, 14), (1, 21)]","[0, 2, 5, 14, 21]","[17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
5,ABIQOR,CC(C)(C)N1CN(C(C)(C)C)CN(C(C)(C)C)C1.CC(C)c1cccc(C(C)C)c1N.Cl.Cl,22,1,"[(0, 1), (1, 2), (1, 3), (1, 16), (1, 18), (1, 20)]","[0, 2, 3, 16, 18, 20]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ABIQUX,CC(C)(C)N.CN1CN(C)CN(C)C1.Cc1ccccc1.Cc1ccccc1,22,9,"[(1, 9), (3, 9), (6, 9), (9, 10), (9, 17), (9, 24)]","[1, 3, 6, 10, 17, 24]","[7, 7, 7, 6, 6, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'DOUBLE']",6.0
7,ABOLOV,Cc1c(C)c(C)c([Si](C)(C)c2c(C)c(C)c(C)c2C)c1C.Cl.O=S(=O)(O)C(F)(F)F,22,1,"[(0, 1), (1, 2), (1, 10), (1, 12), (1, 14), (1, 16), (1, 17), (1, 22), (1, 23), (1, 25), (1, 27), (1, 29)]","[0, 2, 10, 12, 14, 16, 17, 22, 23, 25, 27, 29]","[17, 8, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
8,ABUPEV,CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1.CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,22,23,"[(15, 23), (22, 23), (23, 24), (23, 39), (23, 54), (23, 76)]","[15, 22, 24, 39, 54, 76]","[15, 8, 8, 8, 15, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ABUPIX,Cc1cccc(C)c1O.Cc1cccc(C)c1O.Cc1cccc(C)c1O.Cc1cccc(C)c1O,22,9,"[(8, 9), (9, 10), (9, 19), (9, 28)]","[8, 10, 19, 28]","[8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
