,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABOZIA,Oc1ccc(Br)cc1C=NCCN(CCN=Cc1cc(Br)ccc1O)CCN=Cc1cc(Br)ccc1O,81,6,"[(5, 6), (6, 7), (6, 16), (6, 22), (6, 28), (6, 37)]","[5, 7, 16, 22, 28, 37]","[8, 8, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ACPOTL,C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1.CC(=O)OC1CC2C=CC1C2,81,11,"[(5, 11), (11, 12), (11, 22), (11, 36), (11, 47)]","[5, 12, 22, 36, 47]","[6, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
2,AMEYID,Cc1c(C)n(C(C)C)c(=Nc2ccccc2Nc2c(C(C)C)cccc2C(C)C)n1C(C)C,81,13,"[(12, 13), (13, 14)]","[12, 14]","[7, 7]","['SINGLE', 'SINGLE']",2.0
3,ASACUS,Cc1cc(C)n([BH](n2nc(c3ccccc3)cc2C)n2nc(c3ccccc3)cc2C)n1,81,9,"[(8, 9), (9, 10), (9, 11)]","[8, 10, 11]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
4,ASADAZ,c1ccc(c2ccn([BH](n3ccc(c4ccccc4)n3)n3ccc(c4ccccc4)n3)n2)cc1,81,16,"[(15, 16), (16, 17), (16, 18)]","[15, 17, 18]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
5,ASEBAE,CC(C)c1cc(C(C)(C)C)nn1[BH](n1nc(C(C)(C)C)cc1C(C)C)n1nc(C(C)(C)C)cc1C(C)C,81,7,"[(6, 7), (7, 8), (7, 19)]","[6, 8, 19]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
6,ASIFEO,CC1(C)COC([B-](C2=NC(C)(C)CO2)(C2=NC(C)(C)CO2)c2ccccc2)=N1,81,7,"[(6, 7), (7, 8), (7, 23)]","[6, 8, 23]","[7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
7,AVIYAH,c1cnn(C(n2cccn2)n2cccn2)c1,81,0,"[(0, 1)]",[1],[6],['SINGLE'],1.0
8,AVUZAV,c1cc2nc(c1)CSCCSCCSC2,81,14,"[(2, 14), (10, 14), (13, 14), (14, 15)]","[2, 10, 13, 15]","[16, 16, 16, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,BACFEQ,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1.Cc1csc(C(C#N)=NO)n1,81,9,"[(8, 9), (9, 10), (9, 13), (9, 20), (9, 23), (9, 26), (9, 33)]","[8, 10, 13, 20, 23, 26, 33]","[8, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
10,BAWCUB,,81,0,[],[],[],[],0.0
11,BAWLOA,,81,0,[],[],[],[],0.0
12,BENNAJ,[BH2](n1ccc(c2cnccn2)n1)n1ccc(c2cnccn2)n1,81,6,"[(5, 6), (6, 7)]","[5, 7]","[7, 7]","['SINGLE', 'SINGLE']",2.0
13,BENXOH,CCN(CC)C(=S)S.CCN(CC)C(=S)S.Cc1ccccc1,81,7,"[(6, 7), (7, 8), (7, 9), (7, 17), (7, 11)]","[6, 8, 9, 17, 11]","[16, 16, 16, 6, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
14,BEZMUO,C.C.C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,81,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 13), (1, 16), (1, 19), (1, 26)]","[0, 2, 3, 6, 13, 16, 19, 26]","[6, 6, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
