,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABIHUQ,CC(C)(C)C(C)(O)C(C)(C)C.CC(C)(C)C(C)(O)C(C)(C)C.CC(C)(C)C(C)([O-])C(C)(C)C.N,23,1,"[(0, 1), (1, 2), (1, 13), (1, 24)]","[0, 2, 13, 24]","[7, 8, 8, 8]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
1,ABOBOK,CCNC(S)=NN=Cc1cccc(C)n1.O.O,23,1,"[(0, 1), (1, 2), (1, 3), (1, 6), (1, 14)]","[0, 2, 3, 6, 14]","[8, 8, 16, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
2,ABOZUP,COc1cccc(C=NCC(O)CN=Cc2cccc(OC)c2O)c1O.O.O,23,1,"[(0, 1), (1, 2), (1, 3), (1, 13), (1, 18), (1, 28)]","[0, 2, 3, 13, 18, 28]","[8, 8, 8, 7, 7, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
3,ABUZAY,O.O.Oc1ccccc1C=NCCN=Cc1ccccc1O,23,1,"[(0, 1), (1, 2), (1, 3), (1, 11), (1, 14), (1, 22)]","[0, 2, 3, 11, 14, 22]","[8, 8, 8, 7, 7, 8]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
4,ACAVAF,O.O.[O-]C(=NN=Cc1cc(Br)ccc1O)c1ccccc1O,23,1,"[(0, 1), (1, 2), (1, 3), (1, 12), (1, 15)]","[0, 2, 3, 12, 15]","[8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
5,ACELIH,Cc1ccnc(-c2nc3ccccc3[nH]2)c1.Cc1ccnc(-c2nc3ccccc3[nH]2)c1.O.O,23,1,"[(0, 1), (1, 2), (1, 3), (1, 19), (1, 18), (1, 27)]","[0, 2, 3, 19, 18, 27]","[8, 8, 7, 7, 7, 7]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ACILIH,CC1OCC2OC(N=Cc3ccccc3[O-])C(O)C(O)C2O1.O.O,23,1,"[(0, 1), (1, 2), (1, 3), (1, 16), (1, 24)]","[0, 2, 3, 16, 24]","[8, 8, 8, 7, 8]","['DOUBLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
7,ACNCVO,CC#N.Cl.Cl.Cl.O,23,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5)]","[0, 2, 3, 4, 5]","[8, 17, 17, 17, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
8,ACOFOP,O.O=C(O)CN(CCN(Cc1ccccn1)Cc1ccccn1)Cc1cccc[nH+]1,23,1,"[(0, 1), (1, 2), (1, 6), (1, 9), (1, 16), (1, 23)]","[0, 2, 6, 9, 16, 23]","[8, 8, 7, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ACONIQ,C[Si](C)(C)c1cccc(P(c2cccc([Si](C)(C)C)c2S)c2cccc([Si](C)(C)C)c2S)c1[S-].Cl,23,1,"[(0, 1), (1, 2), (1, 13), (1, 20), (1, 31)]","[0, 2, 13, 20, 31]","[17, 16, 15, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
