,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABAKAT,C#O.C#O.C#O.C#O.C#O.Cc1cc(C)c([Te][Te]c2c(C)cc(C)cc2C)c(C)c1,74,17,"[(7, 17), (17, 18), (17, 20), (17, 22), (17, 24), (17, 26)]","[7, 18, 20, 22, 24, 26]","[52, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABAKEU,Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1.N,74,1,"[(0, 1), (1, 2), (1, 14), (1, 26)]","[0, 2, 14, 26]","[7, 7, 7, 7]","['TRIPLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABAKIY,Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1.NC(=O)C(F)(F)F.O=C(O)C(F)(F)F,74,12,"[(3, 12), (12, 13), (12, 20), (12, 27), (12, 39)]","[3, 13, 20, 27, 39]","[7, 7, 8, 7, 7]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABAKOE,Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1.Cc1cc(C)cc(NC(C)C)c1.Cl.O,74,1,"[(0, 1), (1, 2), (1, 3), (1, 15), (1, 27)]","[0, 2, 3, 15, 27]","[8, 17, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
4,ABASON,Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.O.Oc1ccccc1.Oc1ccccc1,74,1,"[(0, 1), (1, 2), (1, 9), (1, 16), (1, 25), (1, 32)]","[0, 2, 9, 16, 25, 32]","[8, 8, 8, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,ABASUT,CCCc1ccccc1O.CCCc1ccccc1O.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.O,74,1,"[(0, 1), (1, 2), (1, 12), (1, 22), (1, 31), (1, 38)]","[0, 2, 12, 22, 31, 38]","[8, 8, 8, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
6,ABATAA,Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.O.Sc1ccccc1.Sc1ccccc1,74,1,"[(0, 1), (1, 2), (1, 9), (1, 16), (1, 25), (1, 32)]","[0, 2, 9, 16, 25, 32]","[8, 16, 16, 7, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ABATEE,Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.O.[SeH]c1ccccc1[SeH],74,1,"[(0, 1), (1, 2), (1, 10), (1, 9), (1, 19), (1, 26)]","[0, 2, 10, 9, 19, 26]","[8, 34, 7, 34, 7, 7]","['DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
8,ABEQUT,Cl.Cl.Cl.Cl.O.[OH-],74,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6)]","[0, 2, 3, 4, 5, 6]","[8, 17, 17, 17, 17, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,ABETEG,CC(=C(Cc1ccccc1)c1ccccc1)c1ccccc1.C[Si](C)(C)Nc1ccccc1N[Si](C)(C)C.Nc1ccccc1,74,16,"[(4, 16), (11, 16), (16, 17), (16, 39), (16, 20)]","[4, 11, 17, 39, 20]","[7, 7, 6, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'DOUBLE', 'SINGLE']",5.0
10,ABOXEX,C#O.CC(C)[Se]C#Cc1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl,74,1,"[(0, 1), (1, 2), (1, 4), (1, 26), (1, 13), (1, 20), (1, 31)]","[0, 2, 4, 26, 13, 20, 31]","[17, 6, 7, 6, 7, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
11,ABOXIB,C#O.C#O.C#O.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.I,74,1,"[(0, 1), (1, 2), (1, 4), (1, 6), (1, 8), (1, 17), (1, 24)]","[0, 2, 4, 6, 8, 17, 24]","[53, 6, 6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
12,ABOXOH,C#O.CC(C)[Se]C#Cc1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl,74,1,"[(0, 1), (1, 2), (1, 4), (1, 26), (1, 13), (1, 20), (1, 31)]","[0, 2, 4, 26, 13, 20, 31]","[17, 6, 7, 6, 7, 7, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
13,ABOXUN,C#O.C#O.CC(C)OC#Cc1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,74,12,"[(4, 12), (5, 12), (12, 13), (12, 15), (12, 17), (12, 26), (12, 33)]","[4, 5, 13, 15, 17, 26, 33]","[6, 6, 6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
14,ABOYAU,C#O.C#O.CC(C)[Se]C#Cc1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,74,12,"[(4, 12), (5, 12), (12, 13), (12, 15), (12, 17), (12, 26), (12, 33)]","[4, 5, 13, 15, 17, 26, 33]","[6, 6, 6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
15,ABOYEY,C#O.C#O.CC(C)SC#Cc1ccccc1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1,74,12,"[(4, 12), (5, 12), (12, 13), (12, 15), (12, 17), (12, 26), (12, 33)]","[4, 5, 13, 15, 17, 26, 33]","[6, 6, 6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
