,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABARAX,COP(=O)(O)C(C)=NCCN1CCN(CCN=C(C)P(=O)(O)OC)CCN(CCN=C(C)P(=O)(O)OC)CC1,39,5,"[(4, 5), (5, 6), (5, 12), (5, 15), (5, 18), (5, 21), (5, 26), (5, 29), (5, 34)]","[4, 6, 12, 15, 18, 21, 26, 29, 34]","[8, 8, 7, 7, 7, 7, 7, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
1,ABEZEM,CC(C)N=C(NC(C)C)C(C)(C)C.C[Si](C)(C)C[Si](C)(C)C.C[Si](C)(C)C[Si](C)(C)C.Cl[Li](O1CCCC1)(O1CCCC1)O1CCCC1,39,9,"[(3, 9), (5, 9), (9, 10), (9, 27), (9, 36)]","[3, 5, 10, 27, 36]","[7, 7, 17, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
2,ABEZIQ,CN(C)CCNC(=N[Si](C)(C)C)c1ccccc1.C[Si](C)(C)C[Si](C)(C)C.C[Si](C)(C)C[Si](C)(C)C,39,12,"[(1, 12), (5, 12), (7, 12), (12, 13), (12, 22)]","[1, 5, 7, 13, 22]","[7, 7, 7, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABEZUC,CN(C)CCCNC(=N[Si](C)(C)C)c1ccccc1.CN(C)CCCNC(=N[Si](C)(C)C)c1ccccc1.Cc1ccccc1,39,13,"[(6, 13), (8, 13), (13, 14), (13, 21), (13, 25), (13, 29)]","[6, 8, 14, 21, 25, 29]","[7, 7, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
4,ABIFUM,CC1=CC(C)=NN1.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl.Cl,39,1,"[(0, 1), (1, 2), (1, 3), (1, 10), (1, 19), (1, 26)]","[0, 2, 3, 10, 19, 26]","[17, 17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
5,ABILAC,CC(C)(C)c1cc(C23CC4CC(CC(C4)C2)C3)c(O)c(C23CC4CC(CC(C4)C2)C3)c1.CC(C)(C)c1cc(C23CC4CC(CC(C4)C2)C3)c([O-])c(C23CC4CC(CC(C4)C2)C3)c1.Cl.Cl,39,1,"[(0, 1), (1, 2), (1, 3), (1, 34)]","[0, 2, 3, 34]","[17, 17, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
6,ABUPET,CO.O=C(O)CN(CCN(CC(=O)O)CC(=O)NCc1ccccc1)CCN(CC(=O)O)CC(=O)NCc1ccccc1,39,2,"[(1, 2), (2, 3), (2, 7), (2, 10), (2, 14), (2, 17), (2, 28), (2, 32), (2, 35)]","[1, 3, 7, 10, 14, 17, 28, 32, 35]","[8, 8, 7, 7, 8, 8, 7, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",9.0
7,ACIYAN,CCC(CC)Oc1cccc2c1-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1cccc(OC(CC)CC)c41)-c1cccc(OC(CC)CC)c1-3)c1cccc(OC(CC)CC)c21.Clc1ccc(-c2c3nc(c(-c4ccc(Cl)cc4)c4ccc([nH]4)c(-c4ccc(Cl)cc4)c4nc(c(-c5ccc(Cl)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1,39,28,"[(14, 28), (18, 28), (22, 28), (27, 28), (28, 29), (28, 40), (28, 54), (28, 60)]","[14, 18, 22, 27, 29, 40, 54, 60]","[7, 7, 7, 7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",8.0
8,ACOGOR,CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1OP(=O)(O)Oc1c(C(C)C)cccc1C(C)C.CO.CO.CO.CO.Cl,39,1,"[(0, 1), (1, 2), (1, 31), (1, 60), (1, 62), (1, 64), (1, 66)]","[0, 2, 31, 60, 62, 64, 66]","[17, 8, 8, 8, 8, 8, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
9,ACUGUB,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,39,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
