,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABODEC,C(=NCCOCCOCCN=Cc1ccccn1)c1ccccn1.O=N(O)O.O=N(O)O,70,3,"[(2, 3), (3, 4), (3, 5), (3, 9), (3, 8), (3, 12), (3, 15), (3, 22), (3, 25), (3, 32)]","[2, 4, 5, 9, 8, 12, 15, 22, 25, 32]","[8, 8, 8, 8, 8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
1,ABOLOW,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC[Yb]1(CC)N(c2c(C(C)C)cccc2C(C)C)C(C)=CC(C)=N1c1c(C(C)C)cccc1C(C)C,70,5,"[(1, 5), (3, 5), (5, 6), (5, 10)]","[1, 3, 6, 10]","[6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABONEO,C1=CC=CC=CC=C1.CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C,70,29,"[(12, 29), (16, 29), (29, 30), (29, 31), (29, 32), (29, 33), (29, 34), (29, 35), (29, 36), (29, 37)]","[12, 16, 30, 31, 32, 33, 34, 35, 36, 37]","[7, 7, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
3,ABONIS,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CCO(CC)[Yb]1234(c5c1c2c1cc2ccccc2cc1c53)N(c1c(C(C)C)cccc1C(C)C)C(C)=CC(C)=N4c1c(C(C)C)cccc1C(C)C.CCOCC,70,51,"[(43, 51), (44, 51), (45, 51), (46, 51), (51, 52), (51, 83), (51, 56)]","[43, 44, 45, 46, 52, 83, 56]","[6, 6, 6, 6, 7, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
4,ABONOY,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC1=CC(C)=N(c2c(C(C)C)cccc2C(C)C)[Yb]2345678(c9c2c3c4c5c6c7c98)N1c1c(C(C)C)cccc1C(C)C,70,38,"[(30, 38), (31, 38), (32, 38), (33, 38), (34, 38), (35, 38), (36, 38), (37, 38), (38, 39), (38, 43)]","[30, 31, 32, 33, 34, 35, 36, 37, 39, 43]","[6, 6, 6, 6, 6, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
5,ACOZID,CO.CO.Cl.Cl.c1ccc(C2=NC(c3ccccn3)C(c3ccccn3)N2)nc1,70,1,"[(0, 1), (1, 2), (1, 3), (1, 5), (1, 7), (1, 17), (1, 23)]","[0, 2, 3, 5, 7, 17, 23]","[17, 17, 8, 8, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",7.0
6,ACUKIT,O.O=N(O)O.O=N(O)O.O=N(O)O.c1ccc(c2nc(c3ccccn3)nc(c3ccccn3)n2)nc1,70,1,"[(0, 1), (1, 2), (1, 6), (1, 10), (1, 14), (1, 5), (1, 9), (1, 13), (1, 25), (1, 31)]","[0, 2, 6, 10, 14, 5, 9, 13, 25, 31]","[8, 8, 8, 8, 7, 8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
7,ADUNES,C1CCOC1.C1CCOC1.Cc1cccc1.Cc1cccc1,70,6,"[(1, 6), (2, 6), (3, 6), (4, 6), (5, 6), (6, 7), (6, 12), (6, 17), (6, 18), (6, 19), (6, 20), (6, 22)]","[1, 2, 3, 4, 5, 7, 12, 17, 18, 19, 20, 22]","[6, 6, 6, 6, 6, 8, 8, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
8,AFAMAY,C[Sn]12(C)O[W]34(=O)([O-])O[W]567(=O)[O-][W]89(=O)(O)O[W]%10%11(=O)(O)O[W]%12%13%14(=O)O[Sn]%15(C)(C)O%16[W](=O)(O8)(O%12)(O5[Yb]%1658%12%17(O[W]%16%18%19(=O)O[W]%20%21(=O)(O[W]%22%23(=O)(O[W]%24(=O)(O%16)(O[W](=O)(O%20)([OH]%22)(O%155)[OH]%18%21%23%248)O1%12)[O-]%19)[O-]%17)O26)O97[Te]12O3[Yb]3567(O)(O4)O[W]489(=O)O[W]%12%15%16(=O)O[W]%17%18(=O)(O4)O[Yb]4%19(O%10)(O[W]%10%20(=O)(O[Sn]%21(C)(C)O%22[W]%23(=O)(O%10)([O-]%12)O%10[W]%12%24(=O)(O%15)O[W](=O)(O[Sn]%15(C)(C)O%12[Yb]%22%10%12%25%26%27O[W]%10%22%28(=O)O[W]%29%30(=O)(O[W]%31%32(=O)(O[W]%33(=O)(O%10)(O[W](=O)(O%29)([OH]%31)(O%15%12)[OH]%22%30%32%33%25)O%21%26)[O-]%28)[O-]%27)(O8)([O-]3)O95[Te](O64)(O%16%24%23)O%17%20%19)[O-]%18)([O-]%13)(O17)O2%11%14.O,74,128,"[(127, 128), (128, 129), (128, 130), (128, 131), (128, 132), (128, 133)]","[127, 129, 130, 131, 132, 133]","[8, 8, 8, 8, 8, 8]","['SINGLE', 'DOUBLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
9,AFEHAX,COc1ccccc1NC(=Nc1c(C(C)C)cccc1C(C)C)C(C)(C)C.COc1ccccc1NC(=Nc1c(C(C)C)cccc1C(C)C)C(C)(C)C,70,27,"[(1, 27), (8, 27), (27, 28), (27, 35), (27, 39), (27, 40), (27, 44), (27, 45), (27, 46), (27, 47)]","[1, 8, 28, 35, 39, 40, 44, 45, 46, 47]","[8, 7, 7, 8, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",10.0
