,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABAJET,Cc1ccc(S)cc1.c1ccc(CN2CCCN(Cc3ccccn3)CCC2)nc1,30,6,"[(5, 6), (6, 7), (6, 14), (6, 18), (6, 28)]","[5, 7, 14, 18, 28]","[16, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
1,ABALAR,COc1ccccc1CNC(c1ccccc1)C(NCc1ccccc1OC)c1ccccc1.Cl.Cl,30,1,"[(0, 1), (1, 2), (1, 3), (1, 15)]","[0, 2, 3, 15]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
2,ABARIH,CC(=NCCN1CCCCC1)c1ccccn1.Cl.Cl,30,1,"[(0, 1), (1, 2), (1, 3), (1, 11), (1, 14)]","[0, 2, 3, 11, 14]","[17, 17, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABASAA,CC(=NCCN1CCOCC1)c1ccccn1.[N-]=[N+]=N.[N-]=[N+]=N,30,11,"[(2, 11), (5, 11), (11, 12), (11, 15), (11, 18)]","[2, 5, 12, 15, 18]","[7, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
4,ABEGOG,O.O=C(O)Cc1cn2ccccc2n1.O=C(O)Cc1cn2ccccc2n1,30,1,"[(0, 1), (1, 2), (1, 15), (1, 14), (1, 27)]","[0, 2, 15, 14, 27]","[8, 8, 8, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
5,ABEWAI,C1=CC(CN(CC2=NC(=CNC3CCCCC3)C=C2)CC2=NC(=CNC3CCCCC3)C=C2)=NC1=CNC1CCCCC1.[O-][Cl+3]([O-])([O-])O,30,5,"[(4, 5), (5, 6), (5, 9), (5, 12), (5, 26)]","[4, 6, 9, 12, 26]","[8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
6,ABIDEU,Cn1ccn([BH](n2cccn2)n2ccn(C)c2S)c1S.Cn1ccn([BH](n2cccn2)n2ccn(C)c2S)c1S,30,18,"[(17, 18), (18, 19), (18, 21), (18, 40)]","[17, 19, 21, 40]","[16, 16, 16, 16]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
7,ABIFAW,N#Cc1cccc(N=Cc2ccccc2O)c1.N#Cc1cccc(N=Cc2ccccc2O)c1,30,17,"[(8, 17), (16, 17), (17, 18), (17, 26)]","[8, 16, 18, 26]","[7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
8,ABIFEA,Cl.Cl.N#Cc1cccc(N=Cc2ccccc2[O-])c1,30,1,"[(0, 1), (1, 2), (1, 3), (1, 11)]","[0, 2, 3, 11]","[17, 17, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
9,ABIQUY,COc1ccc(CNC2CCCCC2NCc2ccc(OC)cc2)cc1.Cl.Cl,30,1,"[(0, 1), (1, 2), (1, 3), (1, 19)]","[0, 2, 3, 19]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
10,ABIZOC,Cn1cnc(-c2ccccc2)c1-c1ccccc1.Cn1cnc(-c2ccccc2)c1-c1ccccc1.O=C(O)c1ccccc1.O=C(O)c1ccccc1,30,18,"[(3, 18), (18, 19), (18, 28), (18, 37)]","[3, 19, 28, 37]","[7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
11,ABOPOY,CC(C)c1cccc(C(C)C)c1N=P(C)(c1ccccc1)c1cccc2c1oc1ccccc12.c1ccccc1.c1ccccc1,30,13,"[(12, 13), (13, 14), (13, 20)]","[12, 14, 20]","[7, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE']",3.0
12,ABOWOE,O.O.c1cc(CCCc2ccncc2)ccn1.c1cc(CCCc2ccncc2)ccn1.c1cc(CCCc2ccncc2)ccn1.c1cc(CCCc2ccncc2)ccn1,30,1,"[(0, 1), (1, 2), (1, 3), (1, 18), (1, 33), (1, 48)]","[0, 2, 3, 18, 33, 48]","[8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
13,ABOXOI,Cc1cccc(Oc2ccccc2N=Cc2c(O)ccc3ccccc23)c1Oc1ccccc1N=Cc1c(O)ccc2ccccc12,30,18,"[(13, 18), (17, 18), (18, 19), (18, 31), (18, 38)]","[13, 17, 19, 31, 38]","[7, 8, 8, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
14,ABOXUO,COc1cccc(Oc2ccccc2N=Cc2c(O)ccc3ccccc23)c1Oc1ccccc1N=Cc1c(O)ccc2ccccc12,30,19,"[(14, 19), (18, 19), (19, 20), (19, 32), (19, 39)]","[14, 18, 20, 32, 39]","[7, 8, 8, 7, 8]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
15,ABOZOH,Cc1cc(C)n(CCn2nc(C)cc2C)n1.Cl.Cl,30,1,"[(0, 1), (1, 2), (1, 3), (1, 13)]","[0, 2, 3, 13]","[17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",4.0
16,ABUMUH,O.O=S(=O)([O-])OOS(=O)(=O)O.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,30,1,"[(0, 1), (1, 2), (1, 12), (1, 26), (1, 23), (1, 37)]","[0, 2, 12, 26, 23, 37]","[8, 8, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
