,Name,LigandSmiles,Metal,metalposition,metalbonds,metalbondatoms,metalbonatomnr,metalbondtypes,bondorder
0,ABEFUI,C1CCOC1.C1CCOC1.Cl.Cl.c1ccc(NCCCNc2ccccc2)cc1,40,1,"[(0, 1), (1, 2), (1, 3), (1, 20), (1, 25), (1, 7)]","[0, 2, 3, 20, 25, 7]","[17, 17, 7, 8, 8, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
1,ABEGAP,Cc1cc2c(ccc3ccccc32)c1[Si](C)(C)c1c(C)cc2c1ccc1ccccc12.c1ccc(NCCCNc2ccccc2)cc1,40,31,"[(1, 31), (2, 31), (3, 31), (12, 31), (13, 31), (17, 31), (18, 31), (20, 31), (21, 31), (30, 31), (31, 32), (31, 36)]","[1, 2, 3, 12, 13, 17, 18, 20, 21, 30, 32, 36]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
2,ABENAW,C.C.Cc1cc(C)c(NCC(C)(CNc2c(C)cc(C)cc2C)c2ccccn2)c(C)c1,40,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 23)]","[0, 2, 3, 8, 23]","[6, 6, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
3,ABETUW,C=CC=C.CC(C)(c1ccc2ccccc12)c1cccc1,40,8,"[(3, 8), (4, 8), (5, 8), (6, 8), (7, 8), (8, 9), (8, 13), (8, 10), (8, 11), (8, 12), (8, 14), (8, 15), (8, 16), (8, 21)]","[3, 4, 5, 6, 7, 9, 13, 10, 11, 12, 14, 15, 16, 21]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",14.0
4,ABEXUA,CC12CCC(C1)C(C)(C)C2O[Si](C)(C)c1cccc1.Cl.Cl.c1cccc1,40,1,"[(0, 1), (1, 2), (1, 3), (1, 8), (1, 4), (1, 5), (1, 6), (1, 7), (1, 9), (1, 10), (1, 11), (1, 12)]","[0, 2, 3, 8, 4, 5, 6, 7, 9, 10, 11, 12]","[17, 17, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
5,ABEYIQ,CC(=NC1CCCCC1)c1ccccc1Nc1c(C)cc(C)cc1C.CCNCC.CCNCC.Cl,40,1,"[(0, 1), (1, 2), (1, 7), (1, 12), (1, 20)]","[0, 2, 7, 12, 20]","[17, 7, 7, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",5.0
6,ABEYOW,CC(=NC1CCCCC1)c1ccccc1Nc1c(C)cc(C)cc1C.Cl.Cl.Cl.[Cl-],40,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 13)]","[0, 2, 3, 4, 5, 13]","[17, 17, 17, 17, 7, 7]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
7,ABIGIC,CN1C=N(B(CCCc2ccc([Si](C)(C)c3cccc3)c2)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2ccccc21.Cl.Cl,40,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 11), (1, 12), (1, 13), (1, 14), (1, 51)]","[0, 2, 3, 4, 5, 6, 7, 11, 12, 13, 14, 51]","[17, 17, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
8,ABOZEW,Cl.Cl.c1ccc(CCCCCCCCCc2cccc2)c1,40,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 16), (1, 17), (1, 18), (1, 19), (1, 20), (1, 21)]","[0, 2, 3, 4, 5, 6, 16, 17, 18, 19, 20, 21]","[17, 17, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",12.0
9,ABUGIO,C.C.C.Cc1ccc(Nc2ccc(C)cc2P(C(C)C)C(C)C)c(P(C(C)C)C(C)C)c1,40,1,"[(0, 1), (1, 2), (1, 3), (1, 4), (1, 12), (1, 26)]","[0, 2, 3, 4, 12, 26]","[6, 6, 6, 7, 15, 15]","['SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE', 'SINGLE']",6.0
