Name,LigandSmiles,Metal,classification
ACIMEF,COC(=O)C(C=Nc1c(C)cccc1C)=CP(c1ccccc1)c1ccccc1.C[Si](C)(C)c1cccc1.C[Si](C)(C)c1cccc1,Nb,12.0
ACIZER,CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.Cc1nnc(C)n1.Cc1nnc(C)n1,Nb,8.0
ACIZOB,CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.CC(C)(C)c1cc(C(C)(C)C)nn1.c1ccc(c2nnnn2)cc1.c1ccc(c2nnnn2)cc1,Nb,8.0
AFIGEB,CC#CC.CCCC.Cc1cc(C)n([BH](n2nc(C)cc2C)n2nc(C)cc2C)n1.Cl,Nb,7.0
AFISEO,COCCOC.Cl.Cl.Cl.O,Nb,6.0
AFUYIK,CCN(CC)[P+](C)(N(CC)CC)N(CC)CC.Cc1c(C)c(C)c(C)c1C.Cl.Cl.Cl.Cl,Nb,10.0
AFUZAD,CCN(CC)[P+](C)(N(CC)CC)N(CC)CC.Cl.Cl.Cl.Cl.c1cccc1,Nb,10.0
AGAGIY,CCN.CCNCC.Cc1cccc(N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2O)c1-c1c(C)cccc1N=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,Nb,6.0
AGAGOE,CCNC(C)C(Nc1cccc(C)c1-c1c(C)cccc1N=Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O)c1cc(C(C)(C)C)cc(C(C)(C)C)c1O.CCNCC.CCNCC,Nb,6.0
AHUYIN,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.CC(C)(C)N=Cc1ccccc1.F,Nb,6.0
AHUYOT,CC(=CC(C)=NC(C)(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)c1cccc(C(C)C)c1N.Cc1cccc(C)c1NCc1ccccc1,Nb,5.0
AKISUJ,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.Cl.Cl.c1ccncc1,Nb,6.0
AKITAQ,CC(=CC(C)=Nc1c(C(C)C)cccc1C(C)C)Nc1c(C(C)C)cccc1C(C)C.CC(C)(C)N.CC(C)(C)N.c1ccncc1,Nb,5.0
