smiles,Name,LigandSmiles,Metal,bondorder,oxidation_states,classification
O=[C]->[Mn+]12(<-[C]=O)(<-[C]=O)<-n3c(NP->1(c1ccccc1)c1ccccc1)cccc3NP->2(c1ccccc1)c1ccccc1,SOHJAA,C#O.C#O.C#O.c1ccc(P(Nc2cccc(NP(c3ccccc3)c3ccccc3)n2)c2ccccc2)cc1,Mn,6.0,+1,0
CCn1ccn(->[Ag+]<-n2ccn(CC)c2)c1,APIRAU,CCn1ccnc1.CCn1ccnc1,Ag,2.0,+1,0
c1ccc(CCN23->[Cu+]<-n4ccccc4CCN(CCC2)CC3)cc1,JOPZUL,c1ccc(CCN2CCCN(CCc3ccccn3)CC2)cc1,Cu,3.0,+1,0
C1c2ccccn2->[Cu+]2(<-N=1C1CCCCC1)<-N(=Cc1ccccn->21)C1CCCCC1,XUDLOY,C(=NC1CCCCC1)c1ccccn1.C(=NC1CCCCC1)c1ccccn1,Cu,4.0,+1,0
C1=CN(C2CCCCC2)[C](->[Au+]<-[C]2N(C3CCCCC3)C=CN2C2CCCCC2)N1C1CCCCC1,XALFAU,C1=CN(C2CCCCC2)CN1C1CCCCC1.C1=CN(C2CCCCC2)CN1C1CCCCC1,Au,2.0,+1,0
CC(C)c1cccc(C(C)C)c1N1[C](->[Au+]<-[O-]c2c(F)cccc2F)[C@]2(CC1(C)C)[C@@H]1C[C@H]3C[C@H](C[C@@H]2C3)C1,QANBIT,CC(C)c1cccc(C(C)C)c1N1CC2(CC1(C)C)C1CC3CC(C1)CC2C3.Oc1c(F)cccc1F,Au,2.0,+1,0
Cc1cc(C)c(N2C=CN(CCCOc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)[C]2->[Au+]<-[Br-])c(C)c1,PALSUT,Br.Cc1cc(C)c(N2C=CN(CCCOc3cc(O)c4c(=O)cc(-c5ccccc5)oc4c3)C2)c(C)c1,Au,2.0,+1,0
O=[C]->[Cu+]1(<-[Cl-])<-n2ccccc2Nc2ccccn->12,RUJBUT,C#O.Cl.c1ccc(Nc2ccccn2)nc1,Cu,4.0,+1,0
CC(C)N[C](Nc1ccccc1)->[Re+](<-[Br-])(<-[C]=O)(<-[C]=O)(<-[C]=O)<-[C]=O,VOWFOC,Br.C#O.C#O.C#O.C#O.CC(C)NC=[NH]c1ccccc1,Re,6.0,+1,0
C[Si](C)(C)CC(C[Si](C)(C)C)P(->[Au+]<-[Cl-])(c1ccccc1)c1ccccc1-c1ccccc1,HINGET,C[Si](C)(C)CC(C[Si](C)(C)C)P(c1ccccc1)c1ccccc1-c1ccccc1.Cl,Au,2.0,+1,0
[O-][N+]([O-])=O->[Ag+]<-n1c(-c2c3ccccc3cc3ccccc23)cccc1-c1c2ccccc2cc2ccccc12,HOVGOQ,O=N(O)O.c1ccc2c(c1)cc1ccccc1c2c1cccc(c2c3ccccc3cc3ccccc32)n1,Ag,3.0,+1,0
CC#N->[Cu+]1(<-N#CC)<-[C]2N(c3ccccc3)N=C3C=Cc4c(C)cc(C)n->1c4N32,HEYMIJ,CC#N.CC#N.Cc1cc(C)c2c(n1)N1CN(c3ccccc3)N=C1C=C2,Cu,4.0,+1,0
