id,Metal,charge,molecular_mass,n_atoms,n_electrons,tzvp_lumo_energy,tzvp_homo_energy,tzvp_homo_lumo_gap,homo_lumo_gap_delta,tzvp_electronic_energy,electronic_energy_delta,tzvp_dispersion_energy,dispersion_energy_delta,enthalpy_energy,enthalpy_energy_correction,gibbs_energy,gibbs_energy_correction,zpe_correction,heat_capacity,entropy,tzvp_dipole_moment,dipole_moment_delta,polarisability,lowest_vibrational_frequency,highest_vibrational_frequency,LigandSmiles
ABACAL,Cu,0,240.03239,27,124,-0.03913,-0.21082,0.17169,0.06292,-2213.48782673,-0.8866776600002595,-0.0248143067,0.0033358286,-2212.376668,0.2244810699999107,-2212.440237,0.1609120699999948,0.207657,57.354,133.794,7.0497,0.4855,161.16,6.9421,3179.917,C#NC(C)(C)C.O=CC1=CC=CN1
ABAFOZ,Pd,0,686.21218,85,356,-0.06857,-0.17877,0.1102,0.06226,-1934.88452512,-2.031809609999982,-0.1409448735,0.0129919097999999,-1932.123059,0.7296565100000407,-1932.237018,0.6156975100000182,0.688145,164.209,239.847,11.0658,0.6413999999999991,541.78,14.18,3136.5757,CN(CCN(C)Cc1ccccc1)Cc1ccccc1.Cc1cc2ccccc2c(-c2c(O)c(C)cc3ccccc23)c1O
ABAFUF,Pd,0,444.03485,47,226,-0.0721,-0.24089,0.16879,0.08944,-1857.37324668,-1.3156408199999987,-0.071389851,0.0070809256999999,-1855.651059,0.4065468599999349,-1855.729791,0.3278148599999895,0.381938,91.397,165.705,10.1446,0.6156000000000006,268.16,18.0522,3135.8689,CN(CCN(C)Cc1ccccc1)Cc1ccccc1.Cl.Cl
ABAGAM,Pd,0,644.09745,71,330,-0.09098,-0.22157,0.1305899999999999,0.0667299999999999,-2471.43189304,-1.982938820000072,-0.1150135588,0.0116826619,-2468.847607,0.6013472199997523,-2468.949186,0.4997682200000781,0.566146,139.172,213.793,11.3472,0.7439,498.87,9.3257,3155.7717,CN(CCN(C)Cc1c2ccccc2cc2ccccc12)Cc1c2ccccc2cc2ccccc12.Cl.Cl
ABAJAP,Ni,1,477.16229,62,252,-0.17092,-0.28389,0.1129699999999999,0.08684,-3095.46044256,-1.6956572600001891,-0.0984194273,0.0096118662999999,-3093.22447,0.5403152999997474,-3093.311626,0.4531592999996974,0.511012,115.266,183.437,7.7537,1.3992000000000004,381.25,21.5861,3159.1045,Cc1ccc(S)cc1.c1ccc(CN2CCCN(Cc3ccccn3)CCC2)nc1
ABAJET,Zn,1,483.15609,62,254,-0.1642,-0.30393,0.1397299999999999,0.0704599999999999,-3366.53867723,-1.796171179999874,-0.096699582,0.0093668789999999,-3364.202067,0.5404390499998044,-3364.291945,0.450561050000033,0.510269,115.964,189.164,7.8391,0.0826000000000002,329.29,21.1744,3157.383,Cc1ccc(S)cc1.c1ccc(CN2CCCN(Cc3ccccn3)CCC2)nc1
ABAJIZ,Pt,0,649.8922,33,292,-0.05952,-0.2108,0.1512799999999999,0.0740699999999999,-1345.01240989,-0.7409499200000482,-0.0487122502,0.003339079,-1344.001287,0.270172969999976,-1344.080227,0.1912329700001009,0.248092,72.201,166.144,0.2234,-0.285,263.77,14.1533,3230.8818,C=CCN1C=CN(C)C1.I.I.c1ccncc1
ABAJOF,Pt,0,653.88711,33,294,-0.06012,-0.21172,0.1515999999999999,0.0742899999999999,-1382.1374485,-0.7894143099999837,-0.048517588,0.0033585864999999,-1381.077329,0.2707051899999442,-1381.15632,0.1917141899998569,0.248302,72.807,166.252,1.4982,0.0917999999999998,253.09,17.4084,3739.9344,CN1C=CN(CCO)C1.I.I.c1ccncc1
ABAKAS,Pt,0,648.8718,30,290,-0.06669,-0.2209,0.15421,0.07436,-1359.84373243,-0.7481276600001365,-0.0460822896,0.0031023141,-1358.859607,0.2359977699998126,-1358.937484,0.1581207699998685,0.214449,69.375,163.906,4.4216,0.5383999999999998,252.2,16.1718,3231.9421,CN1C=CN(CC#N)C1.I.I.c1ccncc1
ABAKEW,Pt,0,681.88203,35,308,-0.06099,-0.21237,0.15138,0.07412,-1495.4063396,-0.9072901399999864,-0.052329342,0.0035015856999999,-1494.217024,0.2820254599998861,-1494.300837,0.1982124599999224,0.257839,78.691,176.4,1.4732,0.4453,264.16,14.1891,3236.7338,COC(=O)CN1C=CN(C)C1.I.I.c1ccncc1
ABAKIA,Pt,0,826.97118,57,386,-0.0731,-0.21946,0.14636,0.07309,-1937.47744066,-1.4132130599998618,-0.0837617868,0.0070498665999999,-1935.5872,0.4770276000001558,-1935.69224,0.3719876000000113,0.444188,115.886,221.076,3.394,0.3504,396.34,11.0991,3236.4652,I.I.O=Cc1ccc(CN2C=CN(CCN3CCOCC3)C2)cc1.c1ccncc1
ABAKOG,Pt,0,725.94463,46,334,-0.06233,-0.2133,0.15097,0.074,-1614.43088607,-1.0645409900000686,-0.0629406526,0.004781394,-1612.975146,0.3911990799999785,-1613.071207,0.2951380800000152,0.362166,96.414,202.177,2.0517,0.3241999999999998,304.61,10.0931,3237.3401,CCOC(CN1C=CN(C)C1)OCC.I.I.c1ccncc1
ABANUN,Au,0,715.72764,24,312,-0.13636,-0.22918,0.0928199999999999,0.06106,-1681.53293839,-0.5883237699999881,-0.0423611903,0.0018938683,-1680.759458,0.1851566200000434,-1680.832909,0.1117056200000661,0.165788,60.149,154.591,9.3393,0.1748999999999991,259.12,10.7671,3145.4086,CP(C)c1ccccc1.I.I.I
ABAPAV,Au,0,484.00509,33,222,-0.01228,-0.22336,0.21108,0.0611799999999999,-1130.1444896,-0.5998097000001508,-0.0416417489,0.0038941073999999,-1129.246994,0.2976858999998057,-1129.31638,0.2282998999999108,0.277697,66.714,146.036,9.7642,0.4088000000000011,195.51,32.9958,3084.119,CC(C)P(C(C)C)C(C)C.I
ABAQUQ,Au,1,896.90273,59,418,-0.22204,-0.32804,0.106,0.06242,-2570.3519498,-1.6372798200000034,-0.116919975,0.006841221,-2568.239542,0.4751279800002521,-2568.348379,0.3662909800000307,0.439711,127.732,229.067,12.3738,0.1228999999999995,494.61,16.9245,3149.0242,I.I.c1ccc(P(c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1
ABARAX,Y,0,704.12802,82,366,-0.04429,-0.26647,0.22218,0.0919099999999999,-2892.36600692,-2.6550685799998064,-0.1392681523,0.0108770616999999,-2889.012001,0.6989373400001568,-2889.135269,0.5756693400003314,0.652102,172.185,259.439,9.2114,0.2927999999999997,386.28,34.4781,3100.7198,COP(=O)(O)C(C)=NCCN1CCN(CCN=C(C)P(=O)(O)OC)CCN(CCN=C(C)P(=O)(O)OC)CC1
ABARUT,Cd,0,449.08542,46,226,-0.08988,-0.22419,0.1343099999999999,0.0722499999999999,-1318.097901,-1.3054334400001153,-0.0637468268,0.0065664881,-1316.410216,0.382251559999986,-1316.498145,0.294322559999955,0.353578,100.061,185.062,8.8469,0.3210999999999995,250.38,24.7321,3755.5805,CC(=NCCN1CCOCC1)c1ccccn1.O.[N-]=[N+]=N.[N-]=[N+]=N
